DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
617189,1,2,70,2,48,1,,2,3,1,,8,1,,,,,,,,,,1,,1,600000,2,2,1,89,97,2692,26,25,760.143.787.732.586
617190,1,2,70,8,48,1,,2,180,1,,3,6,,,,,,,,,,1,,2,,2,2,1,53,53,5521,55,25,910.530.077.891.024
617232,1,5,70,32,48,1,,2,33,1,,4,8,,,,,,,,,,1,,2,,2,2,1,95,89,2692,26,25,683.454.219.333.321
617259,1,1,70,2,105,4,,2,2,1,,2,1,,,,,,,,,,1,,1,140000,2,2,1,54,53,5521,55,25,462.464.137.982.757
617259,1,2,70,28,84,1,,2,84,1,,2,1,,,,,,,,,,1,,2,,2,2,1,97,95,4521,45,25,462.464.137.982.757
617259,1,3,70,20,42,1,,2,12,4,,1,1,,,,,,,,,,1,,2,,2,2,1,54,54,8532,85,25,462.464.137.982.757
617263,1,2,70,3,3,8,,2,3,8,,4,9,HOJA SISBEN,,,,,,,,,1,,1,70000,2,2,1,62,62,118,1,25,548.258.125.469.619
618093,1,1,70,10,48,1,,2,10,4,,1,4,,,,,,,,,,1,,2,,2,2,1,54,45,1530,15,63,711.216.349.850.646
618709,1,1,70,120,48,4,,2,144,2,,9,9,REGIMEN CONTRIVUTIVO LE DESCUENTAN DE LA PENSION,,,,,,,,1,,YA ESTA PENSIONADO,2,,2,2,1,45,53,6411,64,63,853.893.349.501.034
619541,1,2,70,8,45,8,,2,7,8,,2,1,,,,,,,,,,1,,2,,2,2,1,62,62,111,1,18,10.518.478.793.321
619541,1,3,70,12,45,8,,2,8,4,,2,1,,,,,,,,,,1,,2,,2,2,1,62,61,111,1,18,10.518.478.793.321
620271,1,2,70,16,48,1,,2,16,1,,4,4,,,,,,,,,,1,,2,,2,2,1,5,60,121,1,63,74.857.091.096.673
620273,1,1,70,12,48,2,,2,12,2,,9,1,,,,,1,,,,,,,2,,2,2,1,39,20,7512,75,63,67.132.557.599.899
620279,1,3,70,3,45,4,,2,3,4,,1,8,,,,,,,,,,1,,1,45000,2,2,1,61,61,111,1,63,768.577.802.078.508
620279,1,4,70,3,45,4,,2,3,4,,1,8,,,,,,,,,,1,,1,60000,2,2,1,61,81,3611,36,63,768.577.802.078.508
620286,1,5,70,156,45,8,,2,156,4,,1,1,,,,,,,,,,1,,2,,2,2,1,62,61,111,1,63,688.528.857.214.551
620304,1,2,70,2,48,8,,2,4,8,,3,1,,,,,,,,,,1,,2,,2,2,1,17,62,121,1,63,8.453.387.553.589
620326,1,4,70,12,48,3,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,54,,,,63,694.806.175.731.685
620326,1,5,70,24,48,3,,2,24,4,,1,1,,,,,,,,,,1,,2,,2,2,1,54,54,8532,85,63,694.806.175.731.685
623625,1,3,70,3,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,53,,,,25,202.502.864.839.969
623626,1,3,70,48,48,2,,2,468,2,,9,1,,,,,,,,,,1,,2,,2,2,1,6,31,7513,75,25,148.367.840.637.057
623633,1,3,70,52,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,53,,,,25,284.210.085.561.414
623635,1,1,70,52,48,1,,2,250,1,,7,2,,,,,,,,,,1,,2,,2,2,1,98,39,7512,75,25,26.666.999.003.968
623654,1,2,70,12,48,1,,2,12,3,,2,1,,,,,,,,,,1,,2,,2,2,1,97,54,9500,95,25,534.857.867.431.533
623656,1,2,70,20,48,3,,2,20,3,,1,8,,,,,,,,,,1,,2,,2,2,1,54,54,9500,95,25,787.247.831.859.403
623667,1,3,70,48,48,1,,2,1,1,,3,1,,,,,,,,,,1,,2,,2,2,1,53,53,5521,55,25,180.557.369.552.777
623682,1,3,70,48,48,1,,2,48,1,,8,4,,,,,,,,,,1,,2,,2,2,1,97,97,2693,26,25,215.625.972.790.766
623682,1,5,70,20,60,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,45,,,,25,215.625.972.790.766
623733,1,4,70,24,40,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,62,,,,25,257.129.189.328.888
623741,1,5,70,10,40,8,,2,36,3,,1,4,,,,,,,,,,1,,2,,2,2,1,62,54,9500,95,25,243.685.080.315.642
626304,1,3,70,11,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,2,1,59,,,,63,131.652.229.996.178
