DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,fex_c_2011
612554,1,2,50,70,5,54,1,,2,5,1,,5,3,,,,,,,,,,1,,2,,2,1,95,95,4530,45,50,183.013.555.162.673
612554,1,3,50,70,24,48,1,,2,24,1,,4,4,,,,,,,,,,1,,2,,2,1,32,32,6021,60,50,183.013.555.162.673
612557,2,1,50,70,3,48,4,,2,8,1,,9,3,,,1,,,,,,,,,2,,2,1,59,59,8511,85,50,140.179.789.902.473
612566,1,3,52,70,4,40,1,,2,4,1,,5,9,PAGARIA PARTICULAR,,,,,,,,,1,,1,260000,2,1,32,32,5241,52,52,107.091.356.552.069
612579,1,4,52,70,4,48,1,,2,4,1,,2,4,,,,,,,,,,1,,1,150000,2,1,45,33,5522,55,52,361.684.625.330.962
612583,1,3,52,70,24,48,1,,2,24,4,,1,1,,,,,,,,,,1,,2,,2,1,45,54,8532,85,52,101.675.385.642.502
612595,1,1,52,70,32,24,1,,2,160,1,,9,6,,,,,,,,,,1,,2,,2,1,39,30,6422,64,52,176.809.067.729.551
612599,1,1,52,70,52,48,1,,2,52,1,,2,1,,,,,,,,,,1,,2,,2,1,98,98,6042,60,52,165.401.256.569.548
612604,1,2,52,70,40,48,1,,2,40,1,,5,4,,,,,,,,,,1,,2,,2,1,45,59,8513,85,52,17.980.801.303.932
612607,1,2,52,70,24,48,1,,2,24,1,,5,1,,,,,,,,,,1,,2,,2,1,45,37,6412,64,52,189.876.518.149.118
612608,1,1,52,70,4,48,1,,2,20,1,,2,1,,,,,,,,,,1,,2,,2,1,95,95,4521,45,52,170.279.439.641.544
612617,1,2,52,70,104,40,1,,2,104,1,,5,1,,,,,1,,,,,,,2,,2,1,45,45,5011,50,52,95.989.350.223.964
612695,1,1,66,70,4,60,3,,2,5,3,,1,1,,,,,,,,,,1,,1,250000,2,1,54,54,9500,95,66,295.541.008.390.395
612713,1,2,68,70,12,48,1,,2,20,4,,1,2,,,,,,,,,,1,,2,,2,1,39,45,5261,52,68,384.879.803.363.848
612715,1,3,68,70,24,48,1,,2,24,1,,9,4,,,,,,,,,,1,,2,,2,1,21,70,123,1,68,287.306.442.784.405
612723,1,2,68,70,9,40,2,,2,8,2,,9,1,,,1,,1,,,,,,,2,,2,1,19,19,7512,75,68,336.060.550.380.502
612724,1,2,68,70,32,48,1,,2,32,1,,9,1,,,,,,,,,,1,,2,,2,1,45,39,8511,85,68,401.789.055.330.609
612724,1,3,68,70,4,48,1,,2,6,1,,9,1,,,,,,,,,,1,,2,,2,1,45,84,7220,72,68,401.789.055.330.609
612732,1,7,68,70,52,24,1,,2,104,1,,9,1,,,,,,,,,,1,,2,,2,1,45,45,5211,52,68,309.569.374.267.303
612740,1,2,68,70,10,48,1,,2,10,1,,4,4,,,,,,,,,,1,,2,,2,1,45,79,1741,17,68,22.223.235.819.576
612740,1,3,68,70,5,48,1,,2,10,1,,4,4,,,,,,,,,,1,,2,,2,1,39,45,1741,17,68,22.223.235.819.576
612740,1,4,68,70,8,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,1,45,,,,68,22.223.235.819.576
612764,1,1,68,70,20,48,1,,2,12,1,,9,3,,,,,,,,,,1,,2,,2,1,32,32,8045,80,68,566.928.671.183.512
612780,1,1,68,70,30,48,4,,2,60,1,,8,1,,,,,,,,,,1,,2,,2,1,85,85,4542,45,68,57.586.561.461.884
612789,1,3,68,70,50,48,1,,2,80,1,,9,1,,,,,,,,,,1,,2,,2,1,32,32,6412,64,68,417.187.223.780.541
612798,1,2,68,70,4,55,1,,2,4,1,,6,1,,,,,,,,,,1,,1,461500,2,1,95,95,4521,45,68,516.608.036.359.602
612804,1,2,68,70,8,48,3,,2,8,4,,1,1,,,,,,,,,,1,,2,,2,1,54,56,9301,93,68,383.926.584.241.236
612812,1,2,73,70,5,48,1,,2,17,1,,2,2,,,,,,,,,,1,,2,,2,1,45,45,5262,52,73,204.956.735.872.098
612822,1,5,73,70,4,40,4,,2,300,4,,2,1,,,,,,,,,1,,PENSION,2,,2,1,16,41,5211,52,73,186.114.290.928.333
612828,1,3,73,70,12,48,1,,2,12,1,,6,1,,,,,,,,,,1,,2,,2,1,58,58,7492,74,73,458.194.868.422.892
612831,1,1,73,70,5,48,1,,2,5,1,,4,1,,,,,,,,,,1,,2,,2,1,79,79,1810,18,73,502.156.045.305.287
612832,1,3,73,70,4,40,1,,2,4,4,,1,1,,,,,,,,,,1,,2,,2,1,45,94,3699,36,73,117.854.036.299.319
612833,1,1,73,70,8,48,3,,2,8,4,,1,7,,,,,,,,,,1,,2,,2,1,54,55,7493,74,73,165.551.500.034.986
612841,2,1,73,70,28,48,1,,2,28,4,,1,6,,,,,,,,,,1,,2,,2,1,53,59,9309,93,73,160.534.556.389.261
612842,1,1,73,70,52,48,1,,2,156,1,,2,1,,,,,,,,,,1,,2,,2,1,84,84,5020,50,73,183.136.686.942.714
612842,1,2,73,70,8,25,3,,2,8,1,,4,6,,,,,,,,,,1,,2,,2,1,54,45,5262,52,73,183.136.686.942.714
612848,1,2,73,70,2,48,1,,2,2,1,,6,2,,,,,,,,,,1,,1,51000,2,1,45,53,5521,55,73,201.021.415.473.193
612851,1,2,73,70,6,48,1,,2,6,1,,3,1,,,,,,,,,,1,,2,,2,1,45,45,5233,52,73,133.482.637.038.684
612854,1,3,73,70,74,48,1,,2,72,1,,3,2,,,,,,,,,,1,,2,,2,1,45,45,1511,15,73,182.055.063.695.894
612869,1,3,73,70,8,40,1,,2,24,1,,9,1,,,,,,,,,,1,,2,,2,1,32,34,8511,85,73,389.699.926.259.259
612882,1,2,5,70,2,48,1,,2,48,4,,3,1,,,,,,,,,,1,,2,,2,1,55,79,1810,18,5,915.202.732.078.686
612886,1,3,5,70,12,48,1,,2,12,1,,4,1,,,,,,,,,,1,,2,,2,1,50,50,5529,55,5,779.853.725.107.057
612886,1,4,5,70,2,24,1,,2,5,9,EMPLEADO DE  OTRO  ASALARIADO QUE  LE PAGO  PARA  QUE  LE  AYUDARA  HACER  EL TR,2,1,,,,,,,,,,1,,2,,2,1,59,37,6412,64,5,779.853.725.107.057
612886,1,5,5,70,1,48,1,,2,80,4,,8,1,,,,,,,,,,1,,2,,2,1,39,79,1810,18,5,779.853.725.107.057
