DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P6440,P6450,P6460,P6460S1,P6400,P6422,P6424,P6424S2,P6424S3,P6424S1,P6426,P6430,P6430S1,P6480,P6480S1,P6500,P6510,P6510S1,P6510S2,P6590,P6590S1,P6600,P6600S1,P6610,P6610S1,P6620,P6620S1,P6585,P6585S2A1,P6585S3A1,P6585S4A1,P6585S3A2,P6585S2A2,P6585S1A2,P6585S2,P6585S3,P6585S1A1,P6585S4,P6585S1,P6580,P6580S1,P6580S2,P6630S3,P6630S4A1,P6630S3A1,P6630S2A1,P6630S1A1,P6630S4,P6630S2,P6630S1,P6640,P6642S2,P6642S1,P6765,P6765S1,P6772,P6750,P6760,P550,P6780,P6780S1,P6790,P6800,P6810,P6810S1,P6850,P6830,P6830S1,P6835,P6835S1,P6835S2,P6836,P6836S1,P6836S2,P6837,P6837S1,P6837S2,P6870,P6880,P6880S1,P6910,P6910S1,P6920,P6930,P6940,P6960,P6980,P6980S1,P6980S2,P6980S3,P6980S4,P6980S5,P6980S6,P6980S7,P6980S8,P6980S7A1,P6990,P7020,P7026,P7028,P7028S1,P7040,P7045,P7050,P7050S1,P7070,P760,P6410,P6640S1,P6642S11,P6642S7,P6642S8,P6642S9,P6642S10,P6642S12,P6642S5,P6642S4,P6642S3,P6642S6,P9440,P9450,P6630S6,P6630S6A1,P6410S1,P6545S1,P6545,P6545S2,P6915S1,P6915,P6585S4A2,P6773,P6773S1,P7090,P7100,P7110,P7120,P7130,P7140,P7140S1,P7140S2,P7140S3,P7140S4,P7140S5,P7140S6,P7140S7,P7140S8,P7140S9,P7140S9A1,P7150,P7160,P7170,P7170S1,P7170S2,P7170S3,P7170S4,P7170S5,P7170S6,P7180,P7190,P7200,P7240,P7240S1,CLASE,OCI,P6420S1,RAMA4D,OFICIO,RAMA2D,RAMA4DP8,RAMA2DP8,DPTO,fex_c_2011
617232,1,1,60,2,,,,,,,,,,3,1,,2,,461500,2,,,2,,2,,2,,2,,,55000,,,,2,,1,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,48,,.,48,,,1,7,16,2,,,,,,4,4,,,,2,,,,1,,,,,,,,1,,2,1,9,1,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,10,,,,2,,,,2,,,,,,,,,,,,,,,3,2,1,3,3,3,2,3,3,3,,2,1,,1411,71,14,,,25,683.454.219.333.321
617232,1,3,60,1,2,1,,1,1,,1,1,1,120,2,,5,,817000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,1,,650000,800000,460000,2,1,1,2,,,,,,,,,,,12,98,,.,98,,,1,6,20,2,,,,,,9,7,,,,1,3,1,8,1,1,,1,,,,,,,1,2,,,,2,,,,,,,,,,,,,,,,,,2,1,2,,,,2,,,2,,,,2,,,,2,,,,,,,,,,,,,,,1,1,1,1,1,1,2,4,3,5,,2,1,,7522,58,75,,,25,683.454.219.333.321
617233,1,1,60,2,,,,,,,,,,240,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,7000,1,85000,1,,12,4,2,,4,,,2,,,,,,,,,1,1,,,,2,,,,1,,,,,,,,1,,2,1,5,4,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,3,2,2,2,4,3,,2,1,,5222,41,52,,,25,533.566.492.224.696
617234,1,1,60,1,2,2,12,2,1,,1,1,2,120,1,,1,,461500,2,,,2,,2,,2,,2,,,55000,18000,,2,2,,1,1,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,48,,.,48,,,2,,,,,,,,,9,3,,,,1,1,1,5,1,1,,,,,,,,,1,1,120,8,,2,,,,,0,3,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,5,,2,1,7492,7513,58,75,7492,74,25,586.467.962.012.895
617235,1,1,60,2,,,,,,,,,,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,100000,1,1500000,3,,12,20,2,,20,,,2,,,,,,,,,2,8,,,,2,,,,1,,,,1,,,,,,2,1,240,5,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,3,2,2,3,3,3,,2,1,,117,61,1,,,25,540.912.308.847.158
617257,1,1,60,1,2,1,,1,1,,1,1,1,2,1,,2,,461500,2,,,2,,2,,2,,2,,,,,,,,,2,9,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,48,,.,48,,,1,7,16,1,7,12,2,,,4,7,,,,2,,,,1,,,,,,,,1,,2,1,12,4,,2,,,,,0,,,,,,,,,,,,,2,1,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,8,,2,1,,5141,89,51,,,25,589.628.166.642.597
617260,1,1,60,1,2,1,,2,1,,1,1,1,48,1,,3,,461500,2,,,2,,2,,2,,2,,,,37100,,2,,,2,1,,2,2,2,,,1,,433500,,,2,2,2,2,,,,,,,,,,,12,48,,.,48,,,2,,,,,,,,,9,7,,,,1,2,1,15,1,1,,,,,,,,,1,1,24,4,,2,,,,,4,2,,,,,,,,,,,,2,1,1,100000,,,2,,,1,,,,1,24,2,1,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,9,,2,1,7491,2693,97,26,7491,74,25,667.638.959.505.667
617260,1,2,60,2,,,,,,,,,,20,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,150000,1,1800000,3,,12,63,,.,63,,,2,,,,,,,,,1,7,,,,2,,,,1,,,,,,,,1,,2,1,96,4,,2,,,,,72,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,9,,2,1,,5211,41,52,,,25,667.638.959.505.667
617261,1,1,60,1,1,,,1,2,,2,2,2,24,1,,1,,600000,2,,,1,120000,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,9,48,,.,48,,,1,8,17,2,,,,,,3,7,,,,2,,,,1,,,,,,,,1,,2,1,36,1,,2,,,,,3,,,,,,,,,,,,,2,2,2,,,,2,,HOJA SISBEN,12,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,3,2,1,2,2,3,,2,1,,4542,85,45,,,25,895.436.396.061.886
617262,1,1,60,2,,,,,,,,,,2,1,,1,,200000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,2,48,,.,48,,,1,8,17,2,,,,,,2,2,,,,2,,,,1,,,,,,,,1,,2,1,12,1,,2,,,,,36,,,,,,,,,,,,,2,2,2,,,,2,,,7,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,3,3,2,2,2,3,8,,2,1,,4521,95,45,,,25,634.917.851.964.556
617264,1,1,60,2,,,,,,,,,,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,800000,1,6400000,3,,12,60,,.,60,,,1,6,18,2,,,,,,3,8,,,,2,,,,1,,,,,,,,1,,2,1,372,8,,2,,,,,4,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,3,2,2,3,3,8,,2,1,,117,61,1,,,25,560.662.914.722.214
617264,1,2,60,2,,,,,,,,,,24,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,36,2,,36,,,2,,,,,,,,,3,8,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,8,,2,1,,117,62,1,,,25,560.662.914.722.214
617264,1,3,60,2,,,,,,,,,,3,8,,1,,90,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,3,18,1,,18,,,1,7,17,2,,,,,,3,8,,,,2,,,,1,,,,,,,,1,,2,2,,,,1,9,6,,,,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,1,27,1,1,1,1,1,1,2,1,2,2,1,2,2,,1,1,,2,2,2,2,2,2,2,2,3,3,,2,1,,117,62,1,,,25,560.662.914.722.214
618057,1,1,60,2,,,,,,,,,,14,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,400000,1,4800000,3,,12,40,,.,40,,,1,7,12,1,13,16,2,,,1,8,,,,2,,,,1,,,,,,,,1,,2,1,12,4,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,3,3,2,2,3,3,9,,2,1,,9214,17,92,,,63,914.055.060.360.713
618060,1,1,60,2,,,,,,,,,,244,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,50000,1,,3,,6,45,,.,45,,,1,7,12,1,13,17,2,,,1,8,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,1,8,2,1,1,1,2,1,2,1,2,2,1,2,2,,2,1,,3,3,2,3,3,3,2,2,3,8,,2,1,,9214,17,92,,,63,627.733.629.134.123
618075,1,2,60,2,,,,,,,,,,180,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,300000,1,,2,,9,60,,.,60,,,1,6,12,1,13,17,2,,,1,8,,,,2,,,,1,,,,,,1,,,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,2,1,1,1,2,1,1,2,2,,2,1,,3,2,3,3,4,2,2,2,3,8,,2,1,,140,61,1,,,63,767.955.329.295.134
618076,1,1,60,1,1,,,1,1,,2,2,2,8,1,,1,,461500,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,48,,.,48,,,1,8,12,1,14,18,2,,,2,8,,,,2,,,,1,,,,,,1,,,,2,1,12,4,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,11,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,8,,2,1,,121,62,1,,,63,511.837.094.801.557
618077,1,1,60,2,,,,,,,,,,120,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,200000,1,2400000,2,,12,50,,.,50,,,1,6,12,1,13,17,2,,,1,8,,,,1,2,2,15,1,,1,,,,,,,,2,1,0,8,,2,,,,,12,,,,,,,,,,,,,,2,,,,,,,,11,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,3,,2,1,,140,61,1,,,63,573.510.479.098.836
618077,1,3,60,2,,,,,,,,,,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,440000,1,2680000,2,,12,60,,.,60,,,1,7,12,1,13,18,2,,,1,9,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,1,1,1,1,2,1,1,1,2,,2,1,,3,3,3,3,3,3,2,2,3,8,,2,1,,4521,95,45,,,63,573.510.479.098.836
618079,1,1,60,1,1,,,1,1,,2,2,2,24,1,,1,,320000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,70,,.,70,,,1,7,12,1,13,18,2,,,2,8,,,,2,,,,1,,,,,,,,1,,2,1,84,1,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,8,,2,1,,121,62,1,,,63,627.733.629.134.123
618080,1,1,60,2,,,,,,,,,,24,1,,1,,500000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,70,,.,70,,,1,7,12,1,13,18,2,,,2,8,,,,2,,,,1,,,,,,,,1,,2,1,36,1,,2,,,,,2,,,,,,,,,,,,,2,2,2,,,,2,,,11,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,8,,2,1,,121,62,1,,,63,652.936.951.179.419
618104,1,1,60,2,,,,,,,,,,8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,469500,1,,3,,11,60,,.,60,,,1,7,12,1,13,18,2,,,1,9,,,,2,,,,1,,,,,,,,1,,2,1,24,1,,2,,,,,1,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,3,9,,2,1,,4521,95,45,,,63,658.633.749.497.046
618707,1,1,60,2,,,,,,,,,,360,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,350000,1,,3,,12,66,,.,66,,,1,8,12,1,13,20,2,,,1,6,,,,2,,,,1,,,,,,,,1,,2,2,,,,1,24,4,,300000,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,2,9,,2,1,,5219,41,52,,,63,105.303.718.603.489
618707,1,2,60,2,,,,,,,,,,4,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,42,,.,42,,,1,8,14,2,,,,,,2,7,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,2,1,,5221,45,52,,,63,105.303.718.603.489
618707,1,3,60,2,,,,,,,,,,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,20,3,POR EL ESTUDIO,48,,,1,8,12,1,14,18,2,,,2,7,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,3,3,2,2,2,3,3,,2,1,,5221,45,52,,,63,105.303.718.603.489
618708,1,1,60,2,,,,,,,,,,120,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,47000,1,,1,,12,48,,.,48,,,2,,,,,,,,,1,3,,,,2,,,,1,,,,,,,,1,,2,1,480,4,,2,,,,,0,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,3,3,2,3,3,3,2,2,3,8,,2,1,,5241,45,52,,,63,654.474.161.683.595
618708,1,2,60,2,,,,,,,,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,40000,0,,3,,0,35,1,,35,,,2,,,,,,,,,1,1,,,,2,,,,1,,,,,,,,1,,2,1,12,4,,2,,,,,99,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,3,3,2,3,3,8,,2,1,,1551,77,15,,,63,654.474.161.683.595
618710,1,1,60,1,1,,,1,1,,2,2,2,4,8,,1,,420000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,1,11,7,,,,,,,,,12,70,,.,70,,,1,3,13,1,14,18,2,,,2,8,,,,2,,,,1,,,,,,,,1,,2,1,9,8,,2,,,,,0,,20,,,,,,,,,20,,2,2,2,,,,2,,,2,,,,2,,,,1,1,1,1,1,2,2,1,2,2,2,,2,1,,3,3,2,3,3,3,2,3,1,3,,2,1,,121,62,1,,,63,55.746.369.811.084
618711,1,1,60,2,,,,,,,,,,11,1,,1,,320000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,11,56,,.,56,,,1,6,12,1,13,17,2,,,2,8,,,,2,,,,1,,,,,,,,1,,2,1,5,1,,2,,,,,1,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,2,,,,1,1,1,1,1,2,2,1,2,2,2,,2,1,,2,2,2,3,3,2,2,3,3,8,,2,1,,113,60,1,,,63,6.860.529.605.737
618712,1,1,60,2,,,,,,,,,,3,1,,7,DIRECTAMENTE HABLO CON EL PATRON,466000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,200000,,2,1,2,2,,,,,,,,,,,12,42,,.,42,,,2,,,,,,,,,2,8,,,,1,1,3,3,1,1,,,,,,,,,1,1,84,1,,2,,,,,0,,,,,,,,,,,,,2,2,2,,,,2,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,2,,2,1,,121,60,1,,,63,67.538.182.463.493
618712,1,2,60,2,,,,,,,,,,3,3,,1,,100000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,24,2,,24,,,2,,,,,,,,,1,2,,,,2,,,,1,,,,,,,,1,,2,1,12,3,,2,,,,,8,,,,,,,,,,,,,2,2,2,,,,2,,,3,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,2,1,,9500,54,95,,,63,67.538.182.463.493
618713,1,1,60,2,,,,,,,,,,360,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1500000,1,16000000,1,,8,35,1,,8,2,,2,,,,,,,,,1,9,,,,2,,,,1,,,,,,1,,,,1,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,2,2,2,3,3,3,,2,1,,4521,95,45,,,63,609.345.004.314.552
618730,1,1,60,2,,,,,,,,,,18,8,,1,,240000,2,,,2,,2,,2,,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,40,,.,40,,,1,7,8,1,9,12,1,13,16,3,8,,,,2,,,,1,,,,,,,,1,,2,1,36,4,,2,,,,,1,,,,,,,,,,,,,2,2,2,,,,2,,,7,,,,2,,,,2,,,,,,,,,,,,,,,2,2,2,2,3,2,2,2,3,3,,2,1,,121,62,1,,,63,627.733.629.134.123
618751,1,1,60,2,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,180000,1,,1,,5,56,,.,56,,,1,6,12,1,13,17,1,6,12,1,8,,,,2,,,,1,,,,,,,,1,,2,1,2,4,,2,,,,,2,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,1,1,2,1,2,2,2,2,2,,2,1,,3,3,3,4,4,3,2,1,3,8,,2,1,,111,61,1,,,63,654.474.161.683.595
618752,1,1,60,2,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,190000,1,,1,,5,105,,.,105,,,1,6,13,1,14,22,2,,,1,2,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,1,1,1,1,2,2,1,2,2,,2,1,,3,4,2,4,4,4,2,1,4,8,,2,1,,7493,54,74,,,63,66.124.892.614.097
618752,1,2,60,2,,,,,,,,,,84,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,50000,1,,3,,12,18,1,,18,,,2,,,,,,,,,1,5,,,,2,,,,1,,,,,,,,1,,2,2,,,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,2,,,,2,,,,1,1,1,1,2,2,2,2,2,2,2,,1,1,,3,2,3,3,4,2,2,3,3,8,,2,1,,5261,45,52,,,63,66.124.892.614.097
618753,1,1,60,2,,,,,,,,,,24,3,,1,,200000,2,,,1,72000,2,,1,28000,2,,,,,,,,,2,2,,2,2,2,,,2,,,,,2,2,2,2,,,,,,,,,,,12,66,,.,66,,,1,6,12,1,13,17,2,,,1,2,,,,2,,,,1,,,,,,,,1,,2,1,6,4,,2,,,,,5,,,,,,,,,,,,,2,2,2,,,,2,,,2,,,,2,,,,1,1,1,1,1,2,1,1,1,2,2,,2,1,,3,3,3,4,4,4,2,2,2,8,,2,1,,9500,54,95,,,63,584.043.523.941.581
