DIRECTORIO;SECUENCIA_P;ORDEN;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;CLASE;DPTO;fex_c_2011
617264;1;4;90;;2;;1;2;2;2;2;1;2;2;2;;;21;;;;;1;;;;2;25;560.662.914.722.214
618057;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;914.055.060.360.713
618057;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;56;;;;;;;;;2;63;914.055.060.360.713
618057;1;3;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;2;63;914.055.060.360.713
618057;1;4;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;2;63;914.055.060.360.713
618057;1;5;90;;2;;1;2;2;2;2;2;2;2;2;;;14;;;;;;;;;2;63;914.055.060.360.713
618057;1;10;90;;2;;1;2;2;2;2;2;2;2;2;;;40;;;;;;;;;2;63;914.055.060.360.713
618060;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;7;;;;;;;;;2;63;627.733.629.134.123
618075;1;1;90;;1;;1;2;2;2;2;2;2;2;2;40;;50;;;;;;;;;2;63;767.955.329.295.134
618075;1;2;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;767.955.329.295.134
618075;1;3;90;;2;;1;2;2;2;2;2;2;2;2;;;20;;;;;;;;;2;63;767.955.329.295.134
618075;1;4;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;767.955.329.295.134
618076;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;511.837.094.801.557
618076;1;2;90;;1;;1;2;1;2;2;2;2;2;2;10;;60;;20;;;;;;;2;63;511.837.094.801.557
618077;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;573.510.479.098.836
618077;1;2;90;;1;;1;2;2;2;2;2;2;2;2;10;;60;;;;;;;;;2;63;573.510.479.098.836
618077;1;3;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;573.510.479.098.836
618079;1;1;90;;2;;1;2;2;2;2;2;2;2;2;;;5;;;;;;;;;2;63;627.733.629.134.123
618080;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;652.936.951.179.419
618080;1;2;90;;1;;1;2;2;2;2;2;2;2;2;10;;70;;;;;;;;;2;63;652.936.951.179.419
618093;1;1;90;;2;;1;1;1;2;2;2;2;2;2;;;30;18;18;;;;;;;2;63;711.216.349.850.646
618104;1;1;90;;2;;1;2;1;2;2;2;2;2;2;;;5;;10;;;;;;;2;63;658.633.749.497.046
618104;1;2;90;;2;;1;2;1;2;2;2;2;2;2;;;25;;40;;;;;;;2;63;658.633.749.497.046
618707;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;105.303.718.603.489
618707;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;42;;;;;;;;;2;63;105.303.718.603.489
618707;1;3;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;105.303.718.603.489
618707;1;4;90;;2;;1;2;2;2;2;2;2;2;2;;;4;;;;;;;;;2;63;105.303.718.603.489
618707;1;5;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;105.303.718.603.489
618707;1;6;90;;2;;1;2;2;2;2;2;2;2;2;;;10;;;;;;;;;2;63;105.303.718.603.489
618708;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;654.474.161.683.595
618708;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;30;;;;;;;;;2;63;654.474.161.683.595
618709;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;853.893.349.501.034
618709;1;2;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;853.893.349.501.034
618709;1;3;90;;2;;2;2;2;2;2;2;2;2;1;;;;;;;;;;;4;2;63;853.893.349.501.034
618710;1;1;90;;2;;2;2;2;2;2;2;2;2;2;;;;;;;;;;;;2;63;55.746.369.811.084
618710;1;2;90;;2;;1;2;2;2;2;2;2;2;2;;;36;;;;;;;;;2;63;55.746.369.811.084
