DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;DPTO;fex_c_2011
4707236;1;2;1;80; ;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;09;68;2823,34383633899
4707238;1;1;1;80; ;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;09;68;2073,97356229238
4707239;1;3;1;80; ;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09;68;4677,05487692911
4707239;1;4;1;80; ;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09;68;4677,05487692911
4707242;1;3;1;80; ;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09;68;3265,59140667997
4707243;1;2;1;80; ;1;1;1;6; ;1; ;1;9; ;2; ;2; ;1;48;781242;2;1;09;68;1647,0873171143
4707243;1;4;1;80; ;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09;68;1647,0873171143
4707244;1;3;1;80; ;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09;68;3658,60275694119
4707245;1;6;1;80; ;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;68;3591,94007948666
4707247;1;1;1;80; ;1;1;4;3; ;1; ;4;1; ;2; ;2; ;1;48;781242;2;1;09;68;2330,21312230988
4707247;1;3;1;80; ;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09;68;2330,21312230988
4707293;1;1;1;80;05;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;05;871,714431421694
4707295;1;1;1;80;05;1;1;3;4; ;2; ; ;4; ;1;2;2; ; ; ; ;1;1;09;05;1081,92444096509
4707298;1;3;1;80;05;1;1;1;4; ;2; ; ;4; ;2; ;2; ;2; ;781242;2;1;09;05;1049,81495434659
4707299;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09;05;895,144893476999
4707301;1;2;1;80;05;1;1;4;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;05;798,042101465616
4707301;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09;05;798,042101465616
4707302;1;1;1;80;05;1;1;3;4; ;2; ; ;4; ;3; ;2; ; ; ; ;3;1;09;05;1112,95026853497
4707302;1;2;1;80;05;1;2; ; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;09;05;1112,95026853497
4707305;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09;05;986,567347915544
4707306;1;2;1;80;05;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;05;934,353251431135
4707308;1;1;1;80;05;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;09;05;910,245977572951
4707308;1;2;1;80;05;1;1;2;6; ;1; ;1;2; ;1; ;1;50000;1;24;781242;2;1;09;05;910,245977572951
4707308;1;3;1;80;05;1;1;3;5; ;2; ; ;8; ;3; ;2; ; ; ; ;3;1;09;05;910,245977572951
4707308;1;4;1;80;05;1;1;4;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;09;05;910,245977572951
4707310;1;1;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09;05;956,038014524602
4707312;1;2;1;80;05;1;1;1;8; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;05;1068,24189063194
4707313;1;1;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09;05;956,038014524602
4707314;1;1;1;80;05;1;1;4;7; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;09;05;956,038014524602
4707315;1;3;1;80;05;1;1;1;8; ;2; ; ;2; ;2; ;2; ; ; ; ;2;1;09;05;873,460130383532
4707315;1;4;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ;2; ;400000;2;1;09;05;873,460130383532
4707316;1;1;1;80;05;1;1;4;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;09;05;956,038014524602
4707317;1;2;1;80;05;1;1;4;7; ;2; ; ;7; ;2; ;2; ;2; ;781242;2;1;09;05;915,926315145789
4707317;1;3;1;80;05;1;2; ; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;09;05;915,926315145789
