DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;AREA;ESC;MES;DPTO;fex_c_2011
4707291;1;1;1;10;1;1;4;1985;33;1;2;2; ;2; ;1;2;2;1;4; ; ; ;2;1;2; ;4;8; ; ;05;8;09;05;1191,75147554252
4707291;1;2;1;10;2;2;2;1988;30;2;2;2; ;2; ;1;1;2;1;4; ; ; ;2;1;2; ;5;11;2; ;05;11;09;05;1191,75147554252
4707291;1;3;1;10;2;1;1;2010;8;3; ;2; ;1;2; ; ;2;1;4; ; ; ;2;1;1;1;3;2; ; ;05;2;09;05;1191,75147554252
4707292;1;1;1;10;1;1;2;1977;41;1;2;3; ;2; ;1;2;1; ; ;1;1;31489;2;1;2; ;5;11;2; ;05;11;09;05;1191,75147554252
4707292;1;2;1;10;2;2;6;1993;25;2;2;2; ;2; ;1;1;1; ; ;1;3;97655;2;1;2; ;5;11;2; ;05;11;09;05;1191,75147554252
4707292;1;3;1;10;2;1;3;2016;2;3; ;1;1;1;2; ; ;1; ; ;1;5; ;2; ; ; ; ; ; ; ;05; ;09;05;1191,75147554252
4707293;1;1;1;10;1;2;6;1950;68;1;6;2; ;3; ; ; ;1; ; ;1;3;97500;2;1;2; ;6;1;2;2;05;12;09;05;871,714431421694
4707293;1;2;1;10;2;2;9;1959;58;5;5;2; ;3; ; ; ;1; ; ;3; ; ;1;1;2; ;4;9; ; ;05;9;09;05;871,714431421694
4707293;1;3;1;10;3;1;8;1988;30;5;6;3; ;1;2; ; ;2;1;3; ; ; ;1;1;2; ;5;11;2; ;05;11;09;05;871,714431421694
4707294;1;1;1;10;1;1;12;1961;56;1;6;3; ;3; ; ; ;1; ; ;2;2;738000;2;1;2; ;6;11;5; ;05;22;09;05;1152,56547373485
4707295;1;1;1;10;1;1;10;1971;46;1;6;2; ;2; ; ; ;1; ; ;1;4; ;2;1;2; ;4;7; ; ;05;7;09;05;1081,92444096509
4707296;1;1;1;10;1;2;8;1960;58;1;6;3; ;2; ; ; ;1; ; ;1;5; ;1;1;2; ;5;11;2; ;05;11;09;05;863,71221866138
4707296;1;2;1;10;1;1;3;1989;29;3;6;2; ;1;1; ; ;1; ; ;3; ; ;2;1;2; ;4;7; ; ;05;7;09;05;863,71221866138
4707296;1;3;1;10;1;2;4;1996;22;3;6;2; ;1;1; ; ;1; ; ;1;1;31250;2;1;2; ;6;3;3; ;05;14;09;05;863,71221866138
4707297;1;1;1;10;1;1;3;1948;70;1;4;3; ;3; ; ; ;1; ; ;3; ; ;2;1;2; ;4;7; ; ;05;7;09;05;1152,56547373485
