DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,fex_c_2011
2737596,1,4,2,1,1,1,1,1,3,3,,,,,150000,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,3,1,2,1,4,1,1,1,1,1,2,3,1,1,2,7,63,1,132.298.461.820.888
2737605,1,4,3,2,1,4,1,1,5,1,,,50000000,150000,,2,2,1,1,1,1,2,2,2,1,1,1,2,2,2,1,1,1,1,2,2,1,4,2,2,,5,1,1,1,2,1,2,2,2,1,2,,1,1,2,7,63,1,1.657.065.874.629
2737607,1,2,1,2,1,4,2,1,4,1,,,12000000,150000,,2,2,1,1,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,,2,1,1,4,2,1,2,2,2,2,2,,,1,2,7,63,1,151.744.752.066.831
2737608,1,3,2,2,1,4,2,1,4,4,,,,60000,,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,3,2,1,1,4,1,1,1,2,1,2,2,2,2,2,,,1,2,7,63,1,151.673.635.703.364
2737609,1,4,3,2,1,4,1,1,4,1,,,30000000,250000,,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,4,2,2,,4,1,1,1,4,1,2,2,2,1,2,,1,1,2,7,63,1,132.283.211.206.395
2737613,1,3,2,1,1,1,1,1,3,1,,,25000000,1200000,,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,1,2,1,1,2,2,,3,1,1,1,2,1,1,1,1,1,1,3,1,1,2,7,63,1,152.765.378.394.965
2737614,1,4,3,1,1,1,1,1,3,1,,,15000000,70000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,4,1,1,1,2,1,1,1,1,1,1,3,1,1,2,7,63,1,110.316.400.102.929
2737616,1,3,2,1,1,1,1,1,3,3,,,,,170000,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,2,1,2,1,2,1,1,1,1,1,2,3,2,1,2,7,63,1,147.305.988.659.579
2737617,1,3,2,1,1,1,1,1,3,3,,,,,120000,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,1,2,2,,3,1,1,1,2,1,1,1,1,1,2,3,1,1,2,7,63,1,15.086.140.596.905
2737617,2,2,2,1,1,1,1,1,4,3,,,,,100000,2,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,3,2,,,,,,,,,,,1,1,2,7,63,1,15.086.140.596.905
2738074,1,5,2,3,1,4,2,1,5,1,,,5000000,30000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,3,1,1,5,3,1,2,2,2,2,2,,,1,2,7,73,1,920.230.593.806.832
2738075,1,4,1,6,,3,2,1,5,1,,,98,98,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,2,1,1,5,3,1,2,2,2,2,0,,,1,2,7,73,1,732.552.759.023.646
2738076,1,1,1,3,1,4,1,1,5,1,,,1000000,100000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,4,1,1,4,2,1,2,2,2,1,2,,2,1,2,7,73,1,787.542.365.675.544
2738077,1,2,1,2,1,5,1,1,5,2,,500000,4000000,50000,,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,,2,1,1,4,2,1,2,2,2,1,1,,2,1,2,7,73,1,905.195.062.079.884
2738078,1,2,2,3,1,3,1,1,5,4,,,,98,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,3,2,2,,5,1,1,1,2,1,2,2,2,1,1,,2,1,2,7,73,1,106.254.473.056.035
2738079,1,3,1,3,1,3,2,1,5,4,,,,30000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,,2,1,1,1,2,1,2,2,2,2,3,,,1,2,7,73,1,905.195.062.079.884
2738081,1,3,1,3,1,3,2,5,5,4,,,,98,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,2,1,1,5,3,2,2,2,2,2,,,,1,2,7,73,1,691.016.444.845.989
2738082,1,3,2,1,1,1,1,1,4,3,,,,,120000,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,,3,1,1,5,3,1,2,1,1,1,1,1,1,1,2,7,73,1,883.556.040.869.549
2738083,1,2,2,1,1,1,1,1,4,4,,,,120000,,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,1,2,2,1,2,2,2,,5,1,2,1,2,1,2,1,1,1,1,1,1,1,2,7,73,1,869.144.287.538.548
2738085,1,5,2,1,1,1,1,1,4,2,,500000,98,200000,,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,5,1,2,1,3,1,2,1,1,1,2,1,2,1,2,7,73,1,857.443.397.632.119
2738086,1,4,2,1,1,1,1,1,4,3,,,,,150000,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,3,1,2,1,4,1,2,1,1,1,1,1,1,1,2,7,73,1,905.453.159.664.097
2738087,1,3,2,3,1,4,2,1,5,4,,,,50000,,2,2,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,,7,1,1,1,2,1,2,2,2,2,2,,,1,2,7,73,1,129.370.016.080.062
2738088,1,3,2,6,,5,2,1,5,1,,,98,98,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,2,,4,1,1,5,3,1,2,2,2,2,1,,,1,2,7,73,1,825.776.699.463.987
2738090,1,6,3,3,1,4,2,1,5,1,,,99,50000,,2,2,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,3,2,2,,4,1,1,5,3,1,2,2,2,2,2,,,1,2,7,73,1,815.580.470.575.869
2738091,1,3,2,3,1,4,2,1,5,1,,,1500000,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,5,1,1,5,3,1,2,2,2,2,2,,,1,2,7,73,1,821.737.274.920.595
2738092,1,1,1,3,1,4,2,5,5,1,,,500000,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,5,1,1,7,1,1,2,2,2,2,0,,,1,2,7,73,1,857.443.397.632.119
2738093,1,4,2,3,1,5,2,1,5,2,,500000,98,150000,,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,4,2,2,,4,1,1,1,2,1,2,2,2,2,2,,,1,2,7,73,1,112.808.682.951.289
2738094,1,4,3,3,1,5,2,1,5,1,,,1000000,120000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,5,1,1,5,3,1,2,2,2,2,2,,,1,2,7,73,1,103.264.591.872.258
2738096,1,3,1,3,1,4,2,1,5,4,,,,50000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,2,1,1,5,2,1,2,2,2,2,1,,,1,2,7,73,1,11.207.037.268.385
2738097,1,2,1,3,1,4,2,1,5,4,,,,100000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,,4,1,1,5,2,1,2,2,2,2,0,,,1,2,7,73,1,109.852.878.644.759
2738098,1,4,2,3,1,4,1,1,5,3,,,,,100000,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,,5,1,2,5,2,1,2,2,1,1,2,1,2,1,2,7,73,1,857.443.397.632.119
2738099,1,1,1,3,1,1,1,1,5,4,,,,50000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,1,1,2,5,3,1,2,2,1,1,2,1,1,1,2,7,73,1,800.528.329.317.326
2738103,1,4,4,3,1,5,1,5,5,1,,,98,20000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,,5,1,1,5,3,1,2,2,2,1,2,,1,1,2,7,73,1,85.709.432.635.198
2738105,1,5,3,2,1,4,2,1,5,1,,,98,100000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,2,2,,4,1,1,4,2,1,2,2,2,2,2,,,1,2,7,73,1,727.707.607.314.866
2738106,1,3,3,3,1,3,1,1,5,4,,,,20000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,5,1,1,5,3,1,2,2,2,1,1,,1,1,2,7,73,1,105.084.384.065.392
2738108,1,2,2,2,1,4,6,1,5,1,,,8000000,60000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,2,1,1,5,3,1,2,2,2,2,1,,,1,2,7,73,1,732.552.759.023.646
2738109,1,2,2,3,2,4,6,1,5,4,,,,40000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,,10,1,4,5,3,1,2,2,2,2,2,,,1,2,7,73,1,125.764.938.625.928
2738111,1,2,2,2,1,4,1,1,5,1,,,3000000,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,7,1,1,5,3,1,2,2,2,1,2,,1,1,2,7,73,1,108.859.882.787.239
2738112,1,3,2,2,2,4,1,1,5,1,,,1500000,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,6,1,1,5,3,1,2,2,2,1,2,,1,1,2,7,73,1,685.678.551.105.713
2738113,1,2,1,6,,4,6,5,5,1,,,2000000,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,3,1,1,5,3,1,2,2,2,2,0,,,1,2,7,73,1,889.735.303.615.821
2738115,1,3,3,3,1,4,1,1,5,1,,,15000000,150000,,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,,5,1,1,1,2,1,2,2,2,1,2,,1,1,2,7,73,1,957.985.581.025.309
2738116,1,2,2,1,2,1,1,1,4,4,,,,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,2,2,,8,1,2,5,3,1,2,1,1,1,1,1,1,1,2,7,73,1,775.228.747.814.395
2738116,2,1,1,1,2,1,1,1,4,4,,,,50000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,3,2,,,,,,,,,,,1,1,2,7,73,1,775.228.747.814.395
2738117,1,2,1,1,1,1,1,1,4,3,,,,,90000,2,2,1,1,2,1,2,2,2,1,2,1,2,2,1,2,1,1,1,2,1,1,1,2,2,,1,1,2,1,2,1,2,1,1,1,2,1,1,1,2,7,73,1,863.681.206.303.773
2738119,1,2,1,1,1,1,1,1,4,3,,,,,70000,2,2,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,1,2,2,2,,2,1,2,1,2,1,2,1,1,1,2,1,1,1,2,7,73,1,905.195.062.079.884
2738120,1,4,3,1,1,1,1,1,4,1,,,30000000,200000,,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,,4,1,1,1,2,1,2,1,1,1,2,1,1,1,2,7,73,1,596.670.133.730.666
2738121,1,3,3,3,1,4,6,1,5,1,,,2000000,100000,,2,2,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,2,2,2,1,2,2,2,,3,1,1,5,3,1,2,2,2,2,2,,,1,2,7,73,1,925.092.355.047.206
2738123,1,4,1,3,1,4,2,1,5,1,,,2000000,30000,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,3,1,1,5,3,1,2,2,2,2,2,,,1,2,7,73,1,888.766.873.390.063
2738124,1,2,1,3,1,4,2,1,5,4,,,,40000,,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2,1,1,2,2,,4,1,1,5,2,1,2,2,2,2,2,,,1,2,7,73,1,958.667.905.346.637
2738125,1,1,1,3,1,4,2,1,5,1,,,98,98,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,,2,1,1,5,3,1,2,2,2,2,0,,,1,2,7,73,1,795.705.636.010.092
2738126,1,1,1,3,1,4,9,5,5,1,,,500000,10000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,1,1,1,5,1,1,2,2,2,2,0,,,1,2,7,73,1,842.064.643.494.984
2738127,1,1,1,6,,3,2,5,5,1,,,300000,10000,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,,5,1,1,8,3,2,2,2,2,2,,,,1,2,7,73,1,94.628.469.111.888
