Directorio;Secuencia_p;Orden;Hogar;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s6;P7510s2a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;P7510s7a1;P7510s7;P750s1;P750s1a1;P750s2;P750s2a1;P750s3;P750s3a1;P750s4;Area;Mes;Dpto;Fex_c_2011
3353663;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;6000000;3000000;2;1;2; ;2; ; ;1;6000000; ; ; ;17;12;17;196,242323131318
3353664;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;6000000;3000000;2;1;2; ;2; ; ;1;6000000; ; ; ;17;12;17;196,242323131318
3353665;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;3000000;2;1;2; ;2; ; ; ; ; ; ; ;17;12;17;196,242323131318
3353666;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;188,113314834208
3353666;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;188,113314834208
3353667;1;1;1;95;1; ;1;2; ; ;300000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;136,584023490997
3353667;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;136,584023490997
3353669;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;136,113791607938
3353669;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;136,113791607938
3353669;1;3;1;95;2; ; ; ; ; ; ; ;1;1;1; ;120000; ;12000000; ;2;2;2; ;2;1;12000000; ; ; ; ; ;17;12;17;136,113791607938
3353670;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;162,5623538455
3353670;1;2;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;900000; ;2;2;2; ;2; ; ;1;900000; ; ; ;17;12;17;162,5623538455
3353670;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;162,5623538455
3353671;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;2200000;2;1;2;670000;1; ; ; ; ; ; ; ;17;12;17;109,099971120771
3353671;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;100000;2;1;2; ;2; ; ; ; ; ; ; ;17;12;17;109,099971120771
3353671;1;3;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;60000;2;1;2; ;2; ; ; ; ; ; ; ;17;12;17;109,099971120771
3353671;1;4;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;4200000;2;1;2; ;2; ; ; ; ; ; ; ;17;12;17;109,099971120771
3353672;1;1;1;95;1; ;2;1; ;589500; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;171,471356861394
3353673;1;1;1;95;1; ;2;1; ;1200000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;179,204311818314
3353673;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;179,204311818314
3353673;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;179,204311818314
3353673;1;4;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;1200000;2;1;2; ;2; ; ; ; ; ; ; ;17;12;17;179,204311818314
3353674;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;2900000;6000000;2;1;2; ;2; ; ;1;2900000; ; ; ;17;12;17;196,242323131318
3353675;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;3500000;5400000;2;1;2; ;2; ; ;1;3500000; ; ; ;17;12;17;179,392382927896
3353676;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;4200000;2;1;2; ;2; ; ; ; ; ; ; ;17;12;17;179,392382927896
3353678;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;12000000;2;1;2; ;2; ; ; ; ; ; ; ;17;12;17;184,225406097115
3353678;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;184,225406097115
3353679;1;1;1;95;1; ;2;1; ;5000000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;209,776367085823
3353681;1;1;1;95;1; ;1;1; ;1000000;800000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;153,225981463812
3353681;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;153,225981463812
3353681;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;153,225981463812
3353682;1;1;1;95;2; ; ; ; ; ; ; ;1;2;1; ;270000; ; ; ;2;2;2; ;2; ; ; ; ; ; ; ;17;12;17;229,269721521125
3353682;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;229,269721521125
3353683;1;1;1;95;1; ;2;1; ;1578000; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;209,776367085823
3353684;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;7200000;2;1;2; ;2; ; ; ; ; ; ; ;17;12;17;171,471356861394
3353685;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;166,450262582593
3353685;1;2;1;95;1; ;1;2; ; ;800000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;166,450262582593
3353685;1;3;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ;36000000; ; ;1;2;2; ;2; ; ; ; ; ; ; ;17;12;17;166,450262582593
3353688;1;1;1;95;1; ;1;1; ;1549800;320000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;200,908407405107
3353688;1;2;1;95;1; ;1;2; ; ;700000;2;1;2;1; ;200000;600000; ; ;1;2;2; ;2; ; ; ; ; ; ; ;17;12;17;200,908407405107
3353688;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;200,908407405107
3353689;1;1;1;95;1; ;2;1; ;2516519; ;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;221,818212207607
3353689;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;221,818212207607
3353689;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;221,818212207607
3353690;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;188,618125579696
3353690;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;188,618125579696
3353690;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;188,618125579696
3353691;1;1;1;95;1; ;1;2; ; ;200000;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;240,203201406851
3353692;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;224,170837524219
3353692;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;98;2;1;2; ;2; ; ; ; ; ; ; ;17;12;17;224,170837524219
3353695;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;156,547137020624
3353695;1;2;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;2400000;2;1;2; ;2; ; ; ; ; ; ; ;17;12;17;156,547137020624
3353696;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;17;12;17;169,361720105631
3353696;1;2;1;95;1; ;1;2; ; ;300000;2;1;1;2; ; ; ;240000;10800000;2;1;2; ;2; ; ;1;240000; ; ; ;17;12;17;169,361720105631
3353696;2;1;2;95;2; ; ; ; ; ; ; ;1;1;2; ; ;100000;1300000;8400000;1;1;2; ;2; ; ;1;1300000; ; ; ;17;12;17;169,361720105631
3353696;3;1;3;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;4800000;2;1;2; ;2; ; ; ; ; ; ; ;17;12;17;169,361720105631
