Directorio;Secuencia_p;Orden;Hogar;Regis;P7495;P7500;P7500s1;P7500s2;P7500s3a1;P7500s2a1;P7500s1a1;P7500s3;P7505;P7510s3;P7510s6;P7510s2a1;P7510s6a1;P7510s5a1;P7510s3a1;P7510s1a1;P7510s5;P7510s1;P7510s2;P7510s7a1;P7510s7;P750s1;P750s1a1;P750s2;P750s2a1;P750s3;P750s3a1;P750s4;Clase;Mes;Dpto;Fex_c_2011
3362065;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;12;73;6151,8313456569
3362065;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;12;73;6151,8313456569
3362065;1;3;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;360000;2;1;2; ;2; ; ; ; ; ; ; ;2;12;73;6151,8313456569
3362065;1;4;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;12;73;6151,8313456569
3362067;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;100000; ;2;2;2; ;2; ; ;1;100000; ; ; ;2;12;73;4740,68257170814
3362067;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;12;73;4740,68257170814
3362067;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;12;73;4740,68257170814
3362068;1;1;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;240000; ;2;2;2; ;2; ; ;1;240000; ; ; ;2;12;73;4020,89352416191
3362068;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;12;73;4020,89352416191
3362068;1;3;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;12;73;4020,89352416191
3362069;1;1;1;95;2; ; ; ; ; ; ; ;1;2;2; ; ; ; ;120000;2;1;2; ;2; ; ; ; ; ; ; ;2;12;73;4412,42515378779
3362069;1;2;1;95;2; ; ; ; ; ; ; ;1;1;2; ; ; ;840000; ;2;2;2; ;2; ; ;1;840000; ; ; ;2;12;73;4412,42515378779
3362092;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;12;73;5669,08079354222
3362093;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;12;73;5362,49943396351
3362094;1;1;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;12;73;4020,89352416191
3362094;1;2;1;95;2; ; ; ; ; ; ; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2;12;73;4020,89352416191
