DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4161807;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1337,27845013839
4161807;1;4;1;80;05;1;2;5; ;2; ; ;10; ;3; ;2; ;1;10;05;1337,27845013839
4161808;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;881,033675820259
4161811;1;2;1;80;05;1;1;2; ;2; ; ;2; ;2; ;2; ;1;10;05;897,662329413117
4161812;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1022,58893496046
4161814;1;3;1;80;05;1;1;8; ;1; ;1;7; ;2; ;2; ;1;10;05;2276,60876020649
4161815;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;1878,87623071699
4161815;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;1878,87623071699
4161818;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1022,58893496046
4161821;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;2147,99378045984
4161822;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;972,004947065285
4161824;1;7;1;80;05;1;2;6; ;2; ; ;8; ;2; ;2; ;1;10;05;841,960165070532
4161825;1;1;1;80;05;1;4;8; ;1; ;3;6; ;3; ;2; ;1;10;05;1040,0415559276
4161826;1;1;1;80;05;1;4;4; ;2; ; ;4; ;3; ;2; ;1;10;05;2407,80565353237
4161827;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;1890,68233138717
4161828;1;1;1;80;05;1;3;4; ;2; ; ;4; ;2; ;2; ;1;10;05;979,427121096815
4161828;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;979,427121096815
4161828;1;3;1;80;05;1;4;1; ;2; ; ;9; ;2; ;2; ;1;10;05;979,427121096815
4161828;1;6;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;979,427121096815
4161828;1;10;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;979,427121096815
4161829;1;4;1;80;05;1;4;1; ;2; ; ;4; ;2; ;2; ;1;10;05;2330,07751928899
4161830;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;972,004947065285
4161832;1;1;1;80;05;1;4;3; ;2; ; ;9; ;3; ;2; ;1;10;05;1090,62554382278
4161833;1;2;1;80;05;1;3;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1162,13360802979
4161835;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;10;05;2080,0831118552
4161836;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;2200,39766677979
4161836;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;2200,39766677979
4161836;1;5;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;10;05;2200,39766677979
4161836;1;7;1;80;05;1;1;4; ;2; ; ;4; ;2; ;2; ;1;10;05;2200,39766677979
4161838;1;2;1;80;05;1;4;1; ;2; ; ;9; ;2; ;2; ;1;10;05;945,341165693587
4161838;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;945,341165693587
4161839;1;1;1;80;05;1;4;4; ;1; ;3;4; ;3; ;2; ;1;10;05;1163,36800908541
4161839;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1163,36800908541
4161840;1;1;1;80;05;1;4;5; ;2; ; ;4; ;3; ;2; ;1;10;05;2094,3711490546
4161841;1;1;1;80;05;1;3;4; ;2; ; ;4; ;1;2;2; ;1;10;05;1061,94060114202
4161841;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1061,94060114202
4161842;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;839,674890765203
4161843;1;1;1;80;05;1;2;4; ;2; ; ;4; ;3; ;2; ;1;10;05;1164,36232660113
4161843;1;5;1;80;05;1;1;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1164,36232660113
4161847;1;1;1;80;05;1;3;9;POR LA EDAD;2; ; ;8; ;2; ;2; ;1;10;05;1163,36800908541
4161847;1;2;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;10;05;1163,36800908541
4161849;1;1;1;80;05;1;4;5; ;2; ; ;11; ;3; ;2; ;1;10;05;1090,62554382278
4161849;1;2;1;80;05;1;1;9;POR LA VENTA DEL NEGOCIO;2; ; ;12;POR LA ENFERMEDAD;2; ;2; ;1;10;05;1090,62554382278
4161850;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1020,98878257093
4161850;1;2;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;1020,98878257093
4161851;1;1;1;80;05;1;1;4; ;2; ; ;4; ;3; ;2; ;1;10;05;1018,08363095622
4161851;1;2;1;80;05;1;4;3; ;2; ; ;9; ;1;2;2; ;1;10;05;1018,08363095622
4161854;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1040,0415559276
4161855;1;1;1;80;05;1;4;9;POR LA EDAD;2; ; ;8; ;2; ;2; ;1;10;05;1040,0415559276
4161857;1;1;1;80;05;1;3;6; ;2; ; ;8; ;2; ;2; ;1;10;05;851,317208502935
4161858;1;1;1;80;05;1;4;4; ;2; ; ;10; ;3; ;2; ;1;10;05;1294,87354314831
4161858;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1294,87354314831
4161858;1;7;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1294,87354314831
4161858;1;8;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1294,87354314831
4161858;1;9;1;80;05;1;1;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1294,87354314831
4161859;1;1;1;80;05;1;1;4; ;2; ; ;4; ;2; ;2; ;1;10;05;1377,81326781917
4161860;1;1;1;80;05;1;4;4; ;2; ; ;9; ;2; ;2; ;1;10;05;1054,79658254232
4161861;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;974,643661660744
4161864;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;982,878084653971
4161865;1;2;1;80;05;1;2;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1424,91832514307
4161865;1;3;1;80;05;1;1;4; ;2; ; ;4; ;2; ;1;700000;1;10;05;1424,91832514307
4161866;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1100,67471403718
4161867;1;1;1;80;05;1;4;4; ;2; ; ;4; ;3; ;2; ;1;10;05;1160,46285747071
4161868;1;1;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1090,62554382278
4161871;1;3;1;80;05;2; ; ; ; ;1;1;9; ;2; ;2; ;1;10;05;1181,04753592798
4161872;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;2302,48931899358
4161876;1;2;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;829,625720550801
4161876;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;829,625720550801
4161878;1;1;1;80;05;1;3;4; ;2; ; ;4; ;3; ;2; ;1;10;05;1181,74434939872
4161883;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1122,83319140464
4161883;1;3;1;80;05;1;4;8; ;2; ; ;9; ;2; ;2; ;1;10;05;1122,83319140464
4161884;1;1;1;80;05;1;4;8; ;2; ; ;2; ;2; ;1;68000;1;10;05;1037,1364043129
4161890;1;2;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;687,246494036316
4161890;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;687,246494036316
4161890;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;687,246494036316
4161891;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;1203,90282676618
4161895;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;904,806348012814
4161895;1;4;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;904,806348012814
4161896;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;1170,51202768511
4161896;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1170,51202768511
4161896;1;3;1;80;05;1;2;3; ;1; ;2;9; ;2; ;2; ;1;10;05;1170,51202768511
4161897;1;6;1;80;05;2; ; ; ; ;1;1;6; ; ; ;2; ;1;10;05;960,096192308307
4161900;1;3;1;80;05;1;1;8; ;2; ; ;2; ;2; ;2; ;1;10;05;1151,24465949679
4161901;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;1090,62554382278
4161903;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;1160,46285747071
4161903;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1160,46285747071
4161904;1;2;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;1163,36800908541
4161905;1;3;1;80;05;1;1;8; ;2; ; ;2; ;2; ;2; ;1;10;05;945,341165693587
4161906;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1061,58716085189
4161907;1;1;1;80;05;1;4;5; ;2; ; ;12;NO NECESITABA;3; ;2; ;1;10;05;1327,22927992399
4161908;1;2;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;945,341165693587
4161910;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;1040,0415559276
4161911;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;1063,19435081078
4161912;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;950,313459113151
4161912;1;2;1;80;05;1;1;2; ;2; ; ;2; ;2; ;2; ;1;10;05;950,313459113151
4161913;1;2;1;80;05;1;4;5; ;2; ; ;11; ;3; ;2; ;1;10;05;1163,36800908541
4161915;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;10;05;972,075545234834
4161917;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;798,302063274585
4161917;1;5;1;80;05;1;1;6; ;2; ; ;2; ;2; ;2; ;1;10;05;798,302063274585
4161919;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1097,00215078218
4161919;1;4;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1097,00215078218
4161920;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;1090,62554382278
4161922;1;2;1;80;05;1;3;5; ;2; ; ;10; ;3; ;2; ;1;10;05;1163,36800908541
4161925;1;4;1;80;05;1;1;2; ;2; ; ;2; ;2; ;2; ;1;10;05;802,961939179102
4161928;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1140,44212007766
4161929;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1223,23375555469
4161931;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;930,79369634115
4161935;1;2;1;80;05;1;3;2; ;2; ; ;2; ;2; ;2; ;1;10;05;1208,57821356452
4161936;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;802,961939179102
4161937;2;1;2;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;1264,53598487576
4161942;1;2;1;80;05;1;3;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1063,19435081078
4161942;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1063,19435081078
4161944;1;2;1;80;05;1;1;6; ;2; ; ;9; ;2; ;2; ;1;10;05;1323,42676244246
4161947;1;1;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;10;05;1026,31805394945
4161948;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1244,14202092222
4161949;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1191,85007534711
4161952;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1276,46726636997
4161953;1;1;1;80;05;1;4;8; ;2; ; ;8; ;2; ;2; ;1;10;05;1203,90282676618
4161958;1;4;1;80;05;1;2;4; ;2; ; ;12;NO NECESITA;2; ;2; ;1;10;05;1097,76956242247
4161963;1;1;1;80;05;1;4;5; ;2; ; ;11; ;3; ;2; ;1;10;05;996,601586632125
4161963;1;2;1;80;05;1;1;8; ;2; ; ;9; ;2; ;1;180000;1;10;05;996,601586632125
4161964;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;1119,92803978993
4161964;1;2;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;1119,92803978993
4161965;1;1;1;80;05;1;2;5; ;2; ; ;10; ;3; ;2; ;1;10;05;948,246317308292
4161966;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1090,62554382278
4161968;1;2;1;80;05;1;2;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1225,65787531851
4161968;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;1225,65787531851
4161969;1;4;1;80;05;1;2;2; ;2; ; ;2; ;2; ;2; ;1;10;05;957,457477712849
4161971;1;1;1;80;05;1;4;4; ;2; ; ;4; ;3; ;2; ;1;10;05;1071,5727704661
4161972;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;952,95217370861
4161973;1;2;1;80;05;1;4;8; ;2; ; ;9; ;2; ;2; ;1;10;05;999,506738246829
4161975;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1022,58893496046
4161976;1;2;1;80;05;1;3;7; ;1; ;2;8; ;2; ;2; ;1;10;05;1022,58893496046
4161977;1;2;1;80;05;1;4;7; ;2; ; ;4; ;2; ;2; ;1;10;05;1269,24184127608
4161977;1;4;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;1269,24184127608
4161977;1;5;1;80;05;1;3;1; ;2; ; ;8; ;2; ;2; ;1;10;05;1269,24184127608
4161978;1;2;1;80;05;1;3;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1143,08083467311
4161978;1;4;1;80;05;1;4;4; ;2; ; ;4; ;2; ;2; ;1;10;05;1143,08083467311
4161978;1;5;1;80;05;1;1;4; ;2; ; ;4; ;2; ;2; ;1;10;05;1143,08083467311
4161979;1;1;1;80;05;1;4;5; ;2; ; ;10; ;2; ;2; ;1;10;05;1203,90282676618
4161980;1;1;1;80;05;1;2;4; ;2; ; ;4; ;2; ;2; ;1;10;05;1132,40132976815
4161980;1;2;1;80;05;1;4;7; ;2; ; ;6; ;2; ;2; ;1;10;05;1132,40132976815
4161981;1;1;1;80;05;1;4;8; ;2; ; ;8; ;2; ;2; ;1;10;05;1040,0415559276
4161983;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;1022,58893496046
4161985;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1073,99689022992
4161985;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1073,99689022992
4161987;1;2;1;80;05;1;3;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1008,86543298231
4161987;1;5;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;1008,86543298231
4161988;1;4;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;875,704404441736
4161989;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;963,001343923012
4161989;1;4;1;80;05;1;1;2; ;1; ;1;2; ;1;1;2; ;1;10;05;963,001343923012
4161989;1;5;1;80;05;1;2;8; ;2; ; ;2; ;2; ;2; ;1;10;05;963,001343923012
4161992;1;2;1;80;05;1;1;4; ;2; ; ;4; ;2; ;2; ;1;10;05;1206,54854622785
4161992;1;6;1;80;05;1;4;4; ;2; ; ;6; ;2; ;2; ;1;10;05;1206,54854622785
4161992;1;7;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1206,54854622785
4161993;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;1047,1855745273
4161995;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;1140,44212007766
4161996;1;1;1;80;05;1;3;4; ;2; ; ;4; ;2; ;2; ;1;10;05;1040,0415559276
4161998;1;3;1;80;05;2; ; ; ; ;1;1;2; ;2; ;2; ;1;10;05;1024,72667493487
4162001;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1018,08363095622
4162001;1;3;1;80;05;1;1;8; ;2; ; ;2; ;2; ;2; ;1;10;05;1018,08363095622
4162002;1;2;1;80;05;2; ; ; ; ;1;4;9; ;2; ;2; ;1;10;05;1145,98598628782
4162002;1;5;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;1145,98598628782
4162003;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1066,02890425594
4162005;1;3;1;80;05;1;1;2; ;2; ; ;8; ;2; ;2; ;1;10;05;924,473645115736
4162006;1;1;1;80;05;1;4;3; ;2; ; ;9; ;3; ;2; ;1;10;05;1025,49408657516
4162009;1;2;1;80;05;1;4;4; ;2; ; ;4; ;1;2;2; ;1;10;05;1163,36800908541
4162010;1;2;1;80;05;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;05;1020,98878257093
4162010;1;3;1;80;05;2; ; ; ; ;1;2;2; ;2; ;2; ;1;10;05;1020,98878257093
4162011;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;1040,0415559276
4162013;1;1;1;80;05;1;4;5; ;2; ; ;8; ;3; ;2; ;1;10;05;1163,36800908541
4162013;1;2;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1163,36800908541
4162014;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1073,99689022992
4162016;1;2;1;80;05;1;4;9;POR LA EDAD;2; ; ;8; ;3; ;2; ;1;10;05;953,161617336647
4162017;1;3;1;80;05;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;05;1022,58893496046
4162019;1;1;1;80;05;1;4;4; ;2; ; ;4; ;3; ;2; ;1;10;05;1264,53598487576
4162019;1;2;1;80;05;1;4;9;CAMBIO DE RESIDENCIA;2; ; ;9; ;2; ;2; ;1;10;05;1264,53598487576
4162019;1;3;1;80;05;1;4;1; ;1; ;4;8; ;2; ;2; ;1;10;05;1264,53598487576
4162019;1;4;1;80;05;1;4;8; ;1; ;3;8; ;2; ;2; ;1;10;05;1264,53598487576
4162020;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;1025,22764955592
4162020;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1025,22764955592
4162020;1;5;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1025,22764955592
4162021;1;1;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;953,161617336647
4162023;1;1;1;80;05;1;4;3; ;2; ; ;8; ;2; ;2; ;1;10;05;1040,0415559276
4162025;1;1;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;999,506738246829
4162025;1;2;1;80;05;1;4;5; ;2; ; ;10; ;3; ;2; ;1;10;05;999,506738246829
4162027;1;3;1;80;05;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;05;1301,30549219585
4162028;1;1;1;80;05;1;4;7; ;2; ; ;12;NO NECESITA;2; ;2; ;1;10;05;1163,36800908541
4162028;1;2;1;80;05;1;4;7; ;2; ; ;11; ;2; ;2; ;1;10;05;1163,36800908541
