DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4167998;1;6;1;70;2;4;48;1; ;2;7;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;77;62;01;1;1;0111;10;68;895,609563090133
4171740;1;2;1;70;2;17;40;1; ;2;17;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;53;55;1;2;5529;10;52;890,646580467969
4171770;1;3;1;70;2;12;48;1; ;2;144;6; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;62;01;1;1;0118;10;52;1064,48016676304
4171775;1;2;1;70;2;8;40;4; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;61;01;1;1;0140;10;52;3562,58632187188
4171787;1;2;1;70;2;4;40;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;60000;54;54;85;1;1;8532;10;52;3562,58632187188
4171802;1;1;1;70;2;8;40;1; ;2;17;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;95;95;45;1;1;4521;10;52;1372,19184726619
4171833;1;2;1;70;2;3;8;1; ;2;3;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;40000;84;84;50;1;1;5040;10;52;1010,46755802144
4171841;1;2;1;70;2;12;20;4; ;2;18;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;61;01;1;1;0140;10;52;1010,46755802144
4171853;1;2;1;70;2;52;30;4; ;2;156;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;99;99;75;1;2;7512;10;52;1010,46755802144
4171883;1;3;1;70;2;3;40;4; ;2;3;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;61;61;01;1;1;0140;10;52;3297,55186249401
4173238;1;3;1;70;2;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;33; ; ;1;1; ;10;66;913,805775514974
4173256;1;3;1;70;2;100;50;1; ;2;100;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;16;32;80;1;2;8046;10;66;991,372566792293
4175913;1;2;1;70;2;1;24;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;10;63;1638,80926398083
4175934;1;3;1;70;2;8;50;1; ;2;208;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;55;1;1;5511;10;63;1838,22723156127
4175934;1;5;1;70;2;2;60;4; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;10;63;1838,22723156127
4175939;1;1;1;70;2;3;45;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;240000;95;95;45;1;1;4522;10;63;1712,63348530051
4175939;1;2;1;70;2;4;34;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;30000;55;55;74;1;1;7493;10;63;1712,63348530051
4175954;1;1;1;70;2;3;50;4; ;2;1;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;55;53;55;1;1;5529;10;63;2918,32301560617
4175973;1;2;1;70;2;24;48;1; ;2;96;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;55;59;92;1;2;9242;10;63;3308,1278672469
4175990;1;2;1;70;2;40;40;3; ;2;40;6; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;55;53;55;1;2;5529;10;63;1224,79179650813
4175996;1;2;1;70;2;24;48;1; ;2;24;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;39;51;1;2;5137;10;63;2046,38185323827
4176875;1;2;1;70;2;24;48;1; ;2;104;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;32;50;55;1;2;5511;10;05;3917,2873191368
4176877;1;3;1;70;2;32;48;1; ;2;42;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;58;97;60;1;2;6042;10;05;4752,31379463843
4176890;1;1;1;70;2;4;48;3; ;2;54;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;54;54;95;1;1;9500;10;05;2515,61397408733
4176890;1;2;1;70;2;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;58; ; ;1;2; ;10;05;2515,61397408733
4176892;1;1;1;70;2;8;48;1; ;2;48;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;33;52;1;1;5211;10;05;2090,02279051276
4176902;1;1;1;70;2;16;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;39; ; ;1;2; ;10;05;3537,66802874836
4177091;1;3;1;70;2;40;48;1; ;2;40;2; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;58;75;1;2;7512;10;08;2566,87437818557
4177094;1;6;1;70;2;16;48;2; ;2;104;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;39;39;75;1;2;7512;10;08;2802,53372403569
4177109;1;2;1;70;2;6;50;8; ;2;52;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;62;53;55;1;1;5521;10;17;1510,61262818982
4177143;1;5;1;70;2;8;48;1; ;2;2;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;1;700000;84;84;51;1;1;5170;10;19;2293,30903649403
4177146;1;3;1;70;2;4;20;1; ;2;52;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;03;03;75;1;1;7512;10;19;573,327259123507
4177148;1;3;1;70;2;4;40;1; ;2;12;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;15;1;1;1551;10;19;1870,99165740973
4177190;1;3;1;70;2;50;50;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;13; ; ;1;2; ;10;19;573,327259123507
