DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;fex_c_2011
4161812;1;3;1;70;05;4;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;97; ; ;1;1; ;10;05;1022,58893496046
4161823;1;1;1;70;05;8;48;1; ;2;102;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;40;39;18;1;1;1810;10;05;1066,85287163022
4161824;1;2;1;70;05;12;48;1; ;2;12;1; ;4;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;39;97;60;1;1;6041;10;05;841,960165070532
4161824;1;8;1;70;05;16;48;1; ;2;16;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;45;53;55;1;2;5530;10;05;841,960165070532
4161829;1;1;1;70;05;2;70;1; ;2;2;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;98;98;60;1;1;6021;10;05;2330,07751928899
4161831;1;1;1;70;05;2;48;1; ;2;208;1; ;7;2;1; ; ; ; ;1; ; ; ; ; ; ;2; ;45;55;45;1;1;4521;10;05;2578,23716401408
4161836;1;3;1;70;05;4;48;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;300000;39;45;52;1;1;5233;10;05;2200,39766677979
4161841;1;4;1;70;05;6;48;1; ;2;24;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5244;10;05;1061,94060114202
4161841;1;6;1;70;05;5;48;1; ;2;8;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;1;350000;39;79;18;1;1;1810;10;05;1061,94060114202
4161842;1;1;1;70;05;1;48;1; ;2;1;1; ;2;2;7; ; ; ; ; ; ; ; ; ; ;1;1;689454;45;45;52;1;1;5233;10;05;839,674890765203
4161842;1;2;1;70;05;40;48;1; ;2;52;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;32;32;66;1;2;6601;10;05;839,674890765203
4161842;1;4;1;70;05;1;48;1; ;2;48;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;45;52;1;1;5233;10;05;839,674890765203
4161858;1;4;1;70;05;32;48;1; ;2;34;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;59;59;85;1;2;8531;10;05;1294,87354314831
4161864;1;3;1;70;05;4;48;1; ;2;8;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;38;38;74;1;1;7499;10;05;982,878084653971
4161866;1;3;1;70;05;20;48;1; ;2;20;1; ;9;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ;11;11;52;1;2;5211;10;05;1100,67471403718
4161892;1;2;1;70;05;8;48;1; ;2;25;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;32;03;45;1;1;4530;10;05;1063,19435081078
4161893;1;1;1;70;05;12;45;1; ;2;12;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;45;32;52;1;1;5211;10;05;807,934232598666
4161893;1;3;1;70;05;14;40;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;03; ; ;1;2; ;10;05;807,934232598666
