DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
4167994;1;1;1;10;1;1;4;1970;46;1;4;1; ; ;3; ; ;2;1;2; ;3;1; ; ;2;1;10;68;1319,53876330162
4167995;1;1;1;10;1;2;3;1972;44;1;6;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;10;68;658,756250904866
4167995;1;2;1;10;2;2;7;1999;17;3;6;1; ; ;1;5; ;2;1;1;1;4;9; ; ;2;9;10;68;658,756250904866
4167996;1;1;1;10;1;2;10;1946;70;1;5;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;10;68;1610,79368031602
4167996;1;2;1;10;2;1;11;1975;40;3;6;2;1;24; ; ; ;2;2;2; ;1;0; ; ;2;0;10;68;1610,79368031602
4167996;1;3;1;10;3;1;5;1977;39;3;6;2;2; ; ; ; ;2;1;2; ;3;3; ; ;2;3;10;68;1610,79368031602
4167996;1;4;1;10;4;1;9;1982;34;3;1;2;2; ; ; ; ;2;1;2; ;3;3; ; ;2;3;10;68;1610,79368031602
4167996;1;5;1;10;5;2;1;1996;20;5;1;1; ; ;3; ; ;2;1;2; ;5;11;2; ;2;11;10;68;1610,79368031602
4167996;1;6;1;10;5;1;6;2007;9;4; ;2;1;12; ; ; ;2;1;1;1;3;2; ; ;2;2;10;68;1610,79368031602
4167996;1;7;1;10;5;1;8;2012;4;9; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;10;68;1610,79368031602
4167996;1;8;1;10;8;2;3;1936;80;5;6;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;10;68;1610,79368031602
4167997;1;1;1;10;1;1;4;1986;30;1;1;1; ; ;1;1;27572;2;1;2; ;5;11;2; ;2;11;10;68;1376,38468937331
4167997;1;2;1;10;2;2;5;1980;36;2;1;1; ; ;3; ; ;1;1;2; ;3;5; ; ;2;5;10;68;1376,38468937331
4167997;1;3;1;10;3;1;3;2002;14;3;6;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;7;10;68;1376,38468937331
4167997;1;4;1;10;2;2;7;2008;8;3; ;1; ; ;3; ; ;2;1;1;1;3;1; ; ;2;1;10;68;1376,38468937331
4167997;1;5;1;10;2;2;5;2012;4;3; ;1; ; ;3; ; ;2;2;2; ;1;0; ; ;2;0;10;68;1376,38468937331
4167998;1;1;1;10;1;1;12;1953;62;1;3;1; ; ;2;2;40000;2;1;2; ;3;1; ; ;2;1;10;68;895,609563090133
4167998;1;2;1;10;2;2;7;1961;55;2;3;1; ; ;3; ; ;1;1;2; ;3;1; ; ;2;1;10;68;895,609563090133
4167998;1;3;1;10;3;1;4;2001;15;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;10;68;895,609563090133
4167998;1;4;1;10;4;2;7;2003;13;3;6;1; ; ;3; ; ;2;1;1;1;4;6; ; ;2;6;10;68;895,609563090133
4167998;1;5;1;10;2;2;1;2006;10;3;6;1; ; ;3; ; ;2;1;1;1;3;3; ; ;2;3;10;68;895,609563090133
4167998;1;6;1;10;6;2;9;1993;23;3;4;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;10;68;895,609563090133
4167999;1;1;1;10;1;1;5;1968;48;1;2;1; ; ;1;1;36000;2;1;2; ;3;3; ; ;2;3;10;68;1009,36380027636
4167999;1;2;1;10;2;2;2;1975;41;2;2;1; ; ;1;2;82734;2;1;2; ;3;5; ; ;2;5;10;68;1009,36380027636
4167999;1;3;1;10;3;1;12;1998;17;3;6;1; ; ;1;5; ;2;1;1;1;4;7; ; ;2;7;10;68;1009,36380027636
4168000;1;1;1;10;1;1;5;1971;45;1;2;1; ; ;1;3;86182;2;1;2; ;3;3; ; ;2;3;10;68;846,301980819498
4168000;1;2;1;10;2;2;6;1968;48;2;2;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;10;68;846,301980819498
4168000;1;3;1;10;3;2;6;2004;12;3;6;1; ; ;1;5; ;2;1;1;1;4;0; ; ;2;5;10;68;846,301980819498
4168001;1;1;1;10;1;1;7;1959;57;1;2;1; ; ;3; ; ;1;1;2; ;4;7; ; ;2;7;10;68;705,807552877856
4168001;1;2;1;10;2;2;6;1968;48;2;2;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;10;68;705,807552877856
4168001;1;3;1;10;2;2;2;2005;11;3;6;1; ; ;3; ; ;2;1;1;1;3;4; ; ;2;4;10;68;705,807552877856
4168002;1;1;1;10;1;1;11;1989;26;1;2;1; ; ;1;1;32000;2;1;2; ;3;4; ; ;2;4;10;68;1921,86603845072
