DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;INI;MES;DPTO;fex_c_2011
4167995;1;1;1;80;2;1;1;8; ;2; ; ;4; ;2; ;2; ;1;10;68;658,756250904866
4167995;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;68;658,756250904866
4167996;1;1;1;80;2;1;4;9;POR EDAD;2; ; ;8; ;2; ;2; ;1;10;68;1610,79368031602
4167996;1;5;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ;1;10;68;1610,79368031602
4167996;1;8;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;10;68;1610,79368031602
4167997;1;3;1;80;2;1;1;7; ;2; ; ;2; ; ; ;2; ;1;10;68;1376,38468937331
4167998;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;68;895,609563090133
4167998;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;68;895,609563090133
4167999;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;68;1009,36380027636
4168000;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;68;846,301980819498
4168002;2;2;2;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;68;1921,86603845072
4168003;1;5;1;80;2;1;2;4; ;2; ; ;4; ;2; ;2; ;1;10;68;565,996516693492
4168004;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;68;979,892763531011
4168005;1;1;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ;1;10;68;969,930067322807
4168005;1;3;1;80;2;1;1;8; ;2; ; ;2; ;2; ;2; ;1;10;68;969,930067322807
4168007;1;2;1;80;2;1;1;3; ;2; ; ;9; ;2; ;2; ;1;10;68;1142,52597474166
4168007;1;5;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;68;1142,52597474166
4171687;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;52;890,646580467969
4171688;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;1;10;52;1466,33089842942
4171688;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;52;1466,33089842942
4171689;1;1;1;80;2;1;2;4; ;2; ; ;4; ;2; ;2; ;1;10;52;890,646580467969
4171689;1;2;1;80;2;1;4;3; ;2; ; ;8; ;2; ;2; ;1;10;52;890,646580467969
4171690;1;2;1;80;2;1;1;4; ;2; ; ;4; ;2; ;2; ;1;10;52;890,646580467969
4171690;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;52;890,646580467969
4171690;1;4;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;52;890,646580467969
4171691;1;1;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;10;52;1791,98133889864
4171692;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;52;890,646580467969
4171713;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;52;2374,31838371517
4171713;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;52;2374,31838371517
4171715;1;2;1;80;2;1;4;3; ;2; ; ;4; ;2; ;2; ;1;10;52;890,646580467969
4171717;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;52;1234,94387380415
4171718;1;3;1;80;2;1;1;8; ;2; ; ;11; ;2; ;2; ;1;10;52;1027,19156456498
4171721;1;3;1;80;2;1;1;2; ;2; ; ;2; ;2; ;2; ;1;10;52;2310,30481878958
4171721;1;4;1;80;2;1;4;4; ;2; ; ;4; ;2; ;2; ;1;10;52;2310,30481878958
4171740;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;52;890,646580467969
4171741;1;3;1;80;2;1;1;8; ;2; ; ;11; ;2; ;2; ;1;10;52;890,646580467969
4171742;1;2;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ;1;10;52;3469,24100165625
4171744;1;5;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;52;3150,79562849382
4171744;1;6;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;52;3150,79562849382
4171745;1;1;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ;1;10;52;890,646580467969
4171745;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;52;890,646580467969
4171746;1;4;1;80;2;1;3;3; ;2; ; ;9; ;2; ;2; ;1;10;52;890,646580467969
4171748;1;3;1;80;2;1;1;8; ;2; ; ;2; ;2; ;2; ;1;10;52;2242,80814320807
4171749;1;2;1;80;2;1;1;8; ;2; ; ;9; ;2; ;2; ;1;10;52;2518,29040660474
4171749;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;52;2518,29040660474
4171761;1;2;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;52;1195,99040727014
4171764;1;1;1;80;2;1;4;4; ;2; ; ;8; ;2; ;2; ;1;10;52;890,646580467969
4171767;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;52;890,646580467969
4171768;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;52;1195,99040727014
4171769;1;1;1;80;2;1;3;4; ;2; ; ;4; ;2; ;2; ;1;10;52;890,646580467969
4171769;1;2;1;80;2;1;4;3; ;2; ; ;8; ;2; ;2; ;1;10;52;890,646580467969
4171772;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;52;890,646580467969
4171774;1;2;1;80;2;1;4;3; ;2; ; ;4; ;2; ;2; ;1;10;52;890,646580467969
4171776;1;2;1;80;2;1;4;8; ;2; ; ;9; ;2; ;2; ;1;10;52;3562,58632187188
4171776;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;52;3562,58632187188
4171777;1;3;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;52;2374,31838371517
4171778;1;1;1;80;2;1;4;3; ;2; ; ;9; ;2; ;2; ;1;10;52;890,646580467969
4171780;1;2;1;80;2;1;4;8; ;2; ; ;4; ;2; ;2; ;1;10;52;890,646580467969
4171781;1;2;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;52;3562,58632187188
4171781;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;52;3562,58632187188
4171781;1;4;1;80;2;2; ; ; ; ;2; ; ;.; ; ;2; ;1;10;52;3562,58632187188
4171782;1;2;1;80;2;1;4;3; ;2; ; ;4; ;2; ;2; ;1;10;52;1727,96777397304
4171784;1;3;1;80;2;2; ; ; ; ;2; ; ;.;2; ;2; ;1;10;52;1854,56952081874
