Directorio;Secuencia_p;Orden;Hogar;Regis;P7480s1;P7480s3;P7480s4;P7480s5;P7480s6;P7480s7;P7480s8;P7480s9;P7480s10;P7480s11;P7480s1a1;P7480s3a1;P7480s4a1;P7480s5a1;P7480s6a1;P7480s7a1;P7480s8a1;P7480s9a1;P7480s10a1;P7480s11a1;Area;Mes;Dpto;Fex_c_2011
4003326;1;4;1;90;2;1;2;1;2;2;2;2;2;2; ;22; ;25; ; ; ; ; ; ;05;03;05;1191,26933223811
4003326;1;5;1;90;2;2;1;1;2;2;2;2;2;2; ; ;3;10; ; ; ; ; ; ;05;03;05;1191,26933223811
4003327;1;1;1;90;2;1;2;2;2;2;2;1;2;2; ;3; ; ; ; ; ;8; ; ;05;03;05;1052,84589418152
4003327;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;30; ; ; ; ; ; ; ; ;05;03;05;1052,84589418152
4003327;1;3;1;90;2;1;2;2;2;2;2;2;2;2; ;5; ; ; ; ; ; ; ; ;05;03;05;1052,84589418152
4003328;1;1;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;662,824864822079
4003328;1;2;1;90;2;1;2;2;2;2;2;2;2;2; ;12; ; ; ; ; ; ; ; ;05;03;05;662,824864822079
4003328;1;3;1;90;2;1;2;1;2;2;2;2;2;2; ;34; ;40; ; ; ; ; ; ;05;03;05;662,824864822079
4003328;1;5;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;662,824864822079
4003328;1;6;1;90;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;05;03;05;662,824864822079
4003328;1;7;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;05;03;05;662,824864822079
4003328;1;8;1;90;2;1;2;2;2;2;2;2;2;2; ;2; ; ; ; ; ; ; ; ;05;03;05;662,824864822079
4003329;1;1;1;90;2;1;2;1;2;2;2;2;2;2; ;56; ;35; ; ; ; ; ; ;05;03;05;667,214791146389
