Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011
4004317;1;4;1;2;1;1;6;1;5;3; ; ; ; ;150000;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1; ;2; ;4;1;1;1;2;1;2;2;1;2;1;2; ;01;2;03;18;1654,6277471193
4004318;1;4;1;2;1;1;2;1;4;4; ; ; ;250000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;1;2;2;1;1; ;2; ;3;1;1;1;2;1;2;2;1;2;1;2; ;01;2;03;18;1179,11685703538
4004319;1;2;1;2;1;1;2;5;5;4; ; ; ;150000; ;2;2;1;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2;2;1;2; ;2; ;4;1;1;5;2;1;2;2;1;2;1;2; ;01;2;03;18;1403,07637815715
4004320;1;7;5;2;1;1;2;1;4;1; ; ;100000000;500000; ;2;2;1;2;2;1;2;2;2;1;2;1;1;2;2;1;1;1;1;2;2;1;5; ;2; ;7;1;1;1;2;1;2;2;1;2;1;2; ;01;2;03;18;1156,12702936149
4004321;1;1;1;2;1;1;2;1;4;4; ; ; ;120000; ;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;2;2;1;2; ;2; ;6;1;1;1;2;1;2;2;1;2;1;2; ;01;2;03;18;2737,11137510017
4004335;1;5;3;2;1;1;6;3;4;2; ;800000;70000000;250000; ;2;2;1;2;1;2;2;2;1;2;1;1;2;2;2;2;1;1;1;2;2;1;3; ;2; ;4;1;1;1;4;1;2;2;1;2;1;2; ;01;2;03;18;1262,65084275611
4004345;1;1;1;2;1;1;2;1;4;4; ; ; ;100000; ;2;2;1;2;2;2;2;2;1;1;2;1;2;2;2;2;1;1;1;2;2;1;1; ;2; ;3;1;1;1;2;1;2;2;1;2;1;2; ;01;2;03;18;1693,92646047215
4004356;1;2;1;2;1;1;2;1;4;4; ; ; ;200000; ;2;2;1;2;1;2;2;2;1;1;2;1;2;2;2;1;1;1;1;2;2;1;2; ;2; ;2;1;1;1;2;1;2;2;1;2;1;2; ;01;2;03;18;1009,91810777838
4004358;1;5;1;2;1;1;4;1;4;4; ; ; ;500000; ;2;2;1;1;1;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;1;2; ;2; ;3;1;1;1;2;1;2;2;1;2;1;2; ;01;2;03;18;879,25244011967
4004364;1;3;1;2;1;4;2;1;5;1; ; ;12000000;100000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1; ;2; ;2;1;1;5;2;1;2;2;2;2;1; ; ;01;2;03;18;2149,68484092721
4004375;1;6;2;2;1;1;2;1;4;1; ; ;500000000;1500000; ;2;2;1;1;1;2;2;2;1;1;1;1;1;2;2;1;1;1;1;2;1;1;3; ;2; ;3;1;1;1;4;1;2;2;1;2;1;2; ;01;2;03;18;1935,53583456049
4004376;1;2;1;2;1;1;4;1;5;4; ; ; ;450000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2; ;2; ;2;1;1;1;2;1;2;2;1;2;1;2; ;01;2;03;18;1009,91810777838
4007834;1;3;2;2;1;4;3;1;4;4; ; ; ;100000; ;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1; ;2; ;2;1;1;1;2;1;2;2;2;2;1; ; ;01;2;03;05;1009,91810777838
