DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;MES;DPTO;AREA;fex_c_2011
2552398;1;1;1;80;1;1;4;5; ;3; ;2; ; ;4; ;8;1;1;11;41;41;114,65295961074
2552398;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;4;2;1;11;41;41;114,65295961074
2552399;1;1;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;41;41;107,747715337584
2552399;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;41;41;107,747715337584
2552401;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;73;147,807646654503
2552401;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;73;147,807646654503
2552403;1;2;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;73;228,81035959272
2552405;1;1;1;80;1;1;2;5; ;3; ;2; ; ; ; ;8;2;1;11;73;73;228,719607431893
2552405;1;2;1;80;1;1;4;7; ;2; ;2; ; ; ; ;8;2;1;11;73;73;228,719607431893
2552406;1;5;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;73;205,675092188902
2552410;1;1;1;80;1;1;2;7; ;3; ;2; ; ; ; ;8;2;1;11;73;73;210,398672668733
2552410;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;11;73;73;210,398672668733
2552412;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;73;215,157494704632
2552413;1;1;1;80;1;1;3;3; ;2; ;2; ; ; ; ;9;2;1;11;73;73;177,967337026202
2552413;1;2;1;80;1;2; ; ; ;2; ;2; ;1;1; ;2; ;1;11;73;73;177,967337026202
2552414;1;1;1;80;1;1;2;7; ;3; ;2; ; ; ; ;11;2;1;11;73;73;208,122047675292
2552414;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;73;73;208,122047675292
2552414;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;73;73;208,122047675292
2552415;1;1;1;80;1;1;4;4; ;2; ;2; ; ; ; ;9;2;1;11;73;73;220,484189098758
2552418;1;2;1;80;1;1;4;4; ;2; ;2; ; ; ; ;8;2;1;11;73;73;197,360763552102
2552418;1;3;1;80;1;1;1;9;POR PROBLEMAS JUDICIALES;2; ;2; ; ; ;POR QUE TIENE CASA POR CARCEL;12;2;1;11;73;73;197,360763552102
2552426;1;4;1;80;1;1;4;9;POR LA EDAD;2; ;2; ; ; ; ;8;2;1;11;73;73;191,517607896301
2552431;1;1;1;80;1;1;4;7; ;3; ;2; ; ; ; ;9;2;1;11;54;54;219,535001748974
2552431;1;2;1;80;1;1;4;3; ;2; ;2; ; ; ; ;9;2;1;11;54;54;219,535001748974
2552431;1;3;1;80;1;2; ; ; ;2; ;2; ;2; ;.; ; ;1;11;54;54;219,535001748974
