DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S2,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S20,P5210S21,P5210S22,P5210S24,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,AREA,P5070,DPTO,ORDEN,fex_c_2011
846887,1,7,2,1,1,1,1,3,6,POR TRABAJO,,,1200000,,1,2,2,1,1,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,4,2,1,1,5,1,5,1,106.477.138.521.108
846888,1,5,1,1,1,1,1,4,1,,,120000000,550000,,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,2,1,4,1,2,1,1,1,4,2,1,1,5,1,5,1,759.938.895.059.197
846889,1,2,1,1,1,1,1,4,3,,,,,170000,1,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,929.424.681.297.202
846892,1,3,2,1,1,1,1,3,3,,,,,250000,1,2,2,2,1,1,1,2,2,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,853.772.805.781.848
846894,1,4,2,1,1,1,1,3,1,,,35000000,400000,,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,695.382.822.549.136
846895,1,4,3,1,1,1,1,4,1,,,70000000,400000,,1,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,759.938.895.059.197
846898,1,3,1,1,1,1,1,4,3,,,,,180000,1,2,2,1,1,1,1,2,1,2,1,1,1,2,2,2,2,2,1,2,2,1,2,1,4,1,2,1,1,1,2,2,1,1,5,1,5,1,974.633.535.177.691
846900,1,5,4,1,1,1,1,3,1,,,20000000,170000,,1,1,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,1,4,1,1,1,1,1,2,2,1,1,5,1,5,1,750.756.095.141.549
846903,1,2,2,1,1,1,1,1,3,,,,,110000,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,1,2,1,2,1,2,1,1,1,2,2,1,1,5,1,5,1,793.504.154.841.066
846904,1,3,2,1,1,1,1,3,1,,,20000000,200000,,1,1,2,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,5,1,5,1,853.772.805.781.848
846907,1,5,3,1,1,1,1,4,2,,700000,60000000,400000,,1,2,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,4,1,2,1,1,1,3,2,1,1,5,1,5,1,656.000.083.474.464
846909,1,5,3,1,1,1,1,3,2,,270000,45000000,450000,,1,2,2,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,100.021.531.270.102
846910,1,4,3,1,1,1,1,3,1,,,42000000,350000,,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,825.210.294.059.698
846913,1,3,2,1,1,1,1,3,1,,,50000000,220000,,1,2,2,2,1,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,5,1,5,1,795.952.993.526.964
846914,1,4,3,1,1,1,1,3,1,,,35000000,350000,,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,2,2,1,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,755.851.472.287.594
846915,1,3,2,1,1,1,1,3,1,,,30000000,220000,,1,2,2,2,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,5,1,5,1,768.696.683.068.746
846916,1,2,2,1,1,1,1,3,1,,,30000000,200000,,1,1,1,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,1,2,1,2,1,1,1,1,1,2,2,1,1,5,1,5,1,923.131.627.553.952
846917,1,5,3,1,1,1,1,3,1,,,30000000,200000,,1,1,2,1,1,1,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,2,1,4,1,1,1,1,1,3,2,1,1,5,1,5,1,811.741.229.223.601
