DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,clase,MES,DPTO,AREA,fex_c_2011
2636246,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,849.491.032.387.525
2636246,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,849.491.032.387.525
2636246,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,849.491.032.387.525
2636246,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,849.491.032.387.525
2636247,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,818.794.348.703.084
2636247,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,818.794.348.703.084
2636247,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,818.794.348.703.084
2636247,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,818.794.348.703.084
2636248,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,109.708.833.592.108
2636248,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,109.708.833.592.108
2636249,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,704.028.048.712.599
2636249,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,704.028.048.712.599
2636249,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,704.028.048.712.599
2636249,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,704.028.048.712.599
2636249,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,704.028.048.712.599
2636249,1,6,1,95,1,,2,2,170000,,,1,2,,,,,,,,,,,,,1,3,15,15,704.028.048.712.599
2636249,2,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,704.028.048.712.599
2636249,2,2,2,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,704.028.048.712.599
2636250,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,714.236.148.112.906
2636250,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,714.236.148.112.906
2636250,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,714.236.148.112.906
2636250,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,714.236.148.112.906
2636250,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,714.236.148.112.906
2636250,2,1,2,95,1,,2,2,150000,,,1,2,,,,,,,,,,,,,1,3,15,15,714.236.148.112.906
2636250,2,6,2,95,1,,2,1,,535600,,2,2,,,,,,,,,,,,,1,3,15,15,714.236.148.112.906
2636251,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,392.689.393.939.396
2636251,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,392.689.393.939.396
2636251,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,392.689.393.939.396
2636251,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,392.689.393.939.396
2636252,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,818.794.348.703.084
2636252,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,818.794.348.703.084
2636252,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,818.794.348.703.084
2636252,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,818.794.348.703.084
2636253,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,423.028.908.326.065
2636253,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,423.028.908.326.065
2636254,1,1,1,95,1,,2,2,120000,,,1,1,2,2,,,,,1200000,2,1,2,,2,1,3,15,15,684.655.827.936.404
2636254,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,684.655.827.936.404
2636254,2,1,2,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,684.655.827.936.404
2636254,2,2,2,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,684.655.827.936.404
2636254,2,3,2,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,684.655.827.936.404
2636255,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,482.314.788.533.018
2636255,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,482.314.788.533.018
2636256,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,812.387.577.803.768
2636256,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,812.387.577.803.768
2636257,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,933.546.924.722.253
2636257,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,933.546.924.722.253
2636257,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,933.546.924.722.253
2636257,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,933.546.924.722.253
2636258,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,112.866.366.863.417
2636258,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,1,3,15,15,112.866.366.863.417
