DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,fex_c_2011
2636267,1,2,1,80,73,2,,,,2,,2,,2,,.,,,1,3,73,18.388.213.807.292
2636268,1,3,1,80,73,1,1,2,,2,,2,,,,,2,2,1,3,73,262.439.682.546.141
2636269,1,1,1,80,73,1,3,7,,2,,2,,,,,9,2,1,3,73,218.079.263.310.641
2636275,1,1,1,80,73,1,4,3,,2,,2,,,,,9,2,1,3,73,144.233.853.811.043
2636275,1,3,1,80,73,1,4,4,,2,,2,,,,,4,2,1,3,73,144.233.853.811.043
2636281,1,3,1,80,73,2,,,,2,,2,,2,,.,,,1,3,73,200.704.762.559.833
2636282,1,3,1,80,73,2,,,,2,,2,,2,,.,,,1,3,73,211.419.932.821.508
2636283,1,1,1,80,73,1,4,5,,3,,2,,,,,10,2,1,3,73,197.979.058.534.428
2636286,1,4,1,80,66,1,1,8,,2,,2,,,,NO LA DEJA TRABAJAR EL BIENESTAR FAMILIAR,12,2,1,3,66,216.969.994.642.193
2636288,1,2,1,80,66,2,,,,2,,2,,2,,.,,,1,3,66,22.725.725.457.947
2636294,1,2,1,80,66,2,,,,2,,2,,2,,.,,,1,3,66,158.391.301.226.182
2636294,1,4,1,80,66,2,,,,2,,2,,2,,.,,,1,3,66,158.391.301.226.182
2636296,1,2,1,80,66,1,4,3,,2,,2,,,,,9,2,1,3,66,281.296.367.280.824
2636296,1,4,1,80,66,1,1,2,,2,,2,,,,,2,2,1,3,66,281.296.367.280.824
2636296,1,5,1,80,66,2,,,,2,,2,,2,,.,,,1,3,66,281.296.367.280.824
2636299,1,1,1,80,66,1,4,5,,3,,2,,,,,10,2,1,3,66,228.960.677.879.251
2636304,1,3,1,80,66,2,,,,2,,2,,2,,.,,,1,3,66,295.074.785.558.824
2636306,1,1,1,80,66,1,4,5,,3,,2,,,,,10,2,1,3,66,278.621.819.494.806
2636307,1,2,1,80,66,1,3,3,,2,,2,,,,,9,2,1,3,66,126.763.934.016.237
2636307,1,3,1,80,66,2,,,,2,,2,,2,,.,,,1,3,66,126.763.934.016.237
2636307,1,4,1,80,66,2,,,,2,,2,,2,,.,,,1,3,66,126.763.934.016.237
2636310,1,1,1,80,66,1,4,3,,2,,2,,,,,9,2,1,3,66,21.762.805.445.434
2636310,1,5,1,80,66,2,,,,2,,2,,2,,.,,,1,3,66,21.762.805.445.434
2636314,1,1,1,80,66,1,4,4,,2,,2,,,,,4,2,1,3,66,277.576.456.007.172
2636314,1,2,1,80,66,1,4,1,,2,,2,,,,,4,2,1,3,66,277.576.456.007.172
