DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,AREA,fex_c_2011
2636296,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,3,66,66,281.296.367.280.824
2636296,1,4,1,80,1,1,1,2,,2,,2,,,,,2,2,1,3,66,66,281.296.367.280.824
2636296,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,3,66,66,281.296.367.280.824
2636299,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,3,66,66,228.960.677.879.251
2636304,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,66,66,295.074.785.558.824
2636306,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,3,66,66,278.621.819.494.806
2636307,1,2,1,80,1,1,3,3,,2,,2,,,,,9,2,1,3,66,66,126.763.934.016.237
2636307,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,66,66,126.763.934.016.237
2636307,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,66,66,126.763.934.016.237
2636310,1,1,1,80,1,1,4,3,,2,,2,,,,,9,2,1,3,66,66,21.762.805.445.434
2636310,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,3,66,66,21.762.805.445.434
2636314,1,1,1,80,1,1,4,4,,2,,2,,,,,4,2,1,3,66,66,277.576.456.007.172
2636314,1,2,1,80,1,1,4,1,,2,,2,,,,,4,2,1,3,66,66,277.576.456.007.172
2636328,1,2,1,80,1,1,3,5,,3,,2,,,,,8,2,1,3,19,19,783.569.522.525.218
2636329,1,1,1,80,1,1,4,4,,2,,2,,,,,4,2,1,3,19,19,110.892.832.031.206
2636330,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,68,68,399.750.167.509.975
2636331,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,68,68,389.187.212.241.845
2636332,1,2,1,80,1,1,1,3,,2,,2,,,,,9,2,1,3,68,68,531.675.270.544.971
2636333,1,1,1,80,1,1,1,4,,2,,2,,,,,4,2,1,3,68,68,536.387.555.192.454
2636334,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,68,68,357.601.768.798.008
2636334,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,68,68,357.601.768.798.008
2636336,1,1,1,80,1,1,3,8,,2,,2,,,,,4,2,1,3,68,68,405.743.283.337.579
2636336,1,2,1,80,1,1,3,5,,3,,2,,,,,8,2,1,3,68,68,405.743.283.337.579
2636336,2,1,2,80,1,1,4,5,,3,,2,,,,,8,2,1,3,68,68,405.743.283.337.579
2636340,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,68,68,443.349.984.553.266
2636342,1,1,1,80,1,1,4,3,,2,,2,,,,,9,2,1,3,68,68,479.074.498.494.394
2636344,1,2,1,80,1,1,4,7,,2,,2,,,,,8,2,1,3,68,68,469.168.587.594.607
2636345,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,68,68,418.866.681.585.216
2636346,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,3,68,68,405.208.996.757.613
2636346,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,3,68,68,405.208.996.757.613
2636346,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,3,68,68,405.208.996.757.613
