DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;clase;MES;DPTO;AREA;fex_c_2011
2573813;1;1;1;90; ;2;2;1;2;2;2;2;2;2;2; ; ;14; ; ; ; ; ; ; ;1;12;52;52;187,587090445218
2573813;1;2;1;90; ;2;1;2;1;2;2;2;2;2;2; ;24; ;28; ; ; ; ; ; ;1;12;52;52;187,587090445218
2573814;1;1;1;90; ;2;1;2;2;1;2;2;2;2;2; ;14; ; ;14; ; ; ; ; ;1;12;52;52;125,50229911254
2573814;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;12;52;52;125,50229911254
2573814;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;24; ; ; ; ; ; ; ; ;1;12;52;52;125,50229911254
2573815;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;12;52;52;154,704386991585
2573815;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;21; ; ; ; ; ; ; ; ;1;12;52;52;154,704386991585
2573816;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;4; ; ; ; ;6; ; ; ;1;12;52;52;151,799504477647
2573821;1;1;1;90; ;2;1;2;2;2;2;2;2;1;1; ;5; ; ; ; ; ; ;20;15;1;12;52;52;109,563437525498
2573821;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;12;52;52;109,563437525498
2573822;1;1;1;90; ;2;2;2;2;2;1;2;2;2;2; ; ; ; ; ;3; ; ; ; ;1;12;52;52;138,765525404543
2573823;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;12;76;76;1050,16835296578
2573823;1;2;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;12;76;76;1050,16835296578
2573823;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;12;76;76;1050,16835296578
2573824;1;1;1;90; ;2;1;2;1;2;2;2;2;2;2; ;14; ;2; ; ; ; ; ; ;1;12;76;76;1057,42344474285
2573825;1;1;1;90; ;2;1;2;1;2;2;1;2;2;2; ;3; ;15; ; ;23; ; ; ;1;12;76;76;1121,78215907119
2573825;1;2;1;90; ;2;1;2;1;2;2;2;1;2;1; ;15; ;15; ; ; ;24; ;5;1;12;76;76;1121,78215907119
2573825;2;1;2;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;12;76;76;1121,78215907119
2573825;2;2;2;90; ;2;1;2;1;2;2;2;2;2;2; ;35; ;21; ; ; ; ; ; ;1;12;76;76;1121,78215907119
2573825;2;3;2;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;12;76;76;1121,78215907119
2573826;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;12;76;76;932,703504849006
2573826;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;7; ; ; ; ; ; ; ; ;1;12;76;76;932,703504849006
2573827;1;1;1;90; ;2;2;2;1;2;2;2;2;2;2; ; ; ;12; ; ; ; ; ; ;1;12;76;76;993,797144753639
2573828;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;4; ; ; ; ;17; ; ; ;1;12;76;76;860,357062784541
2573829;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;1;12;76;76;862,046945497493
2573830;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;4; ; ; ; ; ; ; ; ;1;12;76;76;898,21283897777
2573831;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;12;76;76;845,839341148388
2573831;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;20; ; ; ; ; ; ; ; ;1;12;76;76;845,839341148388
2573831;1;3;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;12;76;76;845,839341148388
2573832;1;1;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;12;76;76;1046,43711817024
2573833;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;21; ; ; ; ;4; ; ; ;1;12;76;76;898,21283897777
2573834;1;1;1;90; ;2;1;2;2;2;2;1;2;2;2; ;3; ; ; ; ;4; ; ; ;1;12;76;76;809,673447668112
2573834;1;2;1;90; ;2;1;2;2;2;2;2;2;2;2; ;15; ; ; ; ; ; ; ; ;1;12;76;76;809,673447668112
2573834;1;3;1;90; ;2;1;2;2;2;2;2;2;2;2; ;3; ; ; ; ; ; ; ; ;1;12;76;76;809,673447668112
2573835;1;1;1;90; ;2;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ;1;12;76;76;747,988850875158
