DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;MES;DPTO;AREA;fex_c_2011
2403229;1;1;1;70;1;4;36;1; ;2;100;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;92;92;17;1;1;1730;06;05;05;924,43847640842
2403232;1;2;1;70;1;4;24;4; ;2;18;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;1;1810;06;05;05;746,923016531736
2403232;1;3;1;70;1;16;48;1; ;2;24;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;39;40;1;2;4010;06;05;05;746,923016531736
2403236;1;4;1;70;1;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;1; ;06;05;05;489,514388983695
2403237;1;3;1;70;1;12;48;1; ;2;12;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;32;39;51;1;1;5125;06;05;05;903,310884275083
2403238;1;2;1;70;1;8;48;1; ;2;8;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;55;53;55;1;1;5521;06;05;05;984,153806632802
2403239;1;4;1;70;1;8;30;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;59; ; ;1;1; ;06;05;05;1131,8951429665
2403242;1;7;1;70;1;42;48;1; ;2;40;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;59;92;1;2;9249;06;05;05;1093,22079167653
2403245;1;1;1;70;1;20;50;1; ;2;28;1; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;44;44;93;1;2;9303;06;05;05;867,955065127999
2403248;1;3;1;70;1;52;48;1; ;2;900;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;45;71;1;2;7130;06;05;05;1141,08945560311
2403259;1;2;1;70;1;2;48;1; ;2;13;1; ;4;2; ; ; ; ; ; ; ; ;1; ;ESTUDIAR;2; ;2;45;45;52;1;1;5233;06;05;05;952,516393728612
2403267;1;3;1;70;1;4;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;06;05;05;855,911822475657
