DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7430;P7440;P7450;P7450S1;P7460;P7470;P7472;P7472S1;P7454;P7456;P7458S1;P7458;P7452;INI;DPTO;fex_c_2011
1072236;1;1;1;80;05;1;4;4; ;3; ;2; ; ; ; ;10;2;1;05;741,639917123516
1072236;1;2;1;80;05;1;4;4; ;3; ;2; ; ; ; ;10;2;1;05;741,639917123516
1072237;1;1;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;469,052392446422
1072237;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;469,052392446422
1072242;1;2;1;80;05;1;4;2; ;2; ;2; ; ; ; ;9;2;1;05;1009,19076767812
1072242;1;3;1;80;05;1;1;7; ;2; ;2; ; ; ; ;2;2;1;05;1009,19076767812
1072242;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1009,19076767812
1072245;1;1;1;80;05;1;4;8;NO  TENIA  LA  NECESIDAD;2; ;2; ; ;2; ;9;1;1;05;808,430111135361
1072245;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;808,430111135361
1072247;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1093,87364137803
1072249;1;2;1;80;05;1;1;4; ;3; ;2; ; ; ; ;10;2;1;05;1036,33029974529
1072251;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;856,720703668828
1072251;1;5;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;856,720703668828
1072252;1;1;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;908,424478817667
1072252;1;2;1;80;05;1;4;3; ;2; ;2; ; ;4; ;8;1;1;05;908,424478817667
1072254;1;1;1;80;05;1;2;8;POR  LA  EDAD;3; ;2; ; ; ; ;8;2;1;05;848,682746317116
1072254;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;848,682746317116
1072254;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;848,682746317116
1072255;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1162,83539514154
1072256;1;1;1;80;05;1;4;6; ;2; ;2; ; ; ; ;8;2;1;05;1365,12490437247
1072256;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1365,12490437247
1072257;1;1;1;80;05;1;2;7; ;2; ;2; ; ; ; ;9;2;1;05;796,261364398058
1072258;1;2;1;80;05;1;4;2; ;2; ;2; ; ; ; ;9;2;1;05;733,964254995929
1072258;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;733,964254995929
1072258;1;5;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;733,964254995929
1072258;2;1;2;80;05;1;4;7; ;2; ;2; ; ; ; ;8;2;1;05;733,964254995929
1072259;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;920,566394438819
1072259;1;5;1;80;05;1;4;2; ;2; ;2; ; ; ; ;9;2;1;05;920,566394438819
1072260;1;2;1;80;05;1;2;8;EMBARAZO;2; ;2; ; ; ;POR EMBARAZO;12;2;1;05;525,083978798305
1072260;1;8;1;80;05;1;4;7; ;2; ;2; ; ; ; ;8;2;1;05;525,083978798305
1072263;1;3;1;80;05;1;4;2; ;2; ;2; ; ; ; ;9;2;1;05;849,091349959087
1072263;1;5;1;80;05;1;4;4; ;3; ;2; ; ; ; ;10;2;1;05;849,091349959087
1072264;2;2;2;80;05;1;2;1; ;2; ;2; ; ; ; ;2;2;1;05;654,397444289528
1072271;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1147,11427520513
1072271;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1147,11427520513
1072274;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1050,28948588406
1072275;1;2;1;80;05;2; ; ; ;2; ;2; ;1;4; ;9; ;1;05;1078,15252144162
1072275;1;3;1;80;05;1;1;7; ;2; ;2; ; ; ;ESTA ESPERANDO EL TITULO DE UNIVERSITARIO;12;2;1;05;1078,15252144162
1072275;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1078,15252144162
1072278;1;5;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;469,052392446422
1072278;2;2;2;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;469,052392446422
1072278;2;3;2;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;469,052392446422
1072281;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1178,55651507795
1072282;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;881,28494675049
1072283;1;2;1;80;05;1;1;7; ;2; ;2; ; ; ; ;9;2;1;05;1277,16482476827
1072284;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1093,87364137803
1072286;1;3;1;80;05;1;1;7; ;2; ;2; ; ; ;DESEA ESTUDIAR;12;2;1;05;1162,83539514154
1072289;1;2;1;80;05;2; ; ; ;2; ;2; ;1;4; ;9; ;1;05;1012,12726492989
1072289;1;4;1;80;05;1;4;4; ;3; ;2; ; ; ; ;4;2;1;05;1012,12726492989
1072289;1;5;1;80;05;1;4;4; ;3; ;2; ; ; ; ;4;2;1;05;1012,12726492989
1072290;1;1;1;80;05;1;4;2; ;2; ;2; ; ; ; ;9;2;1;05;839,87235100818
1072291;1;1;1;80;05;2; ; ; ;3; ;2; ;2; ;.; ; ;1;05;706,422199411199
1072291;2;2;2;80;05;2; ; ; ;2; ;2; ;1;1; ;2; ;1;05;706,422199411199
1072295;1;1;1;80;05;1;4;6; ;2; ;2; ; ; ; ;8;2;1;05;908,424478817667
1072295;1;2;1;80;05;1;4;8;X CAMBIO DE CIUDAD;2; ;2; ; ; ; ;9;2;1;05;908,424478817667
1072296;1;1;1;80;05;2; ; ; ;3; ;2; ;2; ;.; ; ;1;05;812,725899908789
1072296;1;2;1;80;05;1;3;3; ;3; ;2; ; ;3; ;4;1;1;05;812,725899908789
1072296;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;812,725899908789
1072296;1;6;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;812,725899908789
1072299;1;2;1;80;05;1;2;2; ;2; ;2; ; ; ; ;9;2;1;05;1009,19076767812
1072299;1;3;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1009,19076767812
1072299;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1009,19076767812
1072300;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;1041,80757100507
1072301;1;1;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;967,778171935807
1072302;1;4;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;960,51213576224
1072303;1;2;1;80;05;1;1;2; ;2; ;2; ; ; ; ;9;2;1;05;1041,80757100507
1072305;1;2;1;80;05;2; ; ; ;2; ;2; ;2; ;.; ; ;1;05;829,218876377526
1072307;1;1;1;80;05;1;4;3; ;2; ;2; ; ; ; ;4;2;1;05;1164,23612067292
