DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480;P7480S1;P7480S2;P7480S3;P7480S4;P7480S5;P7480S6;P7480S7;P7480S8;P7480S9;P7480S10;P7480S11;P7480S1A1;P7480S2A1;P7480S3A1;P7480S4A1;P7480S5A1;P7480S6A1;P7480S7A1;P7480S8A1;P7480S9A1;P7480S10A1;P7480S11A1;DPTO;fex_c_2011
1078120;1;4;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;871,653432103055
1078120;1;5;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;871,653432103055
1078122;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;922,269818544038
1078122;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;6; ; ; ; ; ; ; ; ;63;922,269818544038
1078123;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;574,44351346518
1078127;1;1;1;90; ;2; ;1;2;2;2;1;2;2;2;2; ; ;2; ; ; ;6; ; ; ; ;63;804,191183510156
1078127;1;2;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;804,191183510156
1078128;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;624,193144108202
1078128;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;6; ;6; ; ; ; ; ; ;63;624,193144108202
1078129;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;414,936975027243
1078129;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;9; ;8; ; ; ; ; ; ;63;414,936975027243
1078130;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;1015,20544819274
1078130;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;42; ; ; ; ; ; ; ; ;63;1015,20544819274
1078130;1;3;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;1015,20544819274
1078131;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;640,3632146462
1078131;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;4; ; ; ; ; ; ; ; ;63;640,3632146462
1078132;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;391,987724662159
1078132;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;42; ; ; ; ; ; ; ; ;63;391,987724662159
1078133;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;537,082691444044
1078133;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;6; ;10; ; ; ; ; ; ;63;537,082691444044
1078133;1;3;1;90; ;2; ;2;2;1;2;2;2;2;2;2; ; ; ; ;9; ; ; ; ; ; ;63;537,082691444044
1078133;1;6;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;537,082691444044
1078135;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;391,987724662159
1078135;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;8; ; ; ; ; ; ; ; ;63;391,987724662159
1080767;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ;63;704,74036841534
1080768;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;5; ; ; ; ; ; ; ; ;63;704,74036841534
1080769;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;12; ; ; ; ; ; ; ; ;63;686,289295812657
1080770;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;555,341233254277
1080770;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;27; ;35; ; ; ; ; ; ;63;555,341233254277
1080770;1;3;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;555,341233254277
1080770;1;4;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;14; ;12; ; ; ; ; ; ;63;555,341233254277
1080771;1;1;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;23; ;26; ; ; ; ; ; ;63;809,541900222858
1080771;1;2;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;809,541900222858
1080771;1;3;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;809,541900222858
1080771;1;4;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;809,541900222858
1080771;1;6;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;809,541900222858
1080771;1;7;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;809,541900222858
1080771;1;9;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;809,541900222858
1080772;1;1;1;90; ;1; ;2;2;2;2;2;2;2;2;2;20; ; ; ; ; ; ; ; ; ; ;63;621,912142043517
1080772;1;2;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;35; ; ; ; ; ; ; ; ;63;621,912142043517
1080773;1;1;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;10; ; ; ; ; ; ; ; ;63;704,74036841534
1080774;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;872,568634092243
1080774;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;24; ;23; ; ; ; ; ; ;63;872,568634092243
1080776;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;865,597326753032
1080776;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;25; ;25; ; ; ; ; ; ;63;865,597326753032
1080776;1;3;1;90; ;2; ;1;2;2;2;2;2;2;2;2; ; ;25; ; ; ; ; ; ; ; ;63;865,597326753032
1080776;1;4;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;865,597326753032
1080777;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;549,300508079996
1080777;1;2;1;90; ;2; ;1;2;1;2;2;2;2;2;2; ; ;15; ;24; ; ; ; ; ; ;63;549,300508079996
1080778;1;1;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;801,091468558411
1080778;1;2;1;90; ;2; ;1;1;1;2;2;2;2;2;2; ; ;15;10;25; ; ; ; ; ; ;63;801,091468558411
1080778;1;3;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;801,091468558411
1080778;1;4;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;801,091468558411
1080778;1;5;1;90; ;2; ;2;2;2;2;2;2;2;2;2; ; ; ; ; ; ; ; ; ; ; ;63;801,091468558411
