DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7420S7A1;P7422;P7422S1;P9460;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;RAMA4D_D;DPTO;fex_c_2011
1073942;1;2;1;70;2;3;63;3; ;2;3;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;120000;2;54;53;55;1;1;5529;18;1224,89857060192
1073944;1;1;1;70;2;48;48;1; ;2;68;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;40;52;1;2;5233;18;871,875606039326
1073946;1;3;1;70;2;12;48;1; ;2;12;1; ;3;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;1;5233;18;1106,25941232184
1073954;1;2;1;70;2;8;48;4; ;2;63;4; ;5;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8012;18;1912,24392555012
1080769;1;1;1;70;2;24;48;1; ;2;24;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;2;5521;63;686,289295812657
1080804;1;3;1;70;2;12;48;4; ;2;96;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;41;41;52;1;1;5211;63;569,753208190655
1080806;1;1;1;70;2;2;48;4; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;93;95;45;1;1;4552;63;516,845539523127
1080839;1;1;1;70;2;4;50;4; ;2;8;4; ;2;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;95;95;45;1;1;4521;63;489,829611055449
1080839;1;2;1;70;2;8;50;1; ;2;8;1; ;3;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;53;53;55;1;1;5521;63;489,829611055449
1080842;1;1;1;70;2;12;50;3; ;2;12;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;63;503,833507009635
1080844;1;2;1;70;2;10;50;3; ;2;10;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;63;569,753208190655
1080875;1;1;1;70;2;4;48;1; ;2;4;1; ;4;9;E; ;1; ; ; ; ; ; ; ; ;1;700000;2;21;21;60;1;1;6042;63;704,74036841534
1087286;1;4;1;70;2;4;20;3; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;62; ; ;1;1; ;25;4770,67707054591
