Directorio;Secuencia_p;Orden;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Clase;Dpto;Fex_c_2011
216510;2;1;80;1;4;4; ;3; ; ; ; ; ;2;27;1041,60868125662
216510;2;2;80;2; ; ; ; ; ; ; ; ; ;2;27;1041,60868125662
216511;2;5;80;2; ; ; ; ; ; ; ; ; ;2;27;934,553780478755
216512;2;2;80;1;3;2; ;2; ; ; ; ; ;2;27;960,89720645699
216513;2;2;80;1;2;2; ;2; ; ; ; ; ;2;27;904,181956356489
216516;2;2;80;2; ; ; ; ; ; ; ; ; ;2;27;884,44560820955
216518;2;2;80;2; ; ; ; ; ; ; ; ; ;2;27;1054,16401233248
216520;2;2;80;2; ; ; ; ; ; ; ; ; ;2;27;953,813523200525
216525;2;2;80;1;4;2; ;2; ; ; ; ; ;2;27;1093,41556255361
216525;2;3;80;2; ; ; ; ; ; ; ; ; ;2;27;1093,41556255361
216526;2;2;80;2; ; ; ; ; ; ; ; ; ;2;27;823,259450518991
216526;2;6;80;2; ; ; ; ; ; ; ; ; ;2;27;823,259450518991
216529;2;2;80;2; ; ; ; ; ; ; ; ; ;2;27;938,849598287152
216529;2;3;80;2; ; ; ; ; ; ; ; ; ;2;27;938,849598287152
216529;2;4;80;2; ; ; ; ; ; ; ; ; ;2;27;938,849598287152
216530;2;1;80;1;3;5; ;2; ; ; ; ; ;2;27;1019,31947964375
216530;2;2;80;2; ; ; ; ; ; ; ; ; ;2;27;1019,31947964375
216530;2;4;80;2; ; ; ; ; ; ; ; ; ;2;27;1019,31947964375
216530;2;5;80;2; ; ; ; ; ; ; ; ; ;2;27;1019,31947964375
216533;2;2;80;2; ; ; ; ; ; ; ; ; ;2;27;800,430447216161
216534;2;2;80;1;2;7; ;2; ; ; ; ; ;2;27;815,187091966176
216534;2;4;80;2; ; ; ; ; ; ; ; ; ;2;27;815,187091966176
216534;2;5;80;2; ; ; ; ; ; ; ; ; ;2;27;815,187091966176
216534;2;6;80;1;2;3; ;2; ; ; ; ; ;2;27;815,187091966176
216534;2;7;80;2; ; ; ; ; ; ; ; ; ;2;27;815,187091966176
216535;2;2;80;2; ; ; ; ; ; ; ; ; ;2;27;955,176612367242
221434;2;2;80;2; ; ; ; ; ; ; ; ; ;2;13;1844,57855447774
221434;2;3;80;2; ; ; ; ; ; ; ; ; ;2;13;1844,57855447774
222091;2;1;80;1;4;6; ;2; ; ; ; ; ;2;19;3515,17251250358
222092;2;3;80;1;4;3; ;2; ; ; ; ; ;2;19;3665,27743722102
222094;2;2;80;1;3;2; ;2; ; ; ; ; ;2;19;3991,14871604371
222094;2;3;80;2; ; ; ; ; ; ; ; ; ;2;19;3991,14871604371
222095;2;2;80;2; ; ; ; ; ; ; ; ; ;2;19;3676,39741654719
222096;2;1;80;1;4;3; ;2; ; ; ; ; ;2;19;3813,01158418863
222097;2;2;80;1;4;2; ;2; ; ; ; ; ;2;19;3415,62192869996
222099;2;4;80;2; ; ; ; ; ; ; ; ; ;2;19;3444,34797642332
222099;2;5;80;2; ; ; ; ; ; ; ; ; ;2;19;3444,34797642332
222100;2;3;80;2; ; ; ; ; ; ; ; ; ;2;19;4370,33371318484
222100;2;4;80;2; ; ; ; ; ; ; ; ; ;2;19;4370,33371318484
222102;2;2;80;2; ; ; ; ; ; ; ; ; ;2;19;3676,39741654719
222104;2;2;80;1;3;2; ;2; ; ; ; ; ;2;19;3535,67812784201
222105;2;3;80;2; ; ; ; ; ; ; ; ; ;2;19;3573,84614610459
222105;2;4;80;2; ; ; ; ; ; ; ; ; ;2;19;3573,84614610459
222106;2;2;80;1;1;6; ;2; ; ; ; ; ;2;19;3490,93112516692
222106;3;2;80;1;3;8;PROBLEMAS PERSONALES;2; ; ; ; ; ;2;19;3490,93112516692
222106;3;4;80;2; ; ; ; ; ; ; ; ; ;2;19;3490,93112516692
222108;2;2;80;2; ; ; ; ; ; ; ; ; ;2;19;3557,76819356905
222108;4;1;80;1;3;2; ;2; ; ; ; ; ;2;19;3557,76819356905
222149;2;2;80;2; ; ; ; ; ; ; ; ; ;2;19;3796,03449414785
222150;2;2;80;2; ; ; ; ; ; ; ; ; ;2;19;4033,7022047763
222150;3;3;80;2; ; ; ; ; ; ; ; ; ;2;19;4033,7022047763
222150;3;4;80;2; ; ; ; ; ; ; ; ; ;2;19;4033,7022047763
222152;2;4;80;2; ; ; ; ; ; ; ; ; ;2;19;3423,53592446763
222153;2;2;80;1;4;2; ;2; ; ; ; ; ;2;19;3548,1320469005
222153;2;4;80;1;1;7; ;2; ; ; ; ; ;2;19;3548,1320469005
222153;2;5;80;2; ; ; ; ; ; ; ; ; ;2;19;3548,1320469005
222153;2;7;80;1;3;2; ;2; ; ; ; ; ;2;19;3548,1320469005
222154;2;2;80;2; ; ; ; ; ; ; ; ; ;2;19;4098,38887216969
222154;2;3;80;2; ; ; ; ; ; ; ; ; ;2;19;4098,38887216969
222156;2;2;80;2; ; ; ; ; ; ; ; ; ;2;19;3419,07801434877
222157;2;2;80;1;4;2; ;2; ; ; ; ; ;2;19;3820,52102504518
222158;2;3;80;2; ; ; ; ; ; ; ; ; ;2;19;3861,65054636244
222158;2;4;80;2; ; ; ; ; ; ; ; ; ;2;19;3861,65054636244
222159;2;2;80;2; ; ; ; ; ; ; ; ; ;2;19;3734,75869866649
222159;2;5;80;2; ; ; ; ; ; ; ; ; ;2;19;3734,75869866649
222159;2;6;80;1;2;7; ;2; ; ; ; ; ;2;19;3734,75869866649
222160;2;2;80;2; ; ; ; ; ; ; ; ; ;2;19;3802,67047614417
222161;2;2;80;2; ; ; ; ; ; ; ; ; ;2;19;3502,05003287025
222161;2;3;80;2; ; ; ; ; ; ; ; ; ;2;19;3502,05003287025
222161;2;4;80;2; ; ; ; ; ; ; ; ; ;2;19;3502,05003287025
222162;2;2;80;2; ; ; ; ; ; ; ; ; ;2;19;4058,543916743
222162;2;3;80;2; ; ; ; ; ; ; ; ; ;2;19;4058,543916743
