Directorio;Secuencia_p;Orden;Regis;P7430;P7440;P7450;P7450s1;P7460;P7470;P7472;P7472s1;P7490;P7490s1;Clase;Dpto;Area;Fex_c_2011
216227;2;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;763,812248265247
216227;2;5;80;2; ; ; ; ; ; ; ; ; ;1;05;05;763,812248265247
216228;2;1;80;1;4;2; ;2; ; ; ; ; ;1;05;05;797,647560691471
216228;2;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;797,647560691471
216229;2;2;80;1;4;2; ;2; ; ; ; ; ;1;05;05;856,463410121151
216231;2;1;80;1;3;4; ;3; ; ; ; ; ;1;05;05;747,422208925302
216231;2;2;80;1;4;2; ;2; ; ; ; ; ;1;05;05;747,422208925302
216231;2;3;80;1;1;7; ;1;2;2; ;1;1000000;1;05;05;747,422208925302
216232;2;1;80;1;1;7; ;2; ; ; ; ; ;1;05;05;950,929882878171
216234;2;1;80;1;4;4; ;3; ; ; ; ; ;1;05;05;831,213372222874
216234;2;2;80;1;4;2; ;2; ; ; ; ; ;1;05;05;831,213372222874
216236;2;1;80;1;4;2; ;3; ; ; ; ; ;1;05;05;613,806013819906
216236;2;2;80;1;3;4; ;3; ; ; ; ; ;1;05;05;613,806013819906
216236;2;3;80;1;1;4; ;3; ; ; ; ; ;1;05;05;613,806013819906
216236;2;6;80;1;4;7; ;2; ; ; ; ; ;1;05;05;613,806013819906
216241;2;2;80;1;1;8;EMBARAZO;2; ; ; ; ; ;1;05;05;628,133443114204
216241;2;3;80;1;1;8;NO LE PAGABAN;2; ; ; ; ; ;1;05;05;628,133443114204
216244;2;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;813,57067923742
216244;2;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;813,57067923742
216245;2;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;796,420667067213
216245;2;4;80;2; ; ; ; ; ; ; ; ; ;1;05;05;796,420667067213
216248;2;4;80;2; ; ; ; ; ; ; ; ; ;1;05;05;691,978183698591
216248;2;5;80;2; ; ; ; ; ; ; ; ; ;1;05;05;691,978183698591
216248;2;6;80;2; ; ; ; ; ; ; ; ; ;1;05;05;691,978183698591
216251;3;2;80;1;2;2; ;2; ; ; ; ; ;1;05;05;928,625964577724
216253;2;3;80;2; ; ; ; ; ; ; ; ; ;1;05;05;607,858530511103
216256;2;1;80;1;4;5; ;2; ; ; ; ; ;1;05;05;881,438723989043
216257;2;1;80;2; ; ; ; ; ; ; ; ; ;1;05;05;810,938459619772
216257;2;2;80;2; ; ; ; ; ; ; ; ; ;1;05;05;810,938459619772
216259;2;2;80;1;4;2; ;2; ; ; ; ; ;1;05;05;845,788100661703
216261;2;1;80;1;4;2; ;2; ; ; ; ; ;1;05;05;727,147296322201
