DIRECTORIO,SECUENCIA_P,ORDEN,REGIS,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,CLASE,DSI,OFICIO1,OFICIO2,RAMA4D_D,RAMA2D_D,DPTO,AREA,fex_c_2011
676573,1,1,70,20,48,4,,2,20,4,,2,1,,,,,,,,,1,,SUSTITUCION  DE  PENSIONADA,2,,2,1,1,79,79,1810,18,5,5,671.457.280.561.973
676573,1,2,70,20,48,1,,2,20,4,,2,1,,,,,,,,,,1,,2,,2,1,1,79,79,1810,18,5,5,671.457.280.561.973
676576,1,2,70,8,48,1,,2,8,1,,2,1,,,,1,,,,,,,,2,,2,1,1,45,45,1589,15,5,5,720.567.282.963.594
676580,1,5,70,240,50,4,,2,240,4,,1,1,,,,,,,,,,1,,2,,2,1,1,45,45,5262,52,5,5,9.111.918.760.982
676583,1,2,70,20,48,2,,2,2,1,,2,1,,,,,,,,,,1,,1,150000,2,1,1,19,21,8045,80,5,5,203.215.155.334.485
676585,1,1,70,48,48,1,,2,4,1,,8,4,,,1,,,,,,,,,1,147000,2,1,1,58,58,5211,52,5,5,17.460.376.358.523
676587,1,2,70,20,48,1,,2,300,1,,4,4,,,,,,,,,,1,,2,,2,1,1,45,45,5239,52,5,5,863.568.269.624.437
676600,1,2,70,40,50,1,,2,45,1,,3,1,,,,,,,,,,1,,2,,2,1,1,80,80,1921,19,5,5,685.647.357.670.258
676605,1,2,70,75,48,1,,2,75,1,,3,8,,,,,,,,,,1,,2,,2,1,1,90,97,5155,51,5,5,653.328.804.019.573
676606,1,2,70,58,48,1,,2,57,1,,3,1,,,,,,,,,,1,,1,80000,2,1,1,84,84,5040,50,5,5,611.274.289.344.673
676607,1,5,70,24,48,1,,2,25,1,,5,1,,,,,,,,,,1,,2,,2,1,1,39,39,5234,52,5,5,147.075.102.263.345
676608,1,6,70,4,48,3,,2,4,3,,1,4,,,,,,,,,,1,,1,160000,2,1,1,54,54,9500,95,5,5,159.271.270.021.876
676610,1,2,70,22,48,1,,2,24,3,,1,2,,,,,,,,,,1,,2,,2,1,1,59,54,9500,95,5,5,227.154.618.434.397
676610,1,8,70,16,50,3,,2,16,3,,1,1,,,,,,,,,,1,,2,,2,1,1,54,54,9500,95,5,5,227.154.618.434.397
676611,1,2,70,108,48,1,,2,108,1,,3,2,,,,,,,,,,1,,1,20000,2,1,1,34,79,1810,18,5,5,858.305.783.409.063
676612,1,2,70,80,48,1,,2,80,1,,6,1,,,,,,,,,,1,,2,,2,1,1,55,55,8043,80,5,5,804.103.948.756.595
676612,1,3,70,13,60,2,,2,14,1,,2,1,,,,,,,,,,1,,2,,2,1,1,58,95,4521,45,5,5,804.103.948.756.595
676612,1,4,70,38,50,1,,2,38,1,,3,1,,,,,,,,,,1,,2,,2,1,1,57,57,9302,93,5,5,804.103.948.756.595
676614,1,2,70,24,50,1,,2,25,1,,3,2,,,,,,,,,,1,,2,,2,1,1,54,54,5511,55,5,5,383.444.564.958.938
