DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S2;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S20;P5210S21;P5210S22;P5210S24;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;CLASE;P5070;DPTO;ORDEN;fex_c_2011
692943;1;3;2;3;1;4;6;5;4;;;;50000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;2;2;2;2;2;2;;;;1;2;1;18;1;117.353.635.223.214
692944;1;4;2;3;1;3;6;5;1;;;3000000;20000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;3;2;2;2;2;2;;;;1;2;1;18;1;10.411.755.560.491
692946;1;4;2;2;1;4;6;5;1;;;600000;10000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;1;5;2;2;2;2;2;2;;;;1;2;1;18;1;101.757.530.421.979
692947;1;5;3;3;1;4;6;5;1;;;5000000;50000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;2;;;;1;2;1;18;1;929.045.249.320.908
692948;1;5;3;3;1;4;6;5;1;;;2000000;10000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;3;2;2;2;2;2;;;;1;2;1;18;1;763.978.565.415.649
692949;1;4;3;2;1;3;6;5;1;;;5000000;50000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;;;;1;2;1;18;1;100.442.968.889.294
692952;1;5;3;3;1;4;6;5;1;;;3000000;10000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;2;2;2;2;2;2;;;;1;2;1;18;1;110.084.656.863.032
692954;1;4;3;2;1;4;6;5;1;;;1000000;5000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;5;3;2;2;2;2;2;;;;1;2;1;18;1;81.948.275.425.668
692957;1;6;5;3;1;4;6;5;1;;;2000000;100000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2;2;2;2;;;;1;2;1;18;1;63.453.581.962.042
695631;1;2;1;2;1;4;1;4;1;;;98;50000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;2;1;2;2;2;1;1;;2;1;2;3;25;1;259.322.880.829.235
695637;1;1;1;1;2;1;1;4;1;;;98;50000;;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;4;2;1;2;1;1;1;2;2;2;1;2;1;25;1;966.940.958.294.633
695637;2;1;1;1;2;1;1;4;4;;;;150000;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;2;2;2;;;;;;;;;;;2;1;2;;25;1;966.940.958.294.633
695640;1;3;2;1;2;4;1;4;1;;;98;60000;;2;2;2;2;1;2;1;2;2;2;1;2;2;2;2;2;2;2;1;2;2;1;2;4;2;1;2;1;2;1;2;;1;1;2;1;25;1;966.940.958.294.633
695660;1;2;2;1;1;1;1;4;3;;;;;150000;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;2;1;2;2;2;1;1;1;2;1;2;1;1;1;2;2;1;1;2;1;25;1;385.401.878.398.355
695664;1;4;3;2;1;1;1;4;1;;;99;500000;;1;2;2;1;1;1;1;2;2;1;1;2;1;2;2;2;2;1;2;2;2;1;1;1;4;1;2;2;1;1;2;2;1;1;2;1;25;1;733.579.493.924.462
695704;1;3;2;2;1;4;1;4;3;;;;;60000;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;2;1;2;2;1;1;1;2;1;2;2;2;1;2;;1;1;2;1;25;1;167.598.441.996.046
695706;1;3;2;2;1;4;1;4;4;;;;70000;;2;2;2;2;1;2;1;1;2;2;1;1;1;2;2;2;2;1;2;2;2;1;1;7;2;1;2;2;2;1;2;;1;1;2;1;25;1;195.324.295.247.818
695708;1;5;1;2;1;4;1;4;1;;;30000000;50000;;2;2;2;2;1;1;1;2;2;2;1;2;2;2;2;2;1;2;2;1;2;1;1;1;2;1;2;2;2;1;1;;1;1;2;1;25;1;205.592.562.272.094
695711;1;3;2;1;1;4;1;5;1;;;70000000;200000;;2;2;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;1;2;1;1;1;1;2;1;1;2;1;25;1;291.043.738.005.941
695716;1;1;1;1;2;1;1;4;4;;;;90000;;2;2;2;2;2;2;1;2;2;2;1;2;2;2;2;2;1;2;1;2;2;1;2;1;2;1;2;1;1;1;2;2;1;1;2;1;25;1;966.940.958.294.633
695717;1;1;1;1;2;1;1;;4;;;;40000;;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;1;4;1;2;1;2;1;1;1;2;2;1;1;2;6;25;1;278.839.367.392.774
695734;1;1;1;1;2;1;1;4;3;;;;;100000;2;2;2;2;1;1;1;1;2;1;1;1;2;2;2;2;2;1;2;2;2;1;1;1;4;1;2;1;1;1;3;2;1;1;2;1;25;1;342.400.273.748.089
695734;2;2;2;2;2;1;1;4;4;;;;200000;;2;2;2;2;2;2;1;1;2;2;1;2;1;2;2;2;2;1;2;2;2;2;;;;;;;;;;;1;1;2;;25;1;342.400.273.748.089
695734;3;1;1;1;2;1;1;4;4;;;;1200000;;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;3;;;;;;;;;;;1;1;2;;25;1;342.400.273.748.089
695744;1;3;2;2;1;1;1;4;1;;;30000000;250000;;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;1;2;2;1;1;2;2;1;1;2;1;25;1;284.912.550.619.857
695773;1;3;3;2;1;4;1;4;1;;;5000000;100000;;2;2;2;2;1;1;1;2;2;2;1;1;1;2;2;2;1;2;2;2;2;1;1;1;2;1;2;2;2;1;1;;1;1;2;1;25;1;210.511.223.830.716
695783;1;1;1;2;2;1;1;4;4;;;;50000;;2;2;2;2;2;2;1;2;2;2;1;1;2;2;2;2;1;2;2;2;2;1;1;5;2;1;2;2;1;1;2;2;1;1;2;1;25;1;182.841.804.235.549
