DIRECTORIO,SECUENCIA_P,ORDEN,AREA,REGIS,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,DPTO,fex_c_2011
676574,1,1,5,80,1,1,8,LIMITACION  SORDO  MUDA,2,,2,,,,LIMITACION  SORDO MUDA,12,2,1,5,824.543.668.681.635
676576,1,1,5,80,1,4,4,,3,,2,,,,,10,2,1,5,720.567.282.963.594
676578,1,3,5,80,2,,,,2,,2,,2,,.,,,1,5,719.976.970.360.051
676579,1,3,5,80,2,,,,2,,2,,2,,.,,,1,5,881.664.307.373.023
676580,1,2,5,80,2,,,,2,,2,,2,,.,,,1,5,9.111.918.760.982
676581,1,1,5,80,2,,,,2,,2,,2,,.,,,1,5,713.751.364.220.745
676581,1,2,5,80,2,,,,2,,2,,1,2,,1,,1,5,713.751.364.220.745
676583,1,1,5,80,1,4,2,,2,,2,,,,,8,2,1,5,203.215.155.334.485
676584,1,1,5,80,1,3,2,,2,,2,,,,,9,2,1,5,144.852.716.720.163
676586,1,3,5,80,2,,,,2,,2,,2,,.,,,1,5,145.392.071.055.334
676586,1,4,5,80,2,,,,2,,2,,2,,.,,,1,5,145.392.071.055.334
676588,1,1,5,80,2,,,,2,,2,,2,,.,,,1,5,61.300.665.165.564
676588,1,3,5,80,2,,,,2,,2,,2,,.,,,1,5,61.300.665.165.564
676589,1,2,5,80,1,1,7,,2,,2,,,,,6,2,1,5,781.924.271.171.488
676591,1,2,5,80,1,2,2,,2,,2,,,,,9,2,1,5,817.863.741.771.452
676593,1,1,5,80,1,2,3,,2,,2,,,,,4,2,1,5,713.751.364.220.745
676593,1,2,5,80,2,,,,2,,2,,2,,.,,,1,5,713.751.364.220.745
676594,1,1,5,80,1,1,0,,2,,2,,,,,8,2,1,5,766.115.006.940.239
676596,1,2,5,80,1,4,3,,2,,2,,,,,1,2,1,5,76.553.588.774.281
676599,1,2,5,80,1,1,5,,2,,2,,,1,,4,1,1,5,951.830.695.128.945
676600,1,3,5,80,2,,,,2,,2,,2,,.,,,1,5,685.647.357.670.258
676601,1,1,5,80,1,1,1,,2,,2,,,,,2,2,1,5,830.332.403.518.547
676603,1,3,5,80,2,,,,2,,2,,2,,.,,,1,5,643.019.675.974.978
676604,1,2,5,80,2,,,,2,,2,,2,,.,,,1,5,69.548.914.831.648
