DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P744;P1884;P1807;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P6921;P7470;P7472;P7472S1;INI;MES;p7440;DPTO;fex_c_2011
5570718;1;2;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;3;05;1180.58449
5570720;1;2;1;80;05;;;;1;7;;2;;;11;;2;2;;2;;1;10;4;05;1196.7236319
5570721;1;3;1;80;05;1;48;908526;1;2;;2;;;2;;2;2;;2;;1;10;1.4;05;1170.4997021
5570722;1;1;1;80;05;;;;1;5;;2;;;10;;2;2;;2;;1;10;4;05;955.07688357
5570722;1;2;1;80;05;1;48;1500000;1;1;;2;;;9;;2;2;;2;;1;10;2;05;955.07688357
5570723;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;10;;05;985.02206633
5570727;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;3;05;1255.7978116
5570727;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1255.7978116
5570727;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1255.7978116
5570728;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1224.0375677
5570728;1;5;1;80;05;;;;2;;;;1;4;10;;3;3;;2;;1;10;;05;1224.0375677
5570730;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1283.7387847
5570730;1;3;1;80;05;;;;1;1;;2;;;8;;2;2;;2;;1;10;2;05;1283.7387847
5570731;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1212.4207996
5570733;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;1.2;05;1030.4450131
5570733;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1030.4450131
5570734;1;1;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;10;2;05;1212.4207996
5570737;1;1;1;80;05;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;05;987.06800115
5570738;1;2;1;80;05;2;;908526;1;4;;2;;;4;;2;2;;2;;1;10;1.2;05;627.67791867
5570738;1;3;1;80;05;;;;2;;;;2;;;.;;;;2;;1;10;;05;627.67791867
5570738;1;4;1;80;05;;;;2;;;;2;;;.;;;;2;;1;10;;05;627.67791867
5570738;1;5;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;627.67791867
5570739;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1125.5604548
5570740;1;2;1;80;05;;;;1;7;;2;;;1;;2;2;;2;;1;10;3;05;1180.58449
5570744;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1180.58449
5570744;1;2;1;80;05;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;05;1180.58449
5570745;1;2;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;1133.5993078
5570745;1;3;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1133.5993078
5570748;1;2;1;80;05;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;05;1192.6734875
5570750;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1243.7088141
5570751;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;1422.5392256
5570751;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1422.5392256
5570751;1;4;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1422.5392256
5570752;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1121.5103103
5570753;1;1;1;80;05;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;05;1192.6734875
5570753;1;2;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1192.6734875
5570754;1;1;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1258.5536113
5570754;1;2;1;80;05;;;;1;8;;2;;;11;;2;2;;2;;1;10;4;05;1258.5536113
5570754;1;6;1;80;05;1;24;908526;1;7;;1;;3;9;;1;1;2;2;;1;10;4;05;1258.5536113
5570754;1;7;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1258.5536113
5570754;1;8;1;80;05;;;;1;2;;2;;;2;;;;;1;30000;1;10;1.1;05;1258.5536113
5570755;1;5;1;80;05;;;;2;;;;2;;;.;2;2;;2;;1;10;;05;1111.2707145
5570759;1;1;1;80;13;;;;1;3;;2;;;8;;2;2;;2;;1;10;4;13;431.27918096
5570761;1;2;1;80;17;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;17;211.91051043
5570763;1;2;1;80;17;;;;2;;;;2;;;.;2;2;;2;;1;10;;17;224.64824648
5570764;1;3;1;80;17;;;;2;;;;2;;;.;;;;2;;1;10;;17;225.64153838
5570764;1;5;1;80;17;;;;2;;;;2;;;.;2;2;;2;;1;10;;17;225.64153838
5570765;1;2;1;80;17;;;;1;3;;2;;;9;;1;2;;2;;1;10;4;17;238.05719046
5570851;1;1;1;80;23;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;23;116.02634919
5570851;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;116.02634919
5570853;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;103.12185572
5570853;1;4;1;80;23;;;;2;;;;2;;;.;;;;2;;1;10;;23;103.12185572
5570854;1;3;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;165.60422839
5570855;1;3;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;248.88813184
5570855;1;4;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;248.88813184
5570855;1;6;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;248.88813184
5570858;1;1;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;165.54231167
5570858;1;5;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;165.54231167
5570859;1;1;1;80;23;;;;1;5;;2;;;10;;3;3;;2;;1;10;4;23;164.54409837
5570859;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;164.54409837
5570859;1;4;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;164.54409837
5570859;1;5;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;164.54409837
5570860;1;1;1;80;23;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;23;304.66666303
5570860;1;5;1;80;23;;;;2;;;;2;;;.;;;;2;;1;10;;23;304.66666303
5570862;1;3;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;235.80029359
5570863;1;1;1;80;23;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;23;141.69289106
5570863;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;141.69289106
5570864;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;118.89992306
5570865;1;1;1;80;23;1;48;500000;1;8;;1;;1;1;;2;2;;1;400000;1;10;1.1;23;116.58068078
5570865;1;2;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;116.58068078
5570866;1;3;1;80;23;;;;1;8;;2;;;8;;2;2;;2;;1;10;1.3;23;159.78463138
5570866;1;4;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;159.78463138
5570869;1;1;1;80;23;;;;1;4;;2;;;8;;2;2;;2;;1;10;4;23;167.41767224
5570869;1;2;1;80;23;;;;1;4;;2;;;4;;2;2;;2;;1;10;4;23;167.41767224
5570869;1;5;1;80;23;;;;2;;;;2;;;.;;;;2;;1;10;;23;167.41767224
5570870;1;1;1;80;23;;;;1;3;;2;;;9;;2;2;;2;;1;10;4;23;257.54940569
5570870;1;3;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;257.54940569
5570870;1;4;1;80;23;;;;2;;;;2;;;.;;;;2;;1;10;;23;257.54940569
5570871;1;1;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;217.28139131
5570871;1;4;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;217.28139131
5570872;1;1;1;80;23;;;;1;4;;2;;;4;;2;2;;2;;1;10;3;23;193.76634372
5570873;1;1;1;80;23;;;;1;4;;2;;;4;;2;2;;2;;1;10;1.2;23;137.26779709
5570873;1;4;1;80;23;;;;2;;;;2;;;.;;;;2;;1;10;;23;137.26779709
5570873;1;6;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;137.26779709
5570875;1;3;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;144.90083796
5570877;1;1;1;80;23;;;;2;;;;2;;;.;2;2;;2;;1;10;;23;134.70329332
5570877;1;3;1;80;23;;;;2;;;;2;;;.;;;;2;;1;10;;23;134.70329332
