DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5570720;1;1;1;70;05;52;48;6000000;1;;2;52;1;;6;2;2;;2;;;;;;;;;1;;;2;;22;08;21;1;2;2229;10;05;1196.7236319
5570725;1;1;1;70;05;24;48;908000;1;;2;24;1;;9;2;2;;2;;;;;;1;;;;;;2;;25;33;21;1;2;2599;10;05;1208.3706552
5570734;1;4;1;70;05;150;48;908000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;10;05;1212.4207996
5570753;1;3;1;70;05;208;48;908526;1;;2;208;1;;9;2;1;;1;1;;;1;;;;;;;;2;;47;45;33;1;2;4711;10;05;1192.6734875
5570755;1;4;1;70;05;24;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;10;05;1111.2707145
5570759;1;3;1;70;13;20;48;908000;1;;2;64;1;;8;2;1;;2;;;;;;;;;;;1;2;;96;32;39;1;2;9609;10;13;431.27918096
5570763;1;4;1;70;17;4;48;908526;1;;2;4;4;;9;2;1;;2;;;;;;;;;;;1;2;;84;34;34;1;1;8412;10;17;224.64824648
5570854;1;1;1;70;23;32;48;800000;3;;2;32;3;;1;2;1;;2;;;;;;;;;;;1;2;;97;54;54;1;2;9700;10;23;165.60422839
5570854;1;4;1;70;23;48;48;908526;1;;2;96;1;;6;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;2;4752;10;23;165.60422839
5570858;1;2;1;70;23;3;48;800000;1;;2;3;1;;4;2;1;;2;;;;;;;;;;;1;1;700000;56;53;53;1;1;5611;10;23;165.54231167
5570858;1;3;1;70;23;29;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;10;23;165.54231167
5570866;2;2;2;70;23;54;48;908526;1;;2;52;4;;1;2;1;;2;;;;;;;;;;;1;2;;85;54;59;1;2;8559;10;23;159.78463138
5570869;1;3;1;70;23;86;48;1100000;1;;2;98;1;;7;2;1;;2;;;;;;;;;;;1;2;;88;13;13;1;2;8891;10;23;167.41767224
5570869;1;4;1;70;23;27;48;908526;1;;2;127;1;;7;2;1;;2;;;;;;;;;;;1;2;;86;59;59;1;2;8610;10;23;167.41767224
5570877;1;2;1;70;23;38;48;1400000;1;;2;43;4;;1;2;1;;2;;;;;;;;;;;1;2;;69;12;12;1;2;6910;10;23;134.70329332
5570881;1;4;1;70;23;48;48;908716;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;32;;1;2;;10;23;113.31081716
5570882;1;1;1;70;23;8;48;800000;1;;2;8;1;;1;2;1;;2;;;;;;;;;;;1;2;;41;95;95;1;1;4111;10;23;196.23104494
5570898;1;2;1;70;23;28;40;1400000;1;;2;97;1;;6;2;1;;2;;;;;;;;;;;1;2;;85;13;13;1;2;8559;10;23;209.41167213
5570906;1;1;1;70;23;30;48;1200000;1;;2;160;1;;8;2;1;;2;;;;;;;;;;;1;2;;47;03;03;1;2;4711;10;23;108.31467186
5570909;1;4;1;70;23;8;48;908526;1;;2;8;1;;4;2;1;;2;;;;;;;;;;;1;2;;47;58;58;1;1;4731;10;23;373.23740826
5570909;1;5;1;70;23;8;48;908526;1;;2;8;1;;9;2;1;;2;;;;;;;;;;;1;2;;61;44;03;1;1;6190;10;23;373.23740826
5570909;1;6;1;70;23;12;48;900000;1;;2;12;1;;3;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;1;4752;10;23;373.23740826
5570915;1;3;1;70;23;43;48;1400000;1;;2;24;1;;4;2;1;;2;;;;;;;;;;;1;2;;41;13;95;1;2;4111;10;23;118.59085296
5570917;1;3;1;70;23;53;48;908526;1;;2;159;1;;8;2;1;;2;;;;;;;;;;;1;2;;47;32;32;1;2;4759;10;23;196.71855405
5570918;1;2;1;70;23;8;48;908526;1;;2;8;4;;1;2;1;;2;;;;;;;;;;;1;2;;92;15;33;1;1;9200;10;23;118.89992306
5570923;1;1;1;70;23;14;48;1400000;1;;2;23;1;;7;2;1;;2;;;;;;;;;;;1;2;;64;08;33;1;2;6412;10;23;202.58011625
5571757;1;4;1;70;05;36;48;908000;1;;2;36;1;;2;2;2;;2;;;;;;;;;;;1;2;;56;39;53;1;2;5619;10;05;1318.9221356
5571757;1;5;1;70;05;52;48;908000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;10;05;1318.9221356
5571797;1;2;1;70;05;12;48;1300000;1;;2;12;1;;8;2;2;;2;;;;;;;;;;;1;2;;86;03;59;1;1;8691;10;05;1597.5256335
5571800;1;1;1;70;05;52;48;1200000;2;;2;52;5;;2;2;1;;2;;;;;;;;;;;1;2;;56;59;77;1;2;5619;10;05;2868.3724979
5571806;1;1;1;70;05;2;48;908526;4;;2;2;5;;2;2;1;;2;;;;1;;;;;;;;1;700000;41;95;93;1;1;4111;10;05;2518.8119635
5571806;1;2;1;70;05;2;48;908526;1;;2;2;1;;2;2;1;;2;;;;;;;;;;;1;1;600000;41;93;93;1;1;4111;10;05;2518.8119635
5571807;1;3;1;70;05;44;48;908526;1;;2;12;1;;3;2;1;;2;;;;;;;;;;;1;2;;14;79;79;1;2;1410;10;05;1291.9842461
5571809;1;2;1;70;05;40;48;908526;1;;2;40;1;;8;2;1;;2;;;;;;;;;;;1;2;;47;45;45;1;2;4722;10;05;2360.859364
5571812;1;2;1;70;05;140;48;908000;1;;2;140;4;;9;2;1;;2;;;;;;;;;;;1;2;;84;32;32;1;2;8412;10;05;1208.3706552
5571831;1;2;1;70;05;8;48;908600;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;58;;1;1;;10;05;1139.6744829
5571835;1;2;1;70;05;4;48;908000;1;;2;104;1;;9;2;2;;2;;;;;;;;;;;1;2;;10;45;45;1;1;1081;10;05;1597.5256335
5571836;1;1;1;70;05;110;48;909000;1;;2;110;4;;1;2;1;;2;;;;;;;;;;;1;2;;47;95;95;1;2;4729;10;05;1180.58449
5571845;1;3;1;70;05;36;24;500000;1;;2;52;1;;9;2;4;;2;;;;;;;;;;;1;2;;47;39;39;1;2;4754;10;05;1172.3908289
5571853;1;1;1;70;05;8;60;908526;1;;2;4;4;;1;2;1;;2;;;;;;;;;;;1;2;;96;57;57;1;1;9602;10;05;1196.2816577
5571857;1;3;1;70;05;20;48;908000;1;;2;24;1;;9;2;1;;2;;;;;;;;;;;1;2;;49;98;98;1;2;4921;10;05;1545.9036278
5571861;1;3;1;70;05;24;48;908000;1;;2;24;1;;9;2;8;;2;;;;;;;;;;;1;2;;41;58;95;1;2;4112;10;05;1635.8030266
5571882;1;3;1;70;05;52;48;1000000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;18;;1;2;;10;05;1405.9372884
5571888;1;3;1;70;05;24;48;1200000;1;;2;24;2;;9;2;1;;2;;;;;;;;;;;1;2;;49;45;39;1;2;4921;10;05;1890.5156957
5571888;1;4;1;70;05;24;24;464263;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;10;05;1890.5156957
5571903;1;2;1;70;05;52;48;200000;1;;2;52;4;;1;2;8;;2;;;;;;;;;;;1;2;;56;53;53;1;2;5619;10;05;1528.8294612
5571910;1;1;1;70;05;36;48;908526;1;;2;134;1;;2;2;1;;2;;;;;;;;;;;1;2;;17;91;91;1;2;1702;10;05;1375.1120693
5571921;1;1;1;70;05;4;48;1014000;1;;2;4;1;;5;2;2;;2;;;;;;;;;;;1;2;;56;53;53;1;1;5611;10;05;1133.5993078
5571924;1;5;1;70;05;20;48;908526;1;;2;20;1;;9;2;1;;2;;;;;;;;;;;1;2;;82;38;38;1;2;8220;10;05;1256.96371
5571925;1;4;1;70;05;24;24;454263;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;;10;05;1048.1463904
5571928;1;2;1;70;05;104;48;3000000;1;;2;104;1;;9;2;1;;1;1;;;1;;;;;;;;2;;94;39;39;1;2;9411;10;05;1117.305358
5571933;1;2;1;70;05;2;60;908526;1;;2;2;1;;4;2;6;;2;;;;;;;;;;;1;1;900000;41;95;95;1;1;4111;10;05;1048.1463904
5571944;1;1;1;70;05;100;48;3500000;1;;2;100;2;;9;2;1;;1;1;;;1;;;;;;;;2;;84;21;31;1;2;8413;10;05;1330.7239669
5571946;1;2;1;70;05;8;48;908526;1;;2;8;1;;2;2;2;;2;;;;;;;;;;;1;2;;47;38;45;1;1;4771;10;05;893.95676909
5571948;1;2;1;70;05;44;48;1200000;1;;2;44;1;;4;2;2;;2;;;;;;;;;;;1;2;;18;37;37;1;2;1811;10;05;1375.1120693
5571950;1;4;1;70;05;4;24;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;37;;1;1;;10;05;1283.5839768
5571954;1;2;1;70;05;52;48;908526;1;;2;52;1;;3;2;2;;2;;;;;;;;;;;1;2;;56;33;33;1;2;5611;10;05;1208.3706552
5571972;1;2;1;70;05;40;48;2000000;1;;2;40;1;;2;2;7;;2;;;;;;;;;;;1;2;;56;77;77;1;2;5619;10;05;761.67347747
5571973;1;1;1;70;05;8;48;1400000;1;;2;8;1;;9;2;1;;2;;;;;;;;;;;1;2;;10;97;97;1;1;1081;10;05;1447.3861566
5571974;1;3;1;70;05;78;48;1600000;1;;2;78;4;;9;2;7;;2;;;;;;;;;;;1;2;;84;16;19;1;2;8412;10;05;1121.5103103
5571992;1;2;1;70;08;52;48;900000;1;;2;52;4;;1;2;8;;2;;;;;;;;;;;1;2;;56;45;45;1;2;5619;10;08;665.60727268
5571997;1;4;1;70;08;74;48;950000;1;;2;74;1;;5;2;1;;2;;;;;;;;;;;1;2;;18;92;97;1;2;1811;10;08;601.82722293
5572005;1;3;1;70;08;24;48;910000;1;;2;24;1;;9;2;1;;2;;;;;;;;;;;1;2;;31;21;97;1;2;3110;10;08;513.33540883
5572022;1;3;1;70;08;8;48;908000;1;;2;53;1;;7;2;2;;2;;;;;;;;;;;1;2;;82;44;44;1;1;8220;10;08;621.57105592
5572039;1;2;1;70;08;156;40;500000;3;;2;156;3;;1;2;8;;2;;;;;;;;;;;1;2;;97;54;54;1;2;9700;10;08;479.05430741
5572046;1;2;1;70;08;52;40;1200000;1;;2;208;1;;5;2;1;;2;;;;;;;;;;;1;2;;86;59;59;1;2;8621;10;08;771.88238802
5572049;1;1;1;70;08;4;48;1200000;1;;2;4;1;;9;2;1;;2;;;;;;;;;;;1;1;1100000;49;98;98;1;1;4921;10;08;669.77027942
