DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P1806;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P1519;P1883;P7420;P7420S7A1;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S8;P7422;P7422S1;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5570717;1;3;1;70;;1;24;48;908300;1;;2;32;1;;3;2;2;;2;;;;;;;;;;;1;2;;86;97;59;1;2;10;8621;19;3726.0796666
5570717;1;5;1;70;;1;72;48;908300;1;;2;104;1;;3;2;2;;2;;;;;;;;;;;1;2;;56;03;53;1;2;10;5619;19;3726.0796666
5570720;1;1;1;70;05;1;52;48;6000000;1;;2;52;1;;6;2;2;;2;;;;;;;;;1;;;2;;22;08;21;1;2;10;2229;05;1196.7236319
5570725;1;1;1;70;05;1;24;48;908000;1;;2;24;1;;9;2;2;;2;;;;;;1;;;;;;2;;25;33;21;1;2;10;2599;05;1208.3706552
5570734;1;4;1;70;05;1;150;48;908000;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;10;;05;1212.4207996
5570753;1;3;1;70;05;1;208;48;908526;1;;2;208;1;;9;2;1;;1;1;;;1;;;;;;;;2;;47;45;33;1;2;10;4711;05;1192.6734875
5570755;1;4;1;70;05;1;24;48;908526;1;;1;;;;;;;;;;.;.;;;;;;;;;;.;;45;;1;2;10;;05;1111.2707145
5570759;1;3;1;70;13;1;20;48;908000;1;;2;64;1;;8;2;1;;2;;;;;;;;;;;1;2;;96;32;39;1;2;10;9609;13;431.27918096
5570763;1;4;1;70;17;1;4;48;908526;1;;2;4;4;;9;2;1;;2;;;;;;;;;;;1;2;;84;34;34;1;1;10;8412;17;224.64824648
5570771;1;1;1;70;20;1;144;48;1800000;1;;2;144;4;;1;2;2;;2;;;;;;;;;;;1;2;;49;98;98;1;2;10;4921;20;121.58303868
5570771;1;3;1;70;20;1;48;48;1000000;1;;2;48;1;;9;2;4;;2;;;;;;;;;;;1;2;;85;79;59;1;2;10;8512;20;121.58303868
