DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,FT,DPTO,AREA,fex_c_2011
2731589,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,63,63,127.709.746.564.014
2731589,1,2,1,50,1,,,2,4,,1,,,,,,,,,,,,7,1,63,63,127.709.746.564.014
2731589,1,3,1,50,1,,,1,3,,2,2,2,2,2,,,,,,,,7,1,63,63,127.709.746.564.014
2731590,1,1,1,50,1,,,1,6,DILIGENCIAS PERSONALES,2,2,2,2,1,2,,2,,2,,,7,1,63,63,126.069.047.114.056
2731590,1,2,1,50,1,,,2,4,,2,2,2,2,2,,,,,,,,7,1,63,63,126.069.047.114.056
2731590,1,3,1,50,1,,,2,3,,2,2,2,2,2,,,,,,,,7,1,63,63,126.069.047.114.056
2731591,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,63,63,124.259.679.449.771
2731591,1,2,1,50,1,,,2,4,,2,2,2,2,1,10,,,,,,,7,1,63,63,124.259.679.449.771
2731592,1,1,1,50,1,2,,1,4,,2,2,2,1,,,,,,,,1,7,1,63,63,123.336.434.789.823
2731592,1,2,1,50,1,,,1,3,,2,2,2,2,2,,,,,,,,7,1,63,63,123.336.434.789.823
2731592,1,3,1,50,1,2,,3,2,,2,2,2,1,,,,,,,,1,7,1,63,63,123.336.434.789.823
2731593,1,1,1,50,1,,,1,4,,2,2,2,2,1,5,,2,,2,,,7,1,63,63,112.194.899.421.045
2731593,1,2,1,50,1,2,,2,3,,2,2,2,1,,,,,,,,1,7,1,63,63,112.194.899.421.045
2731593,1,3,1,50,1,,,3,3,,2,2,2,2,1,3,,2,,1,6,1,7,1,63,63,112.194.899.421.045
2731594,1,1,1,50,1,,,1,4,,2,2,2,2,2,,,,,,,,7,1,63,63,128.770.659.062.391
2731595,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,63,63,128.770.659.062.391
2731596,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,63,63,119.617.648.856.326
2731596,1,2,1,50,1,,,2,3,,2,2,2,2,2,,,,,,,,7,1,63,63,119.617.648.856.326
2731597,1,1,1,50,1,1,,1,2,,2,2,2,1,,,,,,,,1,7,1,63,63,132.007.595.503.402
2731598,1,1,1,50,1,,,1,5,,,,,,,,,,,,,,7,1,63,63,114.425.190.203.607
2731598,1,2,1,50,1,,,2,4,,2,2,2,2,1,11,,,,,,,7,1,63,63,114.425.190.203.607
2731598,1,3,1,50,1,1,,3,2,,2,2,2,1,,,,,,,,1,7,1,63,63,114.425.190.203.607
2731599,1,1,1,50,1,,,1,4,,2,2,2,2,1,6,,2,,2,,,7,1,63,63,126.365.989.832.858
2731599,1,2,1,50,1,,,2,1,,,,,,,,,,,,,,7,1,63,63,126.365.989.832.858
2731599,1,3,1,50,1,,,3,1,,,,,,,,,,,,,,7,1,63,63,126.365.989.832.858
2731600,1,1,1,50,1,,,1,6,HACER DEPORTE,2,2,2,2,2,,,,,,,,7,1,63,63,12.247.004.897.604
2731600,1,2,1,50,1,,,2,4,,2,2,2,2,2,,,,,,,,7,1,63,63,12.247.004.897.604
2731601,1,1,1,50,1,,,1,6,PENSIONADO,2,2,2,2,2,,,,,,,,7,1,15,15,596.029.281.645.635
2731601,1,2,1,50,1,,,2,4,,2,2,2,2,2,,,,,,,,7,1,15,15,596.029.281.645.635
2731602,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,15,15,624.481.807.130.412
2731602,1,2,1,50,1,2,,2,4,,2,2,2,1,,,,,,,,1,7,1,15,15,624.481.807.130.412
2731603,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,15,15,11.889.851.166.899
2731603,1,2,1,50,1,,,2,4,,1,,,,,,,,,,,,7,1,15,15,11.889.851.166.899
2731604,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,15,15,596.063.919.427.766
2731604,1,2,1,50,1,2,,2,4,,2,2,2,1,,,,,,,,1,7,1,15,15,596.063.919.427.766
2731605,1,1,1,50,1,,,1,4,,2,2,2,2,1,11,,,,,,,7,1,15,15,596.029.281.645.635
2731605,1,2,1,50,1,,,2,1,,,,,,,,,,,,,,7,1,15,15,596.029.281.645.635
2731606,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,15,15,109.586.235.834.084
2731606,1,2,1,50,1,,,2,3,,2,2,2,2,2,,,,,,,,7,1,15,15,109.586.235.834.084
2731607,1,1,1,50,1,1,,1,4,,2,2,2,1,,,,,,,,1,7,1,15,15,669.026.740.715.079
2731607,1,2,1,50,1,,,2,1,,,,,,,,,,,,,,7,1,15,15,669.026.740.715.079
2731607,1,3,1,50,1,,,3,1,,,,,,,,,,,,,,7,1,15,15,669.026.740.715.079
2731607,1,7,1,50,1,,,7,1,,,,,,,,,,,,,,7,1,15,15,669.026.740.715.079
2731608,1,1,1,50,1,,,1,4,,1,,,,,,,,,,,,7,1,15,15,915.250.833.698.062
2731608,1,2,1,50,1,,,2,6,INCAPACITADO POR ACCIDENTE,2,1,,,,,,,,,,,7,1,15,15,915.250.833.698.062
2731608,1,3,1,50,1,,,3,1,,,,,,,,,,,,,,7,1,15,15,915.250.833.698.062
2731608,1,4,1,50,1,,,4,3,,2,2,2,2,2,,,,,,,,7,1,15,15,915.250.833.698.062
2731609,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,15,15,814.760.561.676.882
2731609,1,2,1,50,1,,,2,1,,,,,,,,,,,,,,7,1,15,15,814.760.561.676.882
2731609,1,3,1,50,1,,,3,1,,,,,,,,,,,,,,7,1,15,15,814.760.561.676.882
2731609,1,4,1,50,1,,,4,3,,2,2,2,2,2,,,,,,,,7,1,15,15,814.760.561.676.882
2731609,1,5,1,50,1,,,5,3,,2,2,2,2,2,,,,,,,,7,1,15,15,814.760.561.676.882
2731610,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,15,15,941.125.439.575.119
2731610,1,2,1,50,1,1,,2,3,,2,2,2,1,,,,,,,,1,7,1,15,15,941.125.439.575.119
2731611,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,15,15,641.917.719.844.636
2731611,1,2,1,50,1,,,2,4,,2,2,2,2,2,,,,,,,,7,1,15,15,641.917.719.844.636
2731611,1,3,1,50,1,,,3,3,,2,2,2,2,2,,,,,,,,7,1,15,15,641.917.719.844.636
2731611,1,4,1,50,1,,,4,1,,,,,,,,,,,,,,7,1,15,15,641.917.719.844.636
2731611,1,5,1,50,1,,,5,1,,,,,,,,,,,,,,7,1,15,15,641.917.719.844.636
2731612,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,15,15,44.344.928.305.896
2731612,1,2,1,50,1,,,2,3,,2,2,2,2,2,,,,,,,,7,1,15,15,44.344.928.305.896
2731612,1,3,1,50,1,,,3,3,,2,2,2,2,2,,,,,,,,7,1,15,15,44.344.928.305.896
2731612,1,4,1,50,1,,,4,3,,2,2,2,2,2,,,,,,,,7,1,15,15,44.344.928.305.896
2731612,1,5,1,50,1,,,5,4,,2,2,2,2,2,,,,,,,,7,1,15,15,44.344.928.305.896
2731613,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,15,15,100.371.052.157.786
2731613,1,2,1,50,1,,,2,3,,2,2,2,2,2,,,,,,,,7,1,15,15,100.371.052.157.786
2731614,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,15,15,596.029.281.645.635
2731614,1,2,1,50,1,,,2,6,PENSIONADO,2,2,2,2,2,,,,,,,,7,1,15,15,596.029.281.645.635
2731615,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,15,15,749.405.261.822.816
2731615,1,2,1,50,1,,,2,1,,,,,,,,,,,,,,7,1,15,15,749.405.261.822.816
2731615,1,3,1,50,1,,,3,3,,2,2,2,2,2,,,,,,,,7,1,15,15,749.405.261.822.816
2731615,1,4,1,50,1,,,4,3,,2,2,2,2,2,,,,,,,,7,1,15,15,749.405.261.822.816
2731615,1,6,1,50,1,,,6,3,,2,2,2,2,2,,,,,,,,7,1,15,15,749.405.261.822.816
2731615,1,7,1,50,1,,,7,3,,2,2,2,2,2,,,,,,,,7,1,15,15,749.405.261.822.816
2731617,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,15,15,904.369.116.614.276
2731617,1,2,1,50,1,,,2,4,,2,2,2,2,2,,,,,,,,7,1,15,15,904.369.116.614.276
2731617,1,4,1,50,1,,,4,1,,,,,,,,,,,,,,7,1,15,15,904.369.116.614.276
2731618,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,15,15,74.963.219.784.855
2731618,1,2,1,50,1,,,2,1,,,,,,,,,,,,,,7,1,15,15,74.963.219.784.855
2731618,1,3,1,50,1,,,3,4,,1,,,,,,,,,,,,7,1,15,15,74.963.219.784.855
2731619,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,15,15,560.747.858.070.074
2731619,1,2,1,50,1,,,2,1,,,,,,,,,,,,,,7,1,15,15,560.747.858.070.074
2731620,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,15,15,121.740.300.439.254
2731620,1,2,1,50,1,2,,2,2,,2,2,2,1,,,,,,,,1,7,1,15,15,121.740.300.439.254
2731621,1,1,1,50,1,,,1,6,VACACIONES,2,1,,,,,,,,,,,7,1,17,17,13.226.634.612.449
2731621,1,2,1,50,1,,,2,1,,,,,,,,,,,,,,7,1,17,17,13.226.634.612.449
2731621,1,3,1,50,1,,,3,6,VACACIONES,2,2,2,2,2,,,,,,,,7,1,17,17,13.226.634.612.449
2731621,1,4,1,50,1,,,2,6,VACACIONES,2,2,2,2,2,,,,,,,,7,1,17,17,13.226.634.612.449
2731622,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,17,17,175.664.264.090.129
2731622,1,2,1,50,1,,,2,4,,2,2,2,2,2,,,,,,,,7,1,17,17,175.664.264.090.129
2731622,1,3,1,50,1,,,3,1,,,,,,,,,,,,,,7,1,17,17,175.664.264.090.129
2731622,1,4,1,50,1,,,2,6,VACACIONES,2,2,2,2,2,,,,,,,,7,1,17,17,175.664.264.090.129
2731622,1,6,1,50,1,,,6,4,,2,2,2,2,2,,,,,,,,7,1,17,17,175.664.264.090.129
2731623,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,17,17,132.034.073.850.481
2731623,1,2,1,50,1,,,2,1,,,,,,,,,,,,,,7,1,17,17,132.034.073.850.481
2731623,1,3,1,50,1,,,3,3,,2,2,2,2,2,,,,,,,,7,1,17,17,132.034.073.850.481
2731624,1,1,1,50,1,,,1,6,CAMINAR,2,2,2,2,2,,,,,,,,7,1,17,17,144.126.356.428.726
2731624,1,2,1,50,1,,,2,4,,2,2,2,2,2,,,,,,,,7,1,17,17,144.126.356.428.726
2731625,1,1,1,50,1,,,1,6,PINTAR CERAMICAS PARA DECORAR LA CASA,2,2,2,2,2,,,,,,,,7,1,17,17,136.584.585.611.394
2731625,1,2,1,50,1,,,2,6,EN REPOSO,2,2,2,2,1,13,ESTA  EMBARAZADA,,,,,,7,1,17,17,136.584.585.611.394
2731625,1,3,1,50,1,,,2,6,VACACIONES,2,2,2,2,2,,,,,,,,7,1,17,17,136.584.585.611.394
2731626,1,1,1,50,1,,,1,6,JUGAR BILLAR,2,2,2,2,2,,,,,,,,7,1,17,17,144.126.356.428.726
2731626,1,2,1,50,1,,,2,4,,2,2,2,2,2,,,,,,,,7,1,17,17,144.126.356.428.726
2731627,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,17,17,195.386.282.663.734
2731627,1,2,1,50,1,,,2,1,,,,,,,,,,,,,,7,1,17,17,195.386.282.663.734
2731627,1,3,1,50,1,,,3,6,VACACIONES,2,2,2,2,2,,,,,,,,7,1,17,17,195.386.282.663.734
2731627,1,4,1,50,1,,,2,6,VACACIONES,2,2,2,2,2,,,,,,,,7,1,17,17,195.386.282.663.734
2731628,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,7,1,17,17,197.390.896.106.781
2731628,1,2,1,50,1,,,2,4,,1,,,,,,,,,,,,7,1,17,17,197.390.896.106.781
