DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,AREA,MES,DPTO,fex_c_2011
2731621,1,1,1,95,1,,1,2,,,240000,2,2,,,,,,,,,,,,,17,7,17,13.226.634.612.449
2731621,1,2,1,95,1,,1,2,,,240000,2,2,,,,,,,,,,,,,17,7,17,13.226.634.612.449
2731621,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,13.226.634.612.449
2731621,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,13.226.634.612.449
2731622,1,1,1,95,1,,2,1,,1118000,,2,2,,,,,,,,,,,,,17,7,17,175.664.264.090.129
2731622,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,175.664.264.090.129
2731622,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,175.664.264.090.129
2731622,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,175.664.264.090.129
2731622,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,175.664.264.090.129
2731623,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,132.034.073.850.481
2731623,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,132.034.073.850.481
2731623,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,132.034.073.850.481
2731624,1,1,1,95,2,,,,,,,,1,2,2,,,,,6000000,2,1,2,,2,17,7,17,144.126.356.428.726
2731624,1,2,1,95,1,,1,2,,,300000,2,2,,,,,,,,,,,,,17,7,17,144.126.356.428.726
2731625,1,1,1,95,2,,,,,,,,1,2,2,9600000,,,,,2,2,1,,2,17,7,17,136.584.585.611.394
2731625,1,2,1,95,2,,,,,,,,1,2,2,8400000,,,,,2,2,1,,2,17,7,17,136.584.585.611.394
2731625,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,136.584.585.611.394
2731626,1,1,1,95,1,,2,1,,890000,,2,2,,,,,,,,,,,,,17,7,17,144.126.356.428.726
2731626,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,144.126.356.428.726
2731627,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,195.386.282.663.734
2731627,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,195.386.282.663.734
2731627,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,195.386.282.663.734
2731627,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,195.386.282.663.734
2731628,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,197.390.896.106.781
2731628,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,197.390.896.106.781
2731629,1,1,1,95,2,,,,,,,,1,1,2,15540000,,,10800000,,2,2,1,,2,17,7,17,188.406.657.303.308
2731629,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,188.406.657.303.308
2731630,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,176.291.114.090.713
2731630,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,176.291.114.090.713
2731631,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,17.157.994.130.714
2731632,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,138.742.917.255.456
2731633,1,1,1,95,2,,,,,,,,1,2,2,12000000,,,,,2,2,1,,2,17,7,17,142.079.266.199.148
2731633,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,142.079.266.199.148
2731633,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,142.079.266.199.148
2731633,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,142.079.266.199.148
2731634,1,1,1,95,1,,1,2,,,120000,2,1,2,1,,180000,,,,2,2,2,,2,17,7,17,139.765.640.155.291
2731634,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,139.765.640.155.291
2731634,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,139.765.640.155.291
2731635,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,178.593.737.228.649
2731635,1,2,1,95,2,,,,,,,,1,2,2,,,,,1200000,2,1,2,,2,17,7,17,178.593.737.228.649
2731636,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,17.157.994.130.714
2731637,1,1,1,95,1,,1,2,,,300000,2,2,,,,,,,,,,,,,17,7,17,147.264.934.186.093
2731637,1,2,1,95,2,,,,,,,,1,2,1,,70000,,,,2,2,2,,2,17,7,17,147.264.934.186.093
2731638,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,133.533.988.634.161
2731638,1,2,1,95,2,,,,,,,,1,2,2,,,,,3000000,2,1,2,,2,17,7,17,133.533.988.634.161
2731639,1,1,1,95,1,,1,2,,,350000,2,1,2,2,,,12000000,,,1,2,2,,2,17,7,17,143.335.905.802.899
2731640,1,1,1,95,1,,1,2,,,200000,2,2,,,,,,,,,,,,,17,7,17,138.742.917.255.456
2731641,1,1,1,95,1,,1,2,,,400000,2,2,,,,,,,,,,,,,17,7,17,139.533.367.881.283
2731641,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,139.533.367.881.283
2731642,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,172.327.915.146.437
2731642,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,172.327.915.146.437
2731643,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,155.558.630.345.702
2731644,1,1,1,95,2,,,,,,,,1,2,2,,,,,2840000,2,1,2,,2,17,7,17,327.696.750.004.661
2731645,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,29.151.342.635.393
2731645,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,29.151.342.635.393
2731647,1,1,1,95,2,,,,,,,,1,2,2,,,,,6000000,2,1,2,,2,17,7,17,155.558.630.345.702
2731648,1,1,1,95,1,,1,1,,2500000,600000,2,2,,,,,,,,,,,,,17,7,17,143.335.905.802.899
2731650,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,17,7,17,277.485.834.510.912
