DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,FEX_C,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,AREA,fex_c_2011
2731613,1,2,1,80,9.813.351.885.744,1,2,,,,2,,2,,2,,.,,,1,7,15,15,100.371.052.157.786
2731614,1,2,1,80,598.620.988.707.303,1,1,4,5,,3,,2,,,,,10,2,1,7,15,15,596.029.281.645.635
2731615,1,3,1,80,711.733.778.674.651,1,2,,,,2,,2,,2,,.,,,1,7,15,15,749.405.261.822.816
2731615,1,4,1,80,711.733.778.674.651,1,2,,,,2,,2,,2,,.,,,1,7,15,15,749.405.261.822.816
2731615,1,6,1,80,711.733.778.674.651,1,2,,,,2,,2,,2,,.,,,1,7,15,15,749.405.261.822.816
2731615,1,7,1,80,711.733.778.674.651,1,2,,,,2,,2,,2,,.,,,1,7,15,15,749.405.261.822.816
2731617,1,2,1,80,88.385.090.145.134,1,2,,,,2,,2,,2,,.,,,1,7,15,15,904.369.116.614.276
2731621,1,3,1,80,12.667.032.226.832,1,2,,,,2,,2,,2,,.,,,1,7,17,17,13.226.634.612.449
2731621,1,4,1,80,12.667.032.226.832,1,2,,,,2,,2,,2,,.,,,1,7,17,17,13.226.634.612.449
2731622,1,2,1,80,175.767.283.675.509,1,1,4,3,,2,,2,,,,,9,2,1,7,17,17,175.664.264.090.129
2731622,1,4,1,80,175.767.283.675.509,1,2,,,,2,,2,,2,,.,,,1,7,17,17,175.664.264.090.129
2731622,1,6,1,80,175.767.283.675.509,1,2,,,,2,,2,,2,,.,,,1,7,17,17,175.664.264.090.129
2731623,1,3,1,80,132.086.504.452.391,1,2,,,,2,,2,,2,,.,,,1,7,17,17,132.034.073.850.481
2731624,1,1,1,80,147.550.873.023.768,1,1,4,8,,2,,2,,,,,8,2,1,7,17,17,144.126.356.428.726
2731624,1,2,1,80,147.550.873.023.768,1,1,4,8,,2,,2,,,,,8,2,1,7,17,17,144.126.356.428.726
2731625,1,1,1,80,138.463.362.693.051,1,1,4,3,,2,,2,,,,,9,2,1,7,17,17,136.584.585.611.394
2731625,1,2,1,80,138.463.362.693.051,1,1,1,9,ESTA CON EMBARAZO DE ALTO RIESGO,2,,2,,,,POR EL EMBARAZO,12,2,1,7,17,17,136.584.585.611.394
2731625,1,3,1,80,138.463.362.693.051,1,2,,,,2,,2,,2,,.,,,1,7,17,17,136.584.585.611.394
2731626,1,1,1,80,147.550.873.023.768,1,1,4,7,,3,,2,,,,,10,2,1,7,17,17,144.126.356.428.726
2731626,1,2,1,80,147.550.873.023.768,1,1,4,3,,2,,2,,,,,9,2,1,7,17,17,144.126.356.428.726
2731627,1,3,1,80,194.006.458.333.744,1,1,2,8,,2,,2,,,,,2,2,1,7,17,17,195.386.282.663.734
2731627,1,4,1,80,194.006.458.333.744,1,2,,,,2,,2,,2,,.,,,1,7,17,17,195.386.282.663.734
2731629,1,1,1,80,19.224.046.197.553,1,1,4,7,,2,,2,,,,,11,2,1,7,17,17,188.406.657.303.308
2731629,1,2,1,80,19.224.046.197.553,1,2,,,,2,,2,,2,,.,,,1,7,17,17,188.406.657.303.308
2731633,1,1,1,80,142.315.297.626.324,1,1,4,7,,2,,2,,,,,9,2,1,7,17,17,142.079.266.199.148
2731633,1,3,1,80,142.315.297.626.324,1,2,,,,2,,2,,2,,.,,,1,7,17,17,142.079.266.199.148
2731633,1,4,1,80,142.315.297.626.324,1,2,,,,2,,2,,2,,.,,,1,7,17,17,142.079.266.199.148
2731634,1,2,1,80,135.462.233.517.825,1,1,4,3,,2,,2,,,,,9,2,1,7,17,17,139.765.640.155.291
2731634,1,3,1,80,135.462.233.517.825,1,2,,,,2,,2,,2,,.,,,1,7,17,17,139.765.640.155.291
2731635,1,2,1,80,176.595.486.617.526,1,1,1,9,CAMBIO DE CIUDAD,2,,2,,,,,9,2,1,7,17,17,178.593.737.228.649
2731638,1,1,1,80,136.130.750.120.826,1,1,3,6,,2,,2,,,3,,8,1,1,7,17,17,133.533.988.634.161
2731639,1,1,1,80,144.820.760.981.341,1,1,4,3,,2,,2,,,,,11,2,1,7,17,17,143.335.905.802.899
2731641,1,1,1,80,140.878.415.701.896,1,1,1,8,,2,,1,70000,,,,8,2,1,7,17,17,139.533.367.881.283
