DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7430;P7450;P7450S1;P7452;P7454;P7456;P7458;P7458S1;P7460;P7470;P7472;P7472S1;P744;P1884;P1807;P6921;INI;MES;p7440;DPTO;fex_c_2011
5367028;1;1;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ;1;32;920000;2;1;02; ;68;5158,2424522822
5367030;1;2;1;80; ;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;68;5610,07644127853
5367031;1;2;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;4;68;5309,34060601204
5367031;1;3;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;68;5309,34060601204
5367034;1;2;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;1,2;68;3516,25601016972
5367034;1;4;1;80; ;1;1;3; ;2; ; ;9; ;2; ;2; ;1;48;300000;2;1;02;1,2;68;3516,25601016972
5367035;1;3;1;80; ;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;68;4739,65852888154
5367037;1;1;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;3;68;4697,42113015942
5367037;1;2;1;80; ;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;4;68;4697,42113015942
5367062;1;1;1;80;05;1;1;3; ;2; ; ;9; ;2; ;2; ;2; ;908000;2;1;02;3;05;1062,9350653869
5367063;1;1;1;80;05;1;1;4; ;2; ; ;4; ;2; ;2; ; ; ; ;2;1;02;3;05;1157,18898238719
5367064;1;2;1;80;05;1;2; ; ; ;1;1;2; ;2; ;2; ; ; ; ;2;1;02; ;05;1307,23389454088
5367064;1;7;1;80;05;1;2; ; ; ;2; ; ;.;2; ;2; ;1;48;908000;2;1;02; ;05;1307,23389454088
5367064;1;8;1;80;05;1;2; ; ; ;2; ; ;.; ; ;2; ; ; ; ; ;1;02; ;05;1307,23389454088
5367066;1;1;1;80;05;1;1;5; ;2; ; ;10; ;3; ;2; ; ; ; ;3;1;02;4;05;1069,92915568418
5367067;1;3;1;80;05;1;1;2; ;2; ; ;2; ;2; ;1;100000; ; ; ;2;1;02;1,2;05;1092,0650058242
5367070;1;2;1;80;05;1;1;1; ;1; ;4;5; ;2; ;2; ;1;48;908526;2;1;02;4;05;1056,65323384712
5367072;1;2;1;80;05;1;1;3; ;2; ; ;9; ;2; ;2; ; ; ; ;2;1;02;4;05;965,342251339614
5367072;1;3;1;80;05;1;2; ; ; ;2; ; ;.;2; ;2; ; ; ; ;2;1;02; ;05;965,342251339614
5367079;1;1;1;80;05;1;1;5; ;2; ; ;8; ;2; ;2; ; ; ; ;2;1;02;3;05;1083,33996961512
