DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;MES;RAMA4D_D_R4;DPTO;fex_c_2011
5367029;1;1;1;70; ;1;10;48;4; ;2;10;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;97;53;54;1;1;02;9700;68;4106,09889401116
5367033;1;1;1;70; ;1;8;48;1; ;2;52;1; ;2;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;33;39;81;1;1;02;3315;68;4487,73005149305
5367034;1;1;1;70; ;1;5;48;1; ;2;5;1; ;6;2;4; ; ; ; ;1; ; ; ; ; ; ;2; ;900000;2; ;78;55;55;1;1;02;7820;68;3516,25601016972
5367035;1;2;1;70; ;1;24;40;1; ;2;52;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;84;39;39;1;2;02;8412;68;4739,65852888154
5367041;1;1;1;70; ;1;4;48;1; ;2;24;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;53;53;1;1;02;5630;68;4074,04605190512
5367041;1;2;1;70; ;1;4;48;1; ;2;6;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;56;53;53;1;1;02;5630;68;4074,04605190512
5367063;1;2;1;70;05;1;40;48;1; ;2;44;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;43;95;95;1;2;02;4330;05;1157,18898238719
5367063;1;3;1;70;05;1;40;48;1; ;2;104;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;10;55;77;1;2;02;1081;05;1157,18898238719
5367064;1;3;1;70;05;1;16;48;1; ;2;20;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908000;2; ;47;45;45;1;2;02;4724;05;1307,23389454088
5367070;1;1;1;70;05;1;40;48;4; ;2;44;4; ;1;2;1; ; ;1; ; ; ; ; ; ; ; ;2; ;908526;1;2;53;37;37;1;2;02;5320;05;1056,65323384712
5367071;1;1;1;70;05;1;29;48;1; ;2;29;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;79;32;44;1;2;02;7911;05;1256,64821147968
5367074;1;2;1;70;05;1;20;48;1; ;2;6;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;2500000;2; ;82;21;21;1;2;02;8230;05;964,629992582118
5367081;1;1;1;70;05;1;2;48;1; ;2;2;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;1;1000000;1600000;2; ;49;98;98;1;1;02;4923;05;985,034896810338
5367084;1;1;1;70;05;1;104;48;1; ;2;104;2; ;9;2;1; ; ; ; ; ; ; ; ;1;YA ES PENSIONADO; ;2; ;1500000;3; ;85;15;13;1;2;02;8544;05;1488,23837039577
5367088;1;1;1;70;05;1;28;48;3; ;2;28;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;97;54;54;1;2;02;9700;05;1111,63754525301
5367088;1;3;1;70;05;1;5;48;1; ;2;5;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;980000;2; ;46;45;45;1;1;02;4649;05;1111,63754525301
5367092;1;2;1;70;05;1;40;48;2; ;2;40;1; ;8;2;3; ; ; ; ;1; ; ; ; ; ; ;2; ;2000000;2; ;85;13;13;1;2;02;8530;05;1076,34587931784
5367094;1;5;1;70;05;1;12;48;1; ;2;36;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906000;2; ;78;45;55;1;1;02;7820;05;1514,47856144125
5367104;1;2;1;70;05;1;4;48;1; ;2;5;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;43;85;85;1;1;02;4321;05;1434,6422310661
5367125;1;1;1;70;05;1;4;48;1; ;2;4;1; ;9;2;2; ; ; ; ;1; ; ; ; ; ; ;1;1300000;18000000;2; ;84;44;44;1;1;02;8430;05;1353,35258327423
5367126;1;1;1;70;05;1;4;48;1; ;2;54;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908600;2; ;88;45;54;1;1;02;8890;05;958,348161042338
5367126;1;3;1;70;05;1;102;48;1; ;2;102;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;82;38;38;1;2;02;8220;05;958,348161042338
5367142;1;1;1;70;08;1;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906000;2; ;01;98;98;1;1;02;0126;08;623,056174447294
5367142;1;5;1;70;08;1;12;48;1; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906000;2; ;41;95;95;1;1;02;4111;08;623,056174447294
5367144;1;3;1;70;08;1;12;48;1; ;2;44;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906000;2; ;47;45;45;1;1;02;4771;08;780,284025124343
5367144;1;4;1;70;08;1;52;48;1; ;2;52;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906000;2; ;47;45;45;1;2;02;4771;08;780,284025124343
5367150;1;1;1;70;13;1;20;48;1; ;2;24;1; ;4;1;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;56;53;53;1;2;02;5619;13;325,404198458937
5367156;1;2;1;70;13;1;40;48;1; ;2;40;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;55;55;55;1;2;02;5511;13;427,095505223649
5367161;1;1;1;70;15;1;52;52;1; ;2;52;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;55;54;54;1;2;02;5511;15;103,15625766303
5367162;1;3;1;70;15;1;12;48;1; ;2;12;1; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908500;2; ;49;98;98;1;1;02;4921;15;137,96856729539
5367162;1;4;1;70;15;1;42;40;1; ;2;42;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;908600;2; ;69;39;39;1;2;02;6910;15;137,96856729539
5367166;1;2;1;70;15;1;8;48;3; ;2;8;3; ;1;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;97;54;54;1;1;02;9700;15;110,011529016665
5367167;1;2;1;70;15;1;4;40;1; ;2;4;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;908526;2; ;47;97;45;1;1;02;4771;15;80,1730719891852
5367168;1;1;1;70;15;1;48;48;1; ;2;48;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877803;2; ;01;95;62;1;2;02;0111;15;165,27923948595
5367168;1;2;1;70;15;1;40;48;1; ;2;20;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;877804;2; ;82;53;53;1;2;02;8230;15;165,27923948595
5367168;1;3;1;70;15;1;40;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;877803; ; ; ;53; ;1;2;02;.;15;165,27923948595
5367178;1;1;1;70;15;1;2;40;4; ;2;2;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;460000;1000000;2; ;41;95;95;1;1;02;4111;15;128,293173158183
5367181;1;1;1;70;15;1;30;40;3; ;2;52;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;86;54;55;1;2;02;8621;15;122,725771274029
5367186;1;1;1;70;15;1;40;48;3; ;2;40;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;97;54;54;1;2;02;9700;15;99,4499362648775
5367190;1;2;1;70;15;1;12;40;1; ;2;12;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;74;16;16;1;1;02;7410;15;101,841337187511
