DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;RAMA2D_D_R4;OFICIO1;OFICIO2;DSI;DSCY;RAMA4D_D_R4;MES;DPTO;fex_c_2011
5367092;1;2;1;70;05;40;48;2; ;2;40;1; ;8;2;3; ; ; ; ;1; ; ; ; ; ; ;2; ;2000000;2; ;85;13;13;1;2;8530;02;05;1076,34587931784
5367094;1;5;1;70;05;12;48;1; ;2;36;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906000;2; ;78;45;55;1;1;7820;02;05;1514,47856144125
5367104;1;2;1;70;05;4;48;1; ;2;5;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908526;2; ;43;85;85;1;1;4321;02;05;1434,6422310661
5367125;1;1;1;70;05;4;48;1; ;2;4;1; ;9;2;2; ; ; ; ;1; ; ; ; ; ; ;1;1300000;18000000;2; ;84;44;44;1;1;8430;02;05;1353,35258327423
5367126;1;1;1;70;05;4;48;1; ;2;54;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;908600;2; ;88;45;54;1;1;8890;02;05;958,348161042338
5367126;1;3;1;70;05;102;48;1; ;2;102;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;82;38;38;1;2;8220;02;05;958,348161042338
5367142;1;1;1;70;08;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906000;2; ;01;98;98;1;1;0126;02;08;623,056174447294
5367142;1;5;1;70;08;12;48;1; ;2;12;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906000;2; ;41;95;95;1;1;4111;02;08;623,056174447294
5367144;1;3;1;70;08;12;48;1; ;2;44;1; ;6;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906000;2; ;47;45;45;1;1;4771;02;08;780,284025124343
5367144;1;4;1;70;08;52;48;1; ;2;52;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;906000;2; ;47;45;45;1;2;4771;02;08;780,284025124343
