DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,MES,DPTO,AREA,fex_c_2011
2840109,1,2,1,80,1,1,1,3,,2,,2,,,,,9,2,1,12,15,15,746.677.412.942.562
2840113,1,1,1,80,1,1,4,5,,3,,2,,,,,8,2,1,12,15,15,106.441.292.331.246
2840114,1,1,1,80,1,1,4,5,,3,,2,,,,,8,2,1,12,15,15,102.776.075.683.066
2840115,1,2,1,80,1,1,3,3,,2,,2,,,,,9,2,1,12,15,15,746.677.412.942.562
2840116,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,12,15,15,130.056.264.146.957
2840117,1,2,1,80,1,1,1,8,,2,,2,,,,,9,2,1,12,15,15,564.084.543.134.852
2840117,1,3,1,80,1,1,2,8,,2,,2,,,,,2,2,1,12,15,15,564.084.543.134.852
2840117,1,4,1,80,1,1,2,2,,2,,2,,,,,8,2,1,12,15,15,564.084.543.134.852
2840118,1,1,1,80,1,1,4,7,,2,,2,,,3,,8,1,1,12,15,15,869.484.603.547.507
2840120,1,1,1,80,1,1,1,8,,2,,1,535600,,,,9,2,1,12,15,15,474.198.597.875.247
2840125,1,3,1,80,1,1,4,5,,3,,2,,,,,10,2,1,12,73,73,198.275.767.575.164
2840131,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,12,73,73,22.071.061.424.991
2840132,1,1,1,80,1,1,4,5,,3,,2,,,,,8,2,1,12,73,73,232.950.644.100.328
2840132,1,2,1,80,1,1,4,8,,2,,2,,,,,9,2,1,12,73,73,232.950.644.100.328
2840135,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,12,73,73,135.585.714.105.871
2840135,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,12,73,73,135.585.714.105.871
2840138,1,1,1,80,1,1,2,1,,3,,2,,,2,,1,1,1,12,73,73,232.950.644.100.328
2840138,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,12,73,73,232.950.644.100.328
2840141,1,2,1,80,1,1,1,2,,2,,2,,,,,2,2,1,12,73,73,206.848.360.660.321
2840142,1,2,1,80,1,1,4,7,,2,,2,,,4,,1,1,1,12,73,73,241.538.859.040.677
2840143,1,1,1,80,1,1,4,4,,2,,2,,,,,9,2,1,12,73,73,29.246.220.905.616
2840147,1,1,1,80,1,1,2,5,,3,,2,,,,,8,2,1,12,73,73,198.275.767.575.164
2840147,1,2,1,80,1,1,4,3,,2,,2,,,,,9,2,1,12,73,73,198.275.767.575.164
2840147,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,12,73,73,198.275.767.575.164
2840148,1,1,1,80,1,1,4,4,,3,,2,,,,,8,2,1,12,73,73,213.968.355.157.163
2840148,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,12,73,73,213.968.355.157.163
2840149,1,1,1,80,1,1,4,5,,3,,2,,,,,10,2,1,12,73,73,212.605.484.141.092
2840149,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,12,73,73,212.605.484.141.092
2840156,1,1,1,80,1,2,,,,2,,2,,2,,.,,,1,12,20,20,123.015.687.195.399
2840157,1,1,1,80,1,1,3,9,DESPLAZAMIENTO   FORZOSO,2,,2,,,,,9,2,1,12,20,20,10.526.406.565.013
2840159,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,12,20,20,138.798.022.746.947
2840159,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,12,20,20,138.798.022.746.947
2840159,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,12,20,20,138.798.022.746.947
2840159,1,5,1,80,1,2,,,,2,,2,,2,,.,,,1,12,20,20,138.798.022.746.947
2840161,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,12,20,20,158.577.392.352.149
2840163,1,1,1,80,1,1,1,4,,2,,2,,,,,4,2,1,12,20,20,960.358.911.588.502
2840163,1,2,1,80,1,1,2,4,,2,,2,,,,,4,2,1,12,20,20,960.358.911.588.502
2840163,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,12,20,20,960.358.911.588.502
2840165,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,12,20,20,146.663.487.975.586
2840167,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,12,20,20,131.668.443.036.576
2840167,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,12,20,20,131.668.443.036.576
2840168,1,4,1,80,1,1,1,8,,2,,2,,,,,9,2,1,12,20,20,121.336.501.222.951
2840169,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,12,20,20,15.115.274.858.307
2840169,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,12,20,20,15.115.274.858.307
2840171,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,12,20,20,105.621.595.564.614
2840171,1,4,1,80,1,2,,,,2,,2,,2,,.,,,1,12,20,20,105.621.595.564.614
2840172,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,12,17,17,171.039.963.900.162
2840172,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,12,17,17,171.039.963.900.162
2840174,1,1,1,80,1,1,1,8,,2,,2,,,,,2,2,1,12,17,17,169.174.536.171.956
2840175,1,1,1,80,1,1,2,5,,3,,2,,,,,10,2,1,12,17,17,142.346.893.339.383
2840175,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,12,17,17,142.346.893.339.383
2840175,1,3,1,80,1,1,2,2,,2,,2,,,3,,1,1,1,12,17,17,142.346.893.339.383
2840179,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,12,17,17,15.967.446.643.932
2840180,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,12,17,17,162.313.619.880.493
2840189,1,2,1,80,1,2,,,,2,,2,,2,,.,,,1,12,17,17,192.478.175.541.048
2840190,1,2,1,80,1,1,1,7,,2,,2,,,,,8,2,1,12,17,17,158.530.935.803.852
2840190,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,12,17,17,158.530.935.803.852
2840191,1,1,1,80,1,1,1,8,,2,,2,,,,,2,2,1,12,17,17,181.112.678.080.206
2840193,1,2,1,80,1,1,3,9,CAMBIO DE DOMICILIO,2,,2,,,1,,8,1,1,12,17,17,163.482.004.244.197
2840194,1,2,1,80,1,1,4,4,,1,2,2,,,,,4,2,1,12,17,17,144.621.393.985.529
2840195,1,2,1,80,1,1,3,8,,2,,2,,,3,,6,1,1,12,17,17,17.575.253.672.192
2840195,1,3,1,80,1,2,,,,2,,2,,2,,.,,,1,12,17,17,17.575.253.672.192
