DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,OFICIO1,OFICIO2,RAMA2D_D,DSI,DSCY,RAMA4D_D,MES,DPTO,AREA,fex_c_2011
2840108,1,5,1,70,1,2,48,1,,1,,,.,,,.,.,,,,,,,,,.,,,,32,,,1,1,,12,15,15,940.178.591.652.916
2840110,1,2,1,70,1,12,40,1,,2,104,1,,4,1,,,,,,,,,,1,,2,,2,8,45,52,1,1,5234,12,15,15,106.216.090.885.091
2840112,1,5,1,70,1,24,48,1,,2,36,2,,8,1,,,,,,,,,,1,,2,,2,3,3,85,1,2,8511,12,15,15,909.753.298.020.148
2840116,2,2,2,70,1,8,40,1,,2,8,1,,3,1,,,,,,,,,,1,,2,,2,32,53,55,1,1,5530,12,15,15,130.056.264.146.957
2840116,2,3,2,70,1,30,40,1,,2,8,3,,1,1,,,,,,,,,,1,,2,,2,55,54,95,1,2,9500,12,15,15,130.056.264.146.957
2840124,1,2,1,70,1,3,48,1,,2,102,1,,2,4,,,,,,,,,,1,,2,,2,45,34,74,1,1,7499,12,73,73,241.523.237.185.486
2840128,1,1,1,70,1,2,48,1,,2,32,1,,3,2,,,,,,,,,,1,,2,,2,53,53,55,1,1,5521,12,73,73,321.063.983.994.976
2840140,1,1,1,70,1,52,44,1,,2,208,1,,7,1,,,,,,,,,,1,,2,,2,55,58,45,1,2,4521,12,73,73,311.895.513.451.652
2840140,1,2,1,70,1,48,35,4,,2,580,1,,5,8,,,,,,,,,,1,,2,,2,55,55,80,1,2,8041,12,73,73,311.895.513.451.652
2840140,1,3,1,70,1,2,50,1,,2,4,1,,4,1,,,,,,,,,,1,,1,240000,2,45,53,55,1,1,5521,12,73,73,311.895.513.451.652
2840141,1,1,1,70,1,258,40,1,,2,24,4,,1,1,,,,,,,,,,1,,2,,2,21,45,52,1,2,5261,12,73,73,206.848.360.660.321
2840154,1,2,1,70,1,32,48,1,,2,32,2,,9,4,,,,,,,,,,1,,2,,2,3,39,85,1,2,8512,12,20,20,129.548.509.222.891
2840167,1,3,1,70,1,2,48,1,,2,24,1,,9,1,,,,,,,,,,1,,2,,2,98,98,15,1,1,1594,12,20,20,131.668.443.036.576
