DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7495,P7500,P7500S1,P7500S2,P7500S3A1,P7500S2A1,P7500S1A1,P7500S3,P7505,P7510S3,P7510S6,P7510S2A1,P7510S6A1,P7510S5A1,P7510S3A1,P7510S1A1,P7510S5,P7510S1,P7510S2,P7510S7A1,P7510S7,clase,MES,DPTO,fex_c_2011
2853104,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,123.773.442.085.935
2853104,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,123.773.442.085.935
2853104,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,123.773.442.085.935
2853104,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,123.773.442.085.935
2853104,1,6,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,123.773.442.085.935
2853105,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,185.139.623.585.476
2853105,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,185.139.623.585.476
2853105,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,185.139.623.585.476
2853106,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,190.984.584.025.315
2853106,1,2,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,190.984.584.025.315
2853106,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,190.984.584.025.315
2853106,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,190.984.584.025.315
2853106,1,5,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,190.984.584.025.315
2853107,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,111.235.173.574.758
2853108,1,1,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,156.206.819.315.142
2853108,1,2,1,95,2,,,,,,,,1,1,2,,,,180000,,2,2,2,,2,2,12,20,156.206.819.315.142
2853108,1,3,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,156.206.819.315.142
2853108,1,4,1,95,2,,,,,,,,2,,,,,,,,,,,,,2,12,20,156.206.819.315.142
2853108,1,5,1,95,2,,,,,,,,1,1,2,,,,720000,,2,2,2,,2,2,12,20,156.206.819.315.142
