DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P6290,P6290S1,P6230,P6240,P6240S1,P6250,P6260,P6270,P6280,P6300,P6310,P6310S1,P6320,P6330,P6340,P6350,P6351,MES,FT,DPTO,AREA,fex_c_2011
2840107,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,12,1,15,15,96.861.937.968.498
2840107,1,2,1,50,1,,,2,1,,,,,,,,,,,,,,12,1,15,15,96.861.937.968.498
2840108,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,12,1,15,15,940.178.591.652.916
2840108,1,2,1,50,1,,,2,1,,,,,,,,,,,,,,12,1,15,15,940.178.591.652.916
2840108,1,3,1,50,1,,,3,1,,,,,,,,,,,,,,12,1,15,15,940.178.591.652.916
2840108,1,4,1,50,1,,,4,1,,,,,,,,,,,,,,12,1,15,15,940.178.591.652.916
2840108,1,5,1,50,1,1,,5,2,,2,2,2,1,,,,,,,,1,12,1,15,15,940.178.591.652.916
2840109,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,12,1,15,15,746.677.412.942.562
2840109,1,2,1,50,1,,,2,4,,2,2,2,2,2,,,,,,,,12,1,15,15,746.677.412.942.562
2840110,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,12,1,15,15,106.216.090.885.091
2840110,1,2,1,50,1,2,,2,4,,2,2,2,1,,,,,,,,1,12,1,15,15,106.216.090.885.091
2840110,1,4,1,50,1,,,4,1,,,,,,,,,,,,,,12,1,15,15,106.216.090.885.091
2840111,1,1,1,50,1,,,1,4,,1,,,,,,,,,,,,12,1,15,15,728.351.329.701.663
2840112,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,12,1,15,15,909.753.298.020.148
2840112,1,2,1,50,1,,,2,1,,,,,,,,,,,,,,12,1,15,15,909.753.298.020.148
2840112,1,3,1,50,1,,,3,3,,1,,,,,,,,,,,,12,1,15,15,909.753.298.020.148
2840112,1,5,1,50,1,1,,5,2,,2,2,2,1,,,,,,,,1,12,1,15,15,909.753.298.020.148
2840113,1,1,1,50,1,,,1,6,PENSIONADA,2,2,2,2,2,,,,,,,,12,1,15,15,106.441.292.331.246
2840113,1,2,1,50,1,,,2,2,,1,,,,,,,,,,,,12,1,15,15,106.441.292.331.246
2840113,1,3,1,50,1,,,3,1,,,,,,,,,,,,,,12,1,15,15,106.441.292.331.246
2840114,1,1,1,50,1,,,1,6,PENSIONADA,2,2,2,2,2,,,,,,,,12,1,15,15,102.776.075.683.066
2840115,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,12,1,15,15,746.677.412.942.562
2840115,1,2,1,50,1,,,2,4,,2,2,2,2,1,10,,,,,,,12,1,15,15,746.677.412.942.562
2840116,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,12,1,15,15,130.056.264.146.957
2840116,1,2,1,50,1,,,1,3,,2,2,2,2,2,,,,,,,,12,1,15,15,130.056.264.146.957
2840116,2,1,2,50,1,,,1,4,,1,,,,,,,,,,,,12,1,15,15,130.056.264.146.957
2840116,2,2,2,50,1,2,,2,4,,2,2,2,1,,,,,,,,1,12,1,15,15,130.056.264.146.957
2840116,2,3,2,50,1,2,,3,4,,2,2,2,1,,,,,,,,1,12,1,15,15,130.056.264.146.957
2840117,1,1,1,50,1,,,1,1,,,,,,,,,,,,,,12,1,15,15,564.084.543.134.852
2840117,1,2,1,50,1,,,2,4,,2,2,2,2,2,,,,,,,,12,1,15,15,564.084.543.134.852
2840117,1,3,1,50,1,,,3,3,,2,2,2,2,2,,,,,,,,12,1,15,15,564.084.543.134.852
