DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,AREA,fex_c_2011
2854322,1,5,1,1,1,1,1,1,3,1,,,120000000,1200000,,1,1,1,2,1,2,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,,2,1,1,1,3,1,1,1,1,1,4,2,1,1,1,12,17,1,17,15.184.696.307.202
2854323,1,3,2,1,1,1,1,1,3,4,,,,300000,,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,2,1,1,2,1,2,2,2,,3,1,2,1,2,1,1,1,1,1,3,2,1,1,1,12,17,1,17,173.944.075.872.773
2854324,1,7,2,1,1,1,1,1,3,1,,,150000000,700000,,1,1,1,1,2,1,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,2,2,2,,2,1,1,1,3,1,1,1,1,1,6,2,1,1,1,12,17,1,17,163.482.004.244.197
2854325,1,4,2,1,1,1,1,1,3,1,,,100000000,350000,,1,1,1,2,1,1,2,2,2,1,2,2,2,2,1,2,1,1,1,1,2,1,2,2,2,,3,1,2,1,4,1,1,1,1,1,3,2,1,1,1,12,17,1,17,152.448.897.352.829
2854326,1,1,1,1,1,1,1,2,4,3,,,,,280000,2,2,2,2,1,1,2,2,2,1,2,2,2,2,1,2,2,1,2,2,2,1,2,2,2,,2,1,2,1,4,1,2,1,1,1,3,2,1,1,1,12,17,1,17,173.887.108.993.715
2854327,1,8,2,1,1,1,1,1,3,1,,,250000000,500000,,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,3,2,2,,3,1,2,1,3,1,1,1,1,1,4,2,1,1,1,12,17,1,17,142.346.893.339.383
2854328,1,3,2,1,1,1,1,1,3,3,,,,,250000,2,2,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,,4,1,1,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,619.856.308.034.666
2854328,2,2,2,1,1,1,1,1,3,4,,,,150000,,2,2,1,1,2,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,2,2,,,,,,,,,,,1,1,1,12,15,1,15,619.856.308.034.666
2854329,1,3,2,1,1,1,1,1,3,3,,,,,300000,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,,3,1,2,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,664.288.129.930.296
2854330,1,6,4,1,1,1,1,1,3,3,,,,,320000,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,2,2,2,,5,1,1,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,570.075.176.418.506
2854331,1,1,1,1,1,1,1,1,3,1,,,50000000,60000,,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,,1,1,3,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,102.776.075.683.066
2854332,1,1,1,1,2,1,1,1,3,3,,,,,180000,1,2,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,3,2,2,,3,1,3,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,923.279.649.466.618
2854333,1,4,3,1,1,1,1,1,3,1,,,60000000,250000,,1,2,1,1,1,1,2,2,2,1,1,2,2,2,1,1,1,1,1,2,2,1,5,2,2,,5,1,1,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,100.432.458.192.857
2854334,1,3,2,1,1,1,1,1,3,3,,,,,250000,2,1,1,1,1,1,2,2,2,1,1,2,2,2,2,1,1,1,1,1,2,1,2,2,2,,4,1,1,1,4,1,1,1,1,1,2,3,2,1,1,12,15,1,15,746.677.412.942.562
2854335,1,4,3,1,1,1,1,1,3,1,,,98,250000,,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,1,2,1,5,2,2,,5,1,1,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,119.752.898.747.895
2854336,1,1,1,1,2,1,1,1,4,3,,,,,150000,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,5,1,2,1,3,1,2,1,1,1,2,3,1,1,1,12,15,1,15,104.619.797.392.617
2854336,2,1,1,1,2,1,1,1,4,3,,,,,70000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,1,2,,,,,,,,,,,1,1,1,12,15,1,15,104.619.797.392.617
2854336,3,1,1,1,2,1,1,1,4,3,,,,,70000,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,,2,2,,1,3,,,,,,,,,,,1,1,1,12,15,1,15,104.619.797.392.617
2854337,1,3,1,1,1,1,1,1,3,3,,,,,100000,2,2,1,1,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,2,1,1,2,2,,3,1,2,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,728.351.329.701.663
2854338,1,3,2,1,1,1,1,1,3,3,,,,,320000,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,2,2,2,,3,1,2,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,839.860.611.711.858
2854339,1,4,2,1,1,1,1,1,3,3,,,,,200000,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,1,2,2,,4,1,1,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,975.125.343.105.302
2854340,1,3,2,1,1,1,1,1,3,3,,,,,200000,2,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,3,1,1,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,101.785.093.337.504
2854341,1,2,1,1,1,1,1,1,4,3,,,,,200000,2,2,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,,3,1,1,1,4,1,2,1,1,1,2,3,1,1,1,12,15,1,15,714.466.647.858.564
2854342,1,1,1,1,2,1,1,1,4,3,,,,,60000,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1,4,2,2,,4,1,3,1,2,1,2,1,1,1,2,3,1,1,1,12,15,1,15,100.293.649.678.944
2854343,1,1,1,1,2,1,1,1,4,3,,,,,80000,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,3,1,3,1,2,1,2,1,1,1,2,3,1,1,1,12,15,1,15,714.466.647.858.564
2854344,1,3,1,1,1,1,1,1,3,3,,,,,250000,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,1,1,2,1,1,2,1,1,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,696.140.564.617.665
2854345,1,3,1,1,1,1,1,1,3,3,,,,,330000,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,1,1,1,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,102.776.075.683.066
2854346,1,3,1,1,1,1,1,1,3,1,,,50000000,300000,,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,1,1,1,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,108.155.580.274.978
2854347,1,5,1,1,1,1,1,1,3,1,,,150000000,600000,,2,1,1,1,1,2,2,2,2,1,2,2,1,1,2,1,1,1,1,2,2,1,1,2,2,,1,1,1,1,4,1,1,1,1,1,3,7,1,1,1,12,15,1,15,91.082.210.867.812
2854348,1,1,1,1,2,1,1,1,4,3,,,,,100000,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,,2,2,,1,1,3,1,2,1,2,1,1,1,3,7,1,1,1,12,15,1,15,91.082.210.867.812
2854349,1,1,1,1,2,1,1,1,4,3,,,,,150000,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,,1,1,3,1,6,1,2,1,1,1,3,7,1,1,1,12,15,1,15,82.740.307.092.336
2854351,1,1,1,1,2,1,1,1,4,3,,,,,150000,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,,1,1,3,1,6,1,2,1,1,1,3,3,1,1,1,12,15,1,15,82.740.307.092.336
2854352,1,1,1,1,2,1,1,1,4,3,,,,,100000,2,1,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,1,2,2,1,1,2,2,,1,1,3,1,6,1,2,1,1,1,3,7,1,1,1,12,15,1,15,982.524.373.846.905
2854353,1,3,2,1,1,1,1,1,4,2,,400000,42000000,350000,,2,1,1,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,3,2,2,,3,1,2,1,4,1,2,1,1,1,3,7,1,1,1,12,15,1,15,96.861.937.968.498
2854354,1,3,1,1,1,1,1,1,3,3,,,,,220000,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,1,2,2,,1,1,1,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,860.643.590.749.852
2854356,1,3,2,1,1,1,1,1,4,3,,,,,350000,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,1,2,2,2,,3,1,2,1,4,1,2,1,1,1,3,6,1,1,1,12,15,1,15,923.279.649.466.618
2854357,1,3,2,1,1,1,1,1,3,3,,,,,400000,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,2,2,1,2,2,2,,4,1,1,1,4,1,1,1,1,1,3,3,1,1,1,12,15,1,15,10.084.692.101.664
2854358,1,6,1,1,1,1,1,1,3,1,,,330000000,1000000,,1,1,1,1,1,1,1,2,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,2,2,,2,1,1,1,4,1,1,1,1,1,3,6,1,1,1,12,15,1,15,111.778.910.524.035
2854359,1,3,1,1,1,1,1,1,4,1,,,100000000,600000,,1,1,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,2,2,2,,2,1,1,1,4,1,2,1,1,1,3,6,1,1,1,12,15,1,15,111.778.910.524.035
2854360,1,4,3,1,1,1,1,1,3,1,,,35000000,300000,,1,1,1,1,2,2,2,2,2,1,1,2,2,2,2,1,1,1,1,2,2,1,5,2,2,,5,1,1,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,105.450.309.985.684
2854361,1,3,2,1,2,1,1,1,3,1,,,55000000,350000,,2,2,1,1,2,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,2,2,,2,1,1,1,4,1,1,1,1,1,2,3,1,1,1,12,15,1,15,124.760.415.817.262
2854361,2,2,1,1,2,1,1,1,4,3,,,,,150000,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,1,2,2,,3,2,,,,,,,,,,,1,1,1,12,15,1,15,124.760.415.817.262
2854362,1,3,2,2,1,1,5,1,1,1,,,98,150000,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,4,1,1,5,2,1,2,2,1,2,1,3,,1,1,12,27,1,27,484.853.887.014.384
2854363,1,6,5,3,1,1,5,1,4,1,,,40000000,300000,,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,2,2,1,5,2,2,,8,1,1,1,4,1,2,2,1,2,1,3,,1,1,12,27,1,27,271.930.005.146.692
2854364,1,4,2,3,1,1,5,1,4,4,,,,100000,,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1,2,2,2,,6,1,1,1,2,1,2,2,1,2,1,3,,1,1,12,27,1,27,524.146.026.096.318
2854365,1,4,3,3,1,1,5,1,4,1,,,98,150000,,2,2,1,2,1,2,2,2,1,1,1,2,2,2,2,1,1,1,1,2,1,1,2,2,2,,5,1,1,1,2,1,2,2,1,2,1,3,,1,1,12,27,1,27,271.930.005.146.692
2854366,1,5,3,3,1,1,5,1,1,1,,,98,150000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,,2,2,,8,1,1,1,2,1,2,2,1,2,1,3,,1,1,12,27,1,27,106.750.880.397.768
2854367,1,3,2,3,1,1,5,1,4,4,,,,300000,,2,2,1,2,2,2,2,2,1,1,2,1,2,2,2,2,1,1,1,1,2,1,2,2,2,,5,1,1,1,2,1,2,2,1,2,1,3,,1,1,12,27,1,27,132.246.366.594.055
2854368,1,4,3,3,1,2,5,1,4,1,,,98,100000,,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,1,2,2,1,1,2,1,1,3,1,1,5,2,1,2,2,1,2,1,3,,1,1,12,27,1,27,271.930.005.146.692
2854369,1,4,3,3,1,2,5,1,4,1,,,98,300000,,1,2,1,1,1,2,2,2,1,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,5,1,1,1,2,1,2,2,1,2,1,3,,1,1,12,27,1,27,271.930.005.146.692
2854370,1,7,6,2,1,1,5,1,4,1,,,60000000,500000,,1,2,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,4,2,1,1,7,1,1,1,2,1,2,2,1,2,1,3,,1,1,12,27,1,27,271.930.005.146.692
2854371,1,6,4,2,1,1,5,1,4,1,,,100000000,500000,,1,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,1,1,3,2,2,,5,1,1,1,4,1,2,2,1,2,2,3,,1,1,12,27,1,27,271.930.005.146.692
2854372,1,2,1,1,1,1,5,1,4,4,,,,250000,,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,1,2,2,2,,2,2,,4,1,1,1,2,1,2,1,1,2,1,3,,1,1,12,27,1,27,273.099.393.545.826
2854373,1,4,3,1,1,1,5,1,1,4,,,,400000,,2,2,1,2,1,1,2,2,1,1,1,1,2,2,1,2,1,1,1,2,1,1,2,2,2,,3,1,1,1,2,1,2,1,1,1,2,3,2,1,1,12,27,1,27,271.930.005.146.692
2854374,1,4,3,1,1,1,5,1,1,1,,,35000000,400000,,2,2,1,1,1,1,2,2,2,2,1,2,2,2,1,2,1,1,1,2,2,1,5,2,2,,5,1,1,1,2,1,2,1,1,2,2,3,,1,1,12,27,1,27,271.930.005.146.692
2854375,1,7,3,1,1,1,5,1,4,1,,,98,450000,,2,2,1,1,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,2,2,1,2,2,2,,4,1,1,1,4,1,2,1,1,2,2,3,,1,1,12,27,1,27,271.930.005.146.692
2854376,1,4,3,1,1,1,1,1,4,1,,,98,400000,,1,2,1,1,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,2,2,1,3,2,2,,5,1,1,1,4,1,2,1,1,1,2,3,2,1,1,12,27,1,27,271.930.005.146.692
2854377,1,5,1,1,1,1,1,1,3,4,,,,250000,,1,2,1,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,1,2,2,1,1,2,2,,1,1,1,1,4,1,1,1,1,1,3,3,1,1,1,12,63,1,63,742.863.656.607.023
2854378,1,4,3,1,1,1,1,1,3,3,,,,,300000,2,2,1,1,1,2,2,2,1,1,2,1,2,2,2,1,1,1,1,1,2,1,2,2,2,,3,1,1,1,4,1,1,1,1,1,3,3,1,1,1,12,63,1,63,104.676.839.361.721
2854379,1,3,2,1,1,1,1,1,3,1,,,10000000,120000,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,3,1,1,1,2,1,1,1,1,1,2,3,1,1,1,12,63,1,63,109.808.356.704.787
2854381,1,4,3,1,1,1,1,1,3,1,,,40000000,250000,,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,1,1,1,2,1,1,1,2,2,,3,1,1,1,4,1,1,1,1,1,3,3,1,1,1,12,63,1,63,827.657.488.090.158
2854382,1,4,2,1,1,1,1,1,3,4,,,,200000,,2,2,1,1,1,2,2,2,2,1,2,2,2,2,1,1,1,1,1,2,2,1,1,2,2,,3,1,2,1,4,1,1,1,1,1,3,3,1,1,1,12,63,1,63,101.119.596.568.191
