Directorio;Secuencia_p;Orden;Hogar;Regis;Area;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011
2861863;1;1;1;70;68;1;30;4; ;2;3;4; ;9;3; ; ; ; ; ; ; ; ;1; ;ESTA TRAMITANDO LA PENSION;1;1600000;2;13;13;80;1;1;8050;01;68;459,175191738642
2861868;1;2;1;70;68;4;48;1; ;2;3;4; ;4;1; ; ; ; ; ;1; ; ; ; ; ;1;1500000;2;13;17;92;1;1;9214;01;68;478,881858542643
2861882;1;6;1;70;68;8;72;1; ;2;8;1; ;9;9;EL SISBEN; ; ; ; ; ; ; ; ;1; ;2; ;2;59;59;01;1;1;0123;01;68;503,72124140428
2861886;1;1;1;70;68;10;48;1; ;2;10;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;97;52;1;1;5231;01;68;468,243563043706
2861886;1;4;1;70;68;3;48;1; ;1; ; ;.; ; ;.;.; ; ; ; ; ; ; ; ;.; ; ; ;38; ; ;1;1; ;01;68;468,243563043706
2861888;1;1;1;70;52;52;48;1; ;2;8;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;60000;2;45;45;52;1;2;5211;01;52;165,760619176241
2861896;1;1;1;70;52;52;24;1; ;2;3;1; ;3;9;CARTA DE VINCULADO; ; ; ; ; ; ; ; ;1; ;1;100000;2;55;94;52;1;2;5219;01;52;148,205418436897
2861896;1;2;1;70;52;2;40;1; ;2;1;1; ;3;9;CON LA CARTA DE VINCULADO; ; ; ; ; ; ; ; ;1; ;1;80000;2;45;45;52;1;1;5239;01;52;148,205418436897
2861910;1;1;1;70;52;2;48;1; ;2;26;1; ;3;5; ; ; ; ; ; ; ; ; ;1; ;1;500000;2;05;33;55;1;1;5530;01;52;171,413904405331
2861936;1;2;1;70;76;208;48;1; ;2;208;1; ;4;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;39;32;74;1;2;7411;01;76;1142,29536727258
2861939;1;2;1;70;76;2;20;4; ;2;8;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;92;1;1;9249;01;76;960,64226735528
2861989;1;1;1;70;23;4;48;1; ;2;4;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;100000;2;55;77;15;1;1;1589;01;23;144,940607129373
2861990;1;7;1;70;23;4;48;1; ;2;24;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;01;23;160,862460417138
2861992;1;1;1;70;23;51;48;1; ;2;104;1; ;9;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;21;21;66;1;2;6601;01;23;113,789962136199
