Directorio;Secuencia_p;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090s1;P5100;P5110;P5130;P5140;P5210s1;P5210s10;P5210s11;P5210s14;P5210s15;P5210s16;P5210s17;P5210s18;P5210s19;P5210s2;P5210s20;P5210s21;P5210s22;P5210s24;P5210s3;P5210s4;P5210s5;P5210s6;P5210s7;P5210s8;P5210s9;P5220;P5220s1;P6006;P6007;P6007s1;P6008;Hogar;P4000;P4010;P4020;P4030s1;P4030s2;P4030s3;P4030s4;P4030s5;P4030s1a1;P4030s4a1;P4040;Regis;Clase;Mes;Dpto;Fex_c_2011;Area
2861550;1;1;1;1;1;1;1;1;3;3; ; ; ; ;150000;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;2;3;2;01;1;01;73;254,772050548795;73
2861551;1;1;1;1;1;1;1;1;3;4; ; ; ;250000; ;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;2;1;1;1;1;1;2;3;2;01;1;01;73;353,450230299312;73
2861552;1;3;2;1;1;1;1;1;3;3; ; ; ; ;200000;2;2;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;3;1;2;1;4;1;1;1;1;1;1;3;1;01;1;01;73;227,76152716754;73
2861553;1;3;1;1;1;1;1;1;3;4; ; ; ;200000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;3;1;2;1;2;1;1;1;1;1;1;3;2;01;1;01;73;227,76152716754;73
2861554;1;2;2;1;1;1;1;1;3;1; ; ;35000000;200000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;2;1;2;1;1;1;1;1;1;3;2;01;1;01;73;220,823023840237;73
2861555;1;5;2;1;1;1;1;1;3;1; ; ;3500000;250000; ;1;2;1;2;1;1;1;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;2;3;2;01;1;01;73;160,801574711824;73
2861556;1;4;2;1;1;1;1;1;4;3; ; ; ; ;220000;1;2;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;2;2; ;3;1;2;1;4;1;2;1;1;1;2;3;1;01;1;01;73;235,311421530117;73
2861557;1;2;1;1;1;1;1;1;3;3; ; ; ; ;150000;2;2;1;1;1;2;2;2;1;1;1;2;2;2;2;2;2;1;1;2;2;1;2;2;2; ;4;1;2;1;2;1;1;1;1;1;1;3;2;01;1;01;73;330,321787546614;73
2861558;1;3;1;1;1;1;1;1;3;3; ; ; ; ;150000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;2;1;2;1;2;1;1;1;1;1;1;3;1;01;1;01;73;205,800240594613;73
2861559;1;3;1;1;1;1;1;1;3;3; ; ; ; ;150000;2;2;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;1;1;2;2; ;1;1;2;1;2;1;1;1;1;1;1;3;2;01;1;01;73;183,838954021687;73
2861560;1;4;2;1;1;1;1;1;3;3; ; ; ; ;190000;2;2;1;2;2;2;2;2;1;1;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;4;1;2;1;2;1;1;1;1;1;1;3;2;01;1;01;73;232,969600513144;73
2861561;1;4;2;1;1;1;1;1;3;1; ; ;25000000;180000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;5;1;2;1;2;1;1;1;1;1;1;3;1;01;1;01;73;181,826833756138;73
2861562;1;2;1;1;2;1;1;1;3;3; ; ; ; ;130000;1;2;1;2;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;2;2;1;2;2;2; ;3;1;4;1;4;1;1;1;1;1;1;3;2;01;1;01;73;531,643379446054;73
2861565;1;5;2;1;1;1;1;1;3;3; ; ; ; ;270000;2;2;1;1;2;2;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;3;2;2; ;3;1;2;1;4;1;1;1;1;1;1;3;2;01;1;01;73;479,38480024392;73
2861566;1;2;1;1;1;1;1;1;4;6;LES REGALARON EL LOTE Y CONSTRUYERON PERO NO ESTA ESCRITURADO; ; ;150000; ;1;1;1;1;1;2;2;2;2;1;1;2;2;2;2;1;1;1;1;1;1;1;4;2;2; ;5;1;2;1;2;1;2;1;1;1;2;3;2;01;1;01;73;300,540944004135;73
2861567;1;2;1;1;2;1;1;1;4;1; ; ;10000000;120000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2; ;2;2; ;1;1;4;1;2;1;2;1;1;1;2;3;1;01;1;01;73;293,428781170898;73
2861568;1;3;2;1;2;1;1;1;3;3; ; ; ; ;150000;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;1;2; ;2;2; ;6;1;4;1;2;1;1;1;1;1;2;3;1;01;1;01;73;240,678331412996;73
2861569;1;3;2;1;1;1;1;1;3;3; ; ; ; ;270000;2;2;1;1;1;2;2;2;2;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;1;1;2;1;2;1;4;1;1;1;1;1;2;3;1;01;1;01;73;411,600481189227;73
2861570;1;3;2;1;1;1;1;1;3;1; ; ;50000000;200000; ;1;1;1;2;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;1;1;1;4;2;1;1;4;1;2;1;2;1;1;1;1;1;2;3;2;01;1;01;73;591,16932786698;73
2861571;1;4;3;1;1;1;1;1;3;1; ; ;35000000;200000; ;2;2;1;1;1;1;2;2;2;1;2;2;1;2;2;1;1;1;1;1;2;1;4;2;2; ;5;1;2;1;4;1;1;1;1;1;2;3;1;01;1;01;73;219,383409761707;73
2861572;1;4;2;1;1;1;1;1;3;2; ;265000;20000000;400000; ;2;2;1;2;1;1;2;2;2;2;2;2;2;2;1;2;1;1;1;2;2;1;3;2;2; ;3;1;1;1;2;1;1;1;1;1;2;3;2;01;1;01;73;239,69240012196;73
2861574;1;4;1;1;1;1;1;1;3;1; ; ;30000000;300000; ;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;1;1;1;1;2;1;1;1;1;1;2;3;1;01;1;01;73;206,240767415738;73
2861575;1;5;2;1;1;1;1;1;3;1; ; ;65000000;300000; ;1;1;1;1;1;2;2;2;2;1;2;2;1;2;2;1;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;2;3;2;01;1;01;73;555,001538804975;73
2861576;1;4;2;1;1;1;1;1;3;3; ; ; ; ;220000;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;2;3;2;01;1;01;73;571,218448402692;73
2861577;1;4;2;1;1;1;1;1;3;3; ; ; ; ;200000;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;3;2;2; ;3;1;1;1;4;1;1;1;1;1;1;3;2;01;1;01;73;277,500769402488;73
2861578;1;3;1;1;1;1;1;1;3;2; ;412000;28000000;400000; ;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;2;1;2;1;1;1;1;1;2;3;2;01;1;01;73;213,350134957191;73
2861579;1;1;1;1;2;1;1;1;3;3; ; ; ; ;150000;1;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;3;1;4;1;2;1;1;1;1;1;2;3;1;01;1;01;73;308,011037595397;73
2861580;1;3;2;1;1;1;1;1;3;4; ; ; ;200000; ;2;2;1;1;2;2;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;3;2;2; ;3;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;118,955712771201;63
2861581;1;3;2;1;1;1;1;1;3;3; ; ; ; ;170000;2;2;1;1;2;1;2;2;2;1;1;2;2;2;1;2;2;1;1;2;2;1;2;2;1;1;2;1;1;1;2;1;1;1;1;1;2;3;1;01;1;01;63;103,463441676338;63
2861582;1;3;2;1;1;1;1;1;4;1; ; ;25000000;250000; ;1;2;1;1;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;2;2;2; ;4;1;1;1;4;1;2;1;1;1;2;3;1;01;1;01;63;113,825504719401;63
2861583;1;3;1;1;1;1;1;1;3;1; ; ;35000000;200000; ;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;2;1;2;1;1;1;1;1;2;3;1;01;1;01;63;114,492517776248;63
2861584;1;4;3;1;1;1;1;1;3;1; ; ;26000000;150000; ;2;2;1;1;1;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;3;2;1;3;3;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;110,194274638049;63
2861585;1;4;2;1;1;1;1;1;3;4; ; ; ;120000; ;2;2;1;1;1;2;2;2;2;2;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;157,49076448462;63
2861586;1;5;2;1;1;1;1;1;3;1; ; ;45000000;200000; ;2;2;1;1;2;2;2;2;2;1;2;1;2;2;2;2;1;1;1;1;2;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;139,477019378031;63
2861587;1;3;2;1;1;1;1;1;3;3; ; ; ; ;200000;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;3;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;118,955712771201;63
2861588;1;4;3;1;1;1;1;1;3;3; ; ; ; ;200000;2;2;1;1;1;1;2;2;2;1;2;2;1;2;1;2;1;1;1;2;2;1;4;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;120,912300605211;63
2861589;1;4;1;1;1;1;1;1;3;4; ; ; ;150000; ;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;116,124415488065;63
2861590;1;4;3;1;1;1;1;1;3;3; ; ; ; ;200000;2;2;1;1;1;2;2;2;2;1;2;1;2;2;2;1;1;1;1;1;2;1;4;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;132,237805197444;63
2861591;1;3;1;1;1;1;1;1;3;1; ; ;20000000;200000; ;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;2;3;1;01;1;01;63;106,104754849627;63
2861592;1;1;1;1;1;1;1;2;4;3; ; ; ; ;100000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;2;1;1;1;2;3;1;01;1;01;63;116,124415488065;63
2861593;1;3;2;1;1;1;1;3;3;3; ; ; ; ;220000;2;2;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;1;2;1;2;2;2; ;3;1;2;1;4;1;1;1;1;1;2;3;1;01;1;01;63;137,523660920797;63
2861594;1;4;1;1;1;1;1;1;3;1; ; ;40000000;250000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;1;2;1;1;2;2; ;2;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;124,512178414686;63
2861595;1;4;2;1;1;1;1;3;3;1; ; ;15000000;200000; ;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;3;2;2; ;3;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;93,2832564533636;63
2861596;1;6;3;1;1;1;1;1;3;1; ; ;15000000;150000; ;1;2;1;1;2;1;2;2;2;2;2;2;2;2;1;1;1;2;1;2;2;1;3;2;2; ;5;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;139,616152662594;63
2861597;1;2;1;1;1;1;1;3;3;1; ; ;6000000;100000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;114,492517776248;63
2861598;1;3;2;1;1;1;1;1;3;1; ; ;30000000;220000; ;1;2;1;1;1;1;2;2;2;1;2;1;2;2;1;1;1;1;1;1;2;1;3;2;1;1;3;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;100,822128503049;63
2861599;1;3;1;1;1;1;1;1;3;3; ; ; ; ;200000;2;2;1;2;2;2;2;2;2;2;1;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;106,104754849627;63
2861600;1;3;1;1;1;1;1;1;3;1; ; ;20000000;160000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;1;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;135,701779099132;63
2861601;1;4;3;1;1;1;1;3;3;1; ; ;40000000;250000; ;1;2;1;2;1;2;2;2;2;1;1;1;2;2;2;1;1;1;1;2;2;1;4;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;102,344352455615;63
2861602;1;4;3;1;1;1;1;3;3;3; ; ; ; ;200000;2;2;1;1;1;2;2;2;2;2;1;1;2;2;2;2;1;1;1;2;2;1;3;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;134,603631537618;63
2861603;1;3;1;1;1;1;1;1;3;3; ; ; ; ;150000;2;2;1;1;2;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;3;1;2;1;2;1;1;1;1;1;1;3;1;01;1;01;41;139,310946169394;41
2861604;1;4;1;1;1;1;1;1;3;1; ; ;30000000;250000; ;1;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;1;1;2;1;1;2;2; ;1;1;1;1;2;1;1;1;1;1;1;3;1;01;1;01;41;119,614743247181;41
2861605;1;4;2;1;1;1;1;1;3;3; ; ; ; ;300000;2;2;1;1;1;1;2;2;1;1;1;1;2;2;1;1;1;1;1;1;2;1;2;2;2; ;5;1;2;1;4;1;1;1;1;1;1;3;1;01;1;01;41;136,34997228155;41
2861606;1;3;2;2;1;1;1;5;3;5; ; ; ;100000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2; ;3;1;1;5;1;1;1;2;1;1;1;3;1;01;1;01;23;144,477955338655;23
2861608;1;3;1;1;1;1;1;1;3;4; ; ; ;200000; ;1;2;2;1;1;2;2;2;2;2;1;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;120,074801991924;63
2861609;1;3;2;1;1;1;1;1;3;1; ; ;20000000;200000; ;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;123,5536137785;63
2861610;1;4;3;1;1;1;1;1;3;3; ; ; ; ;170000;2;2;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;1;2;1;3;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;66,4666786617103;63
2861611;1;4;2;1;1;1;1;1;3;3; ; ; ; ;120000;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;3;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;139,477019378031;63
2861612;1;4;1;1;1;1;1;1;3;3; ; ; ; ;240000;2;2;1;1;2;1;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;2;3;1;01;1;01;63;124,672702999222;63
2861613;1;4;2;1;1;1;1;1;3;1; ; ;25000000;150000; ;2;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;1;2;2;1;1;3;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;119,111360442754;63
2861614;1;3;2;1;1;1;1;1;3;3; ; ; ; ;100000;2;2;1;1;2;1;2;2;2;1;1;2;2;2;1;1;1;1;1;2;2;1;3;2;2; ;6;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;161,167816390103;63
2861615;1;5;4;1;1;1;1;1;3;1; ; ;21000000;200000; ;2;2;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;1;1;2;2;1;3;2;2; ;5;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;123,414030853172;63
2861616;1;3;1;1;1;1;1;1;3;1; ; ;50000000;200000; ;1;2;1;1;2;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;1;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;106,104754849627;63
2861617;1;3;1;1;1;1;1;1;3;1; ; ;10000000;100000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;2;1;1;1;2;1;1;1;1;1;1;3;1;01;1;01;63;124,512178414686;63
2861618;1;3;2;1;1;1;1;1;4;1; ; ;10000000;100000; ;1;2;1;1;1;2;2;2;2;1;2;1;2;2;2;1;1;1;1;2;2;1;1;2;2; ;4;1;1;1;4;1;2;1;1;1;1;3;1;01;1;01;63;120,63358439532;63
2861619;1;3;2;1;1;1;1;1;3;3; ; ; ; ;70000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;1;1;2;2; ;4;1;1;1;2;1;1;1;1;1;1;3;1;01;1;01;63;132,393452868997;63
2861620;1;4;1;1;1;1;1;1;3;1; ; ;50000000;300000; ;2;2;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;1;2;1;1;2;2; ;1;1;1;1;4;1;1;1;1;1;3;3;1;01;1;01;63;106,104754849627;63
2861621;1;3;2;1;1;1;1;1;3;1; ; ;21000000;160000; ;1;2;1;1;1;1;2;2;2;1;1;2;2;2;1;2;1;2;1;2;2;1;1;2;2; ;6;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;103,944977365526;63
2861622;1;4;3;1;1;1;1;1;3;3; ; ; ; ;250000;2;2;1;1;1;2;2;2;2;2;1;2;2;2;2;1;1;1;1;2;2;1;3;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;63;128,287418693585;63
2861623;1;2;1;3;1;1;1;4;4;5; ; ; ;50000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;3;1;1;5;2;1;2;2;1;1;1;3;1;01;1;01;41;131,385418391183;41
2861624;1;2;2;3;1;1;1;2;4;5; ; ; ;100000; ;2;2;1;1;2;2;2;2;1;2;1;2;2;2;2;1;1;1;1;2;2;1;2;2;2; ;4;1;1;5;1;1;2;2;1;1;1;3;2;01;1;01;41;146,90581501796;41
2861625;1;2;1;3;1;1;1;5;4;5; ; ; ;100000; ;2;2;1;2;1;2;2;2;1;2;1;1;2;2;2;2;1;1;1;2;2;1;1;2;1;1;2;1;1;1;2;1;1;2;1;1;1;3;1;01;1;01;41;123,8146033075;41
2861626;1;2;1;1;1;1;1;1;1;3; ; ; ; ;300000;2;1;1;2;2;1;2;2;2;2;2;2;1;2;1;2;1;2;1;2;2;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;5;2;1;01;1;01;17;157,645845077471;17
2861627;1;6;3;1;1;1;1;1;3;1; ; ;180000000;800000; ;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;3;2;2; ;3;1;1;1;6;1;1;1;1;1;5;2;1;01;1;01;17;111,093871098269;17
2861628;1;6;2;1;1;1;1;1;3;2; ;1000000;200000000;600000; ;1;1;1;1;1;1;1;2;2;1;2;2;1;2;1;1;1;1;1;1;2;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;6;2;1;01;1;01;17;147,929790664668;17
2861629;1;7;4;1;1;1;1;1;3;4; ; ; ;1200000; ;1;1;1;1;1;1;2;2;2;1;2;2;1;2;1;1;1;1;1;1;1;1;4;2;2; ;5;1;1;1;4;1;1;1;1;1;6;2;1;01;1;01;17;92,4312953976303;17
2861630;1;6;3;1;1;1;1;1;3;1; ; ;200000000;1500000; ;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;1;1;1;1;1;4;2;2; ;4;1;1;1;6;1;1;1;1;1;6;2;1;01;1;01;17;167,232869068495;17
2861631;1;2;1;1;1;1;1;1;3;3; ; ; ; ;380000;2;1;1;1;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;1;1;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;5;2;1;01;1;01;17;169,495180729906;17
2861634;1;2;1;1;1;1;1;1;3;3; ; ; ; ;380000;2;1;2;2;2;1;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;1;1;1;1;5;2;1;01;1;01;17;169,495180729906;17
2861635;1;6;2;1;2;1;1;1;3;3; ; ; ; ;790000;2;1;1;1;2;1;2;2;2;2;2;2;2;2;1;1;1;1;1;2;1;1;3;2;2; ;3;1;2;1;4;1;1;1;1;1;5;2;1;01;1;01;17;123,002062335283;17
2861636;1;8;1;1;1;1;1;1;3;1; ; ;240000000;1200000; ;1;1;1;1;1;1;1;2;2;1;1;2;1;2;1;1;1;1;1;1;1;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;6;2;1;01;1;01;17;132,659261163507;17
2861637;1;7;4;1;1;1;1;1;3;3; ; ; ; ;980000;1;1;1;1;1;1;2;2;2;1;1;2;1;2;1;1;1;1;1;2;1;1;4;2;2; ;5;1;1;1;4;1;1;1;1;1;6;2;1;01;1;01;17;127,835735322976;17
2861638;1;6;2;1;1;1;1;1;3;3; ; ; ; ;930000;1;1;1;1;1;1;1;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;3;2;2; ;3;1;1;1;4;1;1;1;1;1;6;2;1;01;1;01;17;164,330054703895;17
2861639;1;5;3;1;1;1;1;1;3;3; ; ; ; ;900000;1;1;1;1;2;1;1;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;4;2;2; ;4;1;1;1;4;1;1;1;1;1;6;2;1;01;1;01;17;180,730318743123;17
2861640;1;6;1;1;1;1;1;1;4;3; ; ; ; ;260000;2;1;1;2;2;1;2;2;2;1;2;2;2;2;1;1;1;1;1;2;2;1;1;2;2; ;1;1;2;1;4;1;2;1;1;1;5;2;1;01;1;01;17;166,132842465758;17
2861641;1;2;2;1;1;1;1;1;3;3; ; ; ; ;250000;2;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;5;1;2;1;2;1;1;1;1;1;2;3;2;01;1;01;73;381,097221593314;73
2861642;1;2;1;1;1;1;1;1;3;1; ; ;45000000;250000; ;1;2;1;2;1;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;1;1;1;1;2;1;1;1;1;1;2;3;2;01;1;01;73;206,240767415738;73
2861643;1;1;1;1;2;1;1;1;3;3; ; ; ; ;150000;2;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;4;1;2;1;1;1;1;1;2;3;2;01;1;01;73;292,513418266086;73
2861644;1;3;1;1;1;1;1;6; ;1; ; ;98;200000; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;1;2;2; ;1;1;1;1;4;1;1;1;1;1;2;3;2;01;1;01;73;293,428781170898;73
2861645;1;4;1;1;1;1;1;3;3;1; ; ;35000000;250000; ;1;2;1;1;1;2;2;2;2;1;2;2;1;2;2;1;1;1;1;2;2;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;2;3;2;01;1;01;73;225,587775072932;73
2861646;1;3;1;1;1;1;1;1;3;1; ; ;30000000;200000; ;2;2;1;1;1;2;2;1;2;1;2;1;2;2;2;1;1;1;1;2;1;1;2;2;2; ;2;1;1;1;4;1;1;1;1;1;2;3;2;01;1;01;73;225,587775072932;73
2861647;1;4;3;1;1;1;1;1;3;4; ; ; ;250000; ;1;2;1;2;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;3;2;2; ;5;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;73;195,080302171806;73
2861649;1;4;3;1;1;1;1;1;3;2; ;480000;75000000;350000; ;1;2;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;2;2;1;3;2;2; ;5;1;1;1;4;1;1;1;1;1;2;3;2;01;1;01;73;262,480781448648;73
2861650;1;5;3;1;1;1;1;1;3;2; ;600000;70000000;300000; ;1;2;1;2;2;1;2;2;1;1;1;1;2;2;1;1;1;1;1;2;2;1;3;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;73;265,07439574058;73
2861651;1;4;3;1;1;1;1;1;3;3; ; ; ; ;300000;1;2;1;2;1;1;2;2;2;2;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;4;1;1;1;4;1;1;1;1;1;2;3;1;01;1;01;73;182,322334463626;73
