DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,AREA,P7430,P7440,P7450,P7450S1,P7460,P7470,P7472,P7472S1,P7454,P7456,P7458S1,P7458,P7452,INI,DPTO,fex_c_2011
762232,1,2,1,80,5,1,4,3,,2,,2,,,,,4,2,1,5,63.758.895.927.029
762232,1,3,1,80,5,1,1,8,CAMBIO  DE  DOMICILIO,2,,2,,,,EMBARAZO,12,2,1,5,63.758.895.927.029
762233,1,1,1,80,5,1,2,3,,1,2,2,,,,,4,2,1,5,852.908.828.985.119
762233,1,2,1,80,5,1,3,8,EL ESPACIO  PUBLICO NO LA DEJO TRABAJAR,2,,2,,,,,9,2,1,5,852.908.828.985.119
762233,1,5,1,80,5,1,1,1,,2,,2,,,,,2,2,1,5,852.908.828.985.119
762234,1,4,1,80,5,2,,,,2,,2,,2,,.,,,1,5,787.820.348.190.918
762234,1,5,1,80,5,2,,,,2,,2,,2,,.,,,1,5,787.820.348.190.918
762235,1,2,1,80,5,1,4,2,,2,,2,,,,,9,2,1,5,648.329.201.373.338
762238,1,2,1,80,5,1,1,2,,2,,2,,,,,9,2,1,5,816.430.176.987.189
762239,1,2,1,80,5,2,,,,2,,2,,2,,.,,,1,5,816.430.176.987.189
762241,1,3,1,80,5,2,,,,2,,2,,2,,.,,,1,5,892.043.181.096.028
762243,1,2,1,80,5,1,1,1,,2,,2,,,,,2,2,1,5,811.089.691.069.039
762243,1,3,1,80,5,2,,,,2,,2,,2,,.,,,1,5,811.089.691.069.039
762244,1,1,1,80,5,1,4,3,,3,,2,,,,,4,2,1,5,660.952.763.264.849
762244,1,2,1,80,5,1,4,3,,2,,2,,,,,4,2,1,5,660.952.763.264.849
762245,1,3,1,80,5,2,,,,2,,2,,2,,.,,,1,5,714.265.469.806.531
762245,1,4,1,80,5,2,,,,2,,2,,2,,.,,,1,5,714.265.469.806.531
762246,1,2,1,80,5,2,,,,2,,2,,2,,.,,,1,5,777.661.887.028.856
762246,1,3,1,80,5,2,,,,2,,2,,2,,.,,,1,5,777.661.887.028.856
762247,1,2,1,80,5,2,,,,2,,2,,1,4,,9,,1,5,922.643.519.528.563
762247,1,3,1,80,5,2,,,,2,,2,,2,,.,,,1,5,922.643.519.528.563
762247,1,4,1,80,5,1,1,1,,2,,2,,,,,1,2,1,5,922.643.519.528.563
762250,1,2,1,80,5,2,,,,2,,2,,2,,.,,,1,5,626.877.004.678.042
762250,1,3,1,80,5,2,,,,2,,2,,2,,.,,,1,5,626.877.004.678.042
762253,1,2,1,80,5,1,3,3,,2,,2,,,,,4,2,1,5,915.747.927.838.281
762253,1,4,1,80,5,1,1,1,,2,,2,,,,,2,2,1,5,915.747.927.838.281
762254,1,1,1,80,5,1,4,0,,2,,2,,,,,8,2,1,5,74.292.995.828.108
762254,1,2,1,80,5,1,4,3,,2,,2,,,,,4,2,1,5,74.292.995.828.108
762254,1,5,1,80,5,1,1,0,,2,,2,,,,,2,2,1,5,74.292.995.828.108
762255,1,1,1,80,5,1,1,3,,2,,2,,,,,4,2,1,5,631.807.347.485.277
762255,2,2,2,80,5,1,4,2,,2,,2,,,,,9,2,1,5,631.807.347.485.277
762257,1,2,1,80,5,1,2,2,,2,,2,,,,,9,2,1,5,872.236.726.350.324
762257,1,4,1,80,5,2,,,,2,,2,,2,,.,,,1,5,872.236.726.350.324
762259,1,1,1,80,5,1,3,3,,2,,2,,,,,8,2,1,5,721.639.275.277.121
762260,1,2,1,80,5,1,2,7,,2,,2,,,,,8,2,1,5,615.658.205.194.497
762261,1,3,1,80,5,1,4,3,,2,,2,,,,,4,2,1,5,753.807.251.503.641
762263,1,2,1,80,5,2,,,,2,,2,,2,,.,,,1,5,742.372.278.650.482
762264,1,1,1,80,5,1,4,7,,3,,2,,,,,10,2,1,5,556.222.630.887.238
762265,1,2,1,80,5,1,4,7,,2,,2,,,,,9,2,1,5,789.412.541.876.494
762270,1,5,1,80,5,2,,,,2,,2,,2,,.,,,1,5,852.908.828.985.119
762271,1,3,1,80,5,2,,,,2,,2,,2,,.,,,1,5,803.249.953.559.573
762272,1,2,1,80,5,1,3,2,,2,,2,,,,,11,2,1,5,772.918.975.499.233
762273,1,3,1,80,5,1,2,2,,2,,2,,,,,9,2,1,5,694.962.691.846.207
762273,1,7,1,80,5,2,,,,2,,2,,2,,.,,,1,5,694.962.691.846.207
762274,1,1,1,80,5,1,2,4,,3,,2,,,,,8,2,1,5,668.135.656.119.041
762274,1,2,1,80,5,1,4,3,,2,,2,,,,,9,2,1,5,668.135.656.119.041
762274,1,3,1,80,5,1,2,7,,1,1,2,,,,,2,2,1,5,668.135.656.119.041
762276,1,2,1,80,5,1,1,7,,2,,2,,,,,9,2,1,5,74.696.484.681.594
762278,1,2,1,80,5,1,4,1,,2,,2,,,,,9,2,1,5,564.810.286.149.396
762279,1,1,1,80,5,1,3,7,,2,,2,,,,,4,2,1,5,676.723.311.381.199
762280,1,3,1,80,5,1,2,1,,2,,2,,,,,2,2,1,5,650.581.751.420.296
762280,1,4,1,80,5,1,1,7,,2,,2,,,,,2,2,1,5,650.581.751.420.296
762281,1,2,1,80,5,1,2,3,,2,,2,,,,,4,2,1,5,707.830.494.705.031
762283,1,1,1,80,5,1,1,4,,3,,2,,,,,10,2,1,5,676.723.311.381.199
762283,1,2,1,80,5,1,4,2,,2,,2,,,,,9,2,1,5,676.723.311.381.199
762284,1,1,1,80,5,1,4,7,,3,,2,,,,,9,2,1,5,759.181.433.702.454
762286,1,2,1,80,5,1,1,3,,2,,2,,,,,4,2,1,5,844.321.173.722.962
762291,1,4,1,80,5,2,,,,2,,2,,2,,.,,,1,5,826.954.700.301.827
762292,1,3,1,80,5,2,,,,2,,2,,2,,.,,,1,5,620.250.773.359.955
762295,1,2,1,80,5,2,,,,2,,2,,2,,.,,,1,5,703.740.946.491.894
762298,1,6,1,80,5,2,,,,2,,2,,2,,.,,,1,5,64.888.968.784.842
762299,1,3,1,80,5,2,,,,2,,2,,2,,.,,,1,5,707.830.494.705.031
762300,1,2,1,80,5,2,,,,2,,2,,2,,.,,,1,5,696.774.570.607.506
762300,1,5,1,80,5,1,4,7,,2,,2,,,,,9,2,1,5,696.774.570.607.506
762302,1,2,1,80,5,1,4,2,,2,,2,,,,,9,2,1,5,742.372.185.330.714
762302,1,7,1,80,5,2,,,,2,,2,,2,,.,,,1,5,742.372.185.330.714
762302,1,8,1,80,5,2,,,,2,,2,,2,,.,,,1,5,742.372.185.330.714
762304,1,2,1,80,5,1,4,2,,2,,2,,,,,9,2,1,5,868.338.434.353.774
762306,1,3,1,80,5,2,,,,2,,2,,2,,.,,,1,5,880.142.637.465.428
