DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,CLASE,P7250,P7260,P7280,P7280S1,P7310,P7320,P7350,P7350S1,P7360,P7390,P7390S1,P7420,P7420S1,P7420S2,P7420S3,P7420S4,P7420S5,P7420S6,P7420S7,P7420S8,P7420S7A1,P7422,P7422S1,P9460,OFICIO1,OFICIO2,RAMA2D_D,DSI,DSCY,RAMA4D_D,MES,DPTO,fex_c_2011
2826072,1,3,1,70,2,20,20,1,,1,,,.,,,.,.,,,,,,,,,.,,,,3,,,1,2,,11,63,101.835.455.511.382
2826098,1,3,1,70,2,4,45,1,,1,,,.,,,.,.,,,,,,,,,.,,,,39,,,1,1,,11,63,963.578.832.132.677
2829053,1,4,1,70,2,2,50,3,,2,2,4,,1,1,,,,,,,,,,1,,1,200000,2,54,54,74,1,1,7493,11,63,1.596.592.335.024
2829053,1,6,1,70,2,8,50,4,,2,2,4,,1,1,,,,,,,,,,1,,2,,2,57,61,1,1,1,123,11,63,1.596.592.335.024
2829079,1,3,1,70,2,52,24,1,,2,52,1,,2,1,,,,,,,,,,1,,2,,2,53,53,15,1,2,1551,11,63,369.974.285.487.348
2829113,1,2,1,70,2,5,48,3,,2,12,3,,1,1,,,,,,,,,,1,,2,,2,54,54,95,1,1,9500,11,63,45.246.185.793.707
2829122,1,2,1,70,2,170,48,4,,2,180,4,,1,1,,,,,,,,,,1,,2,,2,54,95,45,1,2,4521,11,63,277.002.365.062.009
2829122,1,4,1,70,2,150,30,3,,2,400,3,,1,1,,,,,,,,,,1,,2,,2,54,54,95,1,2,9500,11,63,277.002.365.062.009
2829905,1,2,1,70,2,2,40,3,,2,2,3,,1,1,,,,,,,,,,1,,1,20000,2,54,54,95,1,1,9500,11,73,147.738.076.085.827
2829937,1,3,1,70,2,2,24,6,,2,2,6,,2,7,,,,,,,,,,1,,2,,2,62,62,1,1,1,111,11,73,13.436.266.196.372
2829972,1,2,1,70,2,16,35,1,,2,16,1,,2,1,,,,,,,,,,1,,2,,2,53,53,55,1,2,5522,11,73,169.123.939.563.091
2829987,1,4,1,70,2,12,48,3,,2,12,1,,9,1,,,,,,,,,,1,,2,,2,54,45,92,1,1,9242,11,73,139.235.597.194.548
2830003,1,5,1,70,2,8,40,2,,2,36,2,,9,4,,,,,,,,,,1,,2,,2,59,59,85,1,1,8511,11,73,810.907.804.008.734
2832628,1,3,1,70,2,2,56,1,,2,104,1,,3,4,,,,,,,,,,1,,2,,2,45,45,52,1,1,5234,11,76,11.378.157.837.563
2832629,1,2,1,70,2,14,56,1,,2,34,1,,9,4,,,,,,,,,,1,,2,,2,33,33,55,1,2,5521,11,76,78.142.558.541.256
2832636,1,1,1,70,2,16,48,1,,2,77,1,,9,4,,,,,,,,,,1,,2,,2,45,44,65,1,2,6512,11,76,134.697.862.233.034
2832637,1,4,1,70,2,2,30,1,,1,,,.,,,.,.,,,,,,,,,.,,,,53,,,1,1,,11,76,146.901.182.720.353
