DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030;P6030S1;P6030S3;P6040;P6050;P6070;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;AREA;ESC;MES;DPTO;fex_c_2011
2819105;1;1;1;10;2;1;1;8;1971;40;1;3;1;;;1;1;21424;2;1;2;;5;11;2;23;11;11;23;123.468.475.122.762
2819105;1;2;1;10;2;2;1;4;1961;50;2;3;1;;;1;5;;2;1;2;;5;11;2;23;11;11;23;123.468.475.122.762
2819106;1;1;1;10;1;2;1;12;1934;76;1;4;1;;;2;5;;2;2;2;;1;0;;23;0;11;23;129.679.698.745.037
2819106;1;2;1;10;2;2;1;12;1970;40;3;6;1;;;3;;;2;1;1;1;6;1;2;23;12;11;23;129.679.698.745.037
2819106;1;3;1;10;3;2;1;8;1973;38;3;4;1;;;2;1;84000;2;1;2;;6;6;5;23;17;11;23;129.679.698.745.037
2819106;1;4;1;10;4;1;1;12;1994;16;4;6;1;;;2;5;;2;1;1;2;5;10;1;23;10;11;23;129.679.698.745.037
2819107;1;1;1;10;1;2;1;5;1985;26;1;4;1;;;3;;;2;1;2;;5;10;1;23;10;11;23;242.269.679.131.203
2819107;1;2;1;10;1;2;1;8;2003;8;3;;1;;;3;;;2;1;1;1;3;1;;23;1;11;23;242.269.679.131.203
2819107;1;3;1;10;1;2;1;4;2005;6;3;;1;;;3;;;2;1;1;1;2;0;;23;0;11;23;242.269.679.131.203
2819107;1;4;1;10;1;1;1;6;2007;4;3;;1;;;3;;;2;2;2;;1;0;;23;0;11;23;242.269.679.131.203
2819108;1;1;1;10;1;1;1;6;1971;40;1;1;2;1;60;;;;2;1;2;;5;11;2;23;11;11;23;257.700.886.388.674
2819108;1;2;1;10;2;2;1;11;1979;31;2;1;1;;;1;1;12000;2;1;2;;5;11;2;23;11;11;23;257.700.886.388.674
2819108;1;3;1;10;2;1;1;8;2006;5;3;;1;;;3;;;2;2;1;1;2;0;;23;0;11;23;257.700.886.388.674
2819109;1;1;1;10;1;1;1;9;1943;68;1;2;1;;;2;2;135000;2;1;2;;3;5;;23;5;11;23;111.744.755.924.101
2819109;1;2;1;10;2;2;1;8;1948;63;2;2;1;;;2;5;;2;1;2;;3;5;;23;5;11;23;111.744.755.924.101
2819109;1;3;1;10;1;2;1;11;1995;16;4;6;1;;;3;;;1;1;1;1;4;6;;23;6;11;23;111.744.755.924.101
2819109;1;4;1;10;1;2;1;1;1997;14;5;6;1;;;3;;;2;1;2;;4;7;;23;7;11;23;111.744.755.924.101
2819110;1;1;1;10;1;1;1;9;1957;54;1;2;1;;;3;;;2;1;2;;5;11;2;23;11;11;23;123.495.335.251.639
2819110;1;2;1;10;2;2;1;9;1957;54;2;2;1;;;3;;;2;1;2;;5;11;2;23;11;11;23;123.495.335.251.639
2819110;1;3;1;10;3;1;1;2;1931;80;5;3;1;;;3;;;2;2;2;;1;0;;23;0;11;23;123.495.335.251.639
2819110;1;4;1;10;4;2;1;9;1937;74;5;3;1;;;3;;;2;2;2;;1;0;;23;0;11;23;123.495.335.251.639
2819111;1;1;1;10;1;2;1;10;1983;28;1;3;1;;;3;;;2;1;2;;5;11;2;23;11;11;23;124.806.512.398.466
2819111;1;2;1;10;1;1;1;4;2004;7;3;;1;;;3;;;2;1;1;1;3;0;;23;0;11;23;124.806.512.398.466
2819111;1;3;1;10;1;2;1;5;2010;1;3;;1;;;3;;;2;;;;;;;23;;11;23;124.806.512.398.466
2819112;1;1;1;10;1;2;1;7;1957;54;1;5;1;;;3;;;2;1;2;;3;3;;23;3;11;23;261.586.783.518.076
2819112;1;2;1;10;2;2;1;3;1984;27;3;6;2;1;24;;;;2;1;2;;6;5;4;23;16;11;23;261.586.783.518.076
2819112;1;3;1;10;3;1;1;10;1993;18;4;6;1;;;1;5;;2;1;1;1;6;1;2;23;12;11;23;261.586.783.518.076
2819113;1;1;1;10;1;2;1;7;1961;50;1;3;1;;;1;5;;2;1;2;;5;11;2;23;11;11;23;252.698.249.684.954
2819113;1;2;1;10;2;2;1;9;1988;23;3;6;2;1;12;;;;2;1;1;1;6;2;2;23;13;11;23;252.698.249.684.954
2819113;1;3;1;10;3;1;1;12;1990;20;3;6;2;1;12;;;;2;1;1;1;6;3;2;23;14;11;23;252.698.249.684.954
2819114;1;1;1;10;1;1;1;6;1983;28;1;2;2;1;48;;;;2;1;2;;6;3;2;23;14;11;23;115.352.535.373.337
2819114;1;2;1;10;2;2;1;7;1987;24;2;2;1;;;3;;;2;1;2;;6;1;2;23;12;11;23;115.352.535.373.337
2819114;1;3;1;10;2;2;1;7;2008;3;3;;1;;;3;;;2;2;1;1;2;0;;23;0;11;23;115.352.535.373.337
2819115;1;1;1;10;1;1;1;4;1975;36;1;2;1;;;1;1;21424;2;1;2;;4;7;;23;7;11;23;129.788.144.349.351
2819115;1;2;1;10;2;2;1;12;1991;19;2;2;1;;;1;5;;2;1;2;;4;9;;23;9;11;23;129.788.144.349.351
2819115;1;3;1;10;2;1;1;5;2009;2;3;;1;;;1;5;;2;;;;;;;23;;11;23;129.788.144.349.351
2819115;1;4;1;10;2;1;1;3;2011;0;3;;1;;;1;5;;2;;;;;;;23;;11;23;129.788.144.349.351
2819116;1;1;1;10;1;2;1;1;1975;36;1;2;1;;;3;;;2;1;2;;5;11;2;23;11;11;23;268.464.822.531.824
2819116;1;2;1;10;2;1;1;5;1983;28;2;2;1;;;3;;;2;1;1;2;3;5;;23;5;11;23;268.464.822.531.824
2819116;1;3;1;10;1;1;1;1;2004;7;3;;1;;;3;;;2;1;1;1;3;1;;23;1;11;23;268.464.822.531.824
2819116;1;4;1;10;1;1;1;10;2007;4;3;;1;;;3;;;2;2;1;1;2;0;;23;0;11;23;268.464.822.531.824
2819117;1;1;1;10;1;1;1;8;1972;39;1;3;1;;;2;1;32000;2;1;1;1;6;0;2;23;11;11;23;250.357.540.722.945
