DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P7480S1;P7480S1A1;P7480S3;P7480S3A1;P7480S4;P7480S4A1;P7480S5;P7480S5A1;P7480S6;P7480S6A1;P7480S7;P7480S7A1;P7480S8;P7480S8A1;P7480S9;P7480S9A1;P7480S10;P7480S10A1;P7480S11;P7480S11A1;AREA;CLASE;MES;DPTO;fex_c_2011
5418283;1;1;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1353,09137447504
5418283;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1353,09137447504
5418284;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1372,91994297666
5418284;1;2;1;90;2; ;1;12;2; ;1;25;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1372,91994297666
5418285;1;1;1;90;2; ;1;14;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1567,10856753766
5418286;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1119,22444025377
5418286;1;2;1;90;2; ;1;30;2; ;2; ;1;50;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1119,22444025377
5418286;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1119,22444025377
5418286;1;4;1;90;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1119,22444025377
5418286;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1119,22444025377
5418287;1;1;1;90;2; ;1;10;2; ;1;12;2; ;2; ;2; ;1;3;2; ;2; ;05;1;04;05;1633,60055935771
5418287;1;2;1;90;2; ;1;15;2; ;1;30;2; ;2; ;2; ;1;1;2; ;2; ;05;1;04;05;1633,60055935771
5418287;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1633,60055935771
5418288;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1332,37760615005
5418289;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1195,4017975575
5418289;1;2;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1195,4017975575
5418290;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;767,049421536026
5418290;1;2;1;90;2; ;1;36;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;767,049421536026
5418290;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;767,049421536026
5418290;2;1;2;90;2; ;1;7;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;767,049421536026
5418290;2;2;2;90;2; ;1;42;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;767,049421536026
5418291;1;1;1;90;2; ;1;14;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;823,425193752377
5418291;1;2;1;90;2; ;1;42;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;823,425193752377
5418292;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;669,478173252314
5418292;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;669,478173252314
5418293;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;703,44176972435
5418293;1;2;1;90;2; ;1;16;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;703,44176972435
5418294;1;1;1;90;2; ;1;30;2; ;2; ;1;8;2; ;2; ;2; ;2; ;2; ;05;1;04;05;588,408645385925
5418294;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;1;4;2; ;2; ;2; ;05;1;04;05;588,408645385925
5418294;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;588,408645385925
5418294;1;5;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;588,408645385925
5418294;1;6;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;588,408645385925
5418294;1;7;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;588,408645385925
5418294;1;8;1;90;2; ;1;4;2; ;2; ;1;25;2; ;2; ;2; ;2; ;2; ;05;1;04;05;588,408645385925
5418295;1;1;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;795,368910791851
5418295;1;2;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;795,368910791851
5418295;1;4;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;795,368910791851
5418296;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;624,894486322483
5418296;1;2;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;624,894486322483
5418297;1;1;1;90;2; ;1;6;2; ;1;10;2; ;2; ;1;3;2; ;2; ;2; ;05;1;04;05;688,946948799967
5418297;1;2;1;90;2; ;1;20;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;688,946948799967
5418297;1;3;1;90;2; ;1;14;2; ;1;2;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;688,946948799967
5418297;1;4;1;90;2; ;1;14;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;688,946948799967
5418299;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1261,60359966799
5418299;1;2;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1261,60359966799
5418299;1;3;1;90;2; ;1;15;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1261,60359966799
5418300;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1250,96436217788
5418300;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1250,96436217788
5418300;1;3;1;90;2; ;1;70;2; ;2; ;1;63;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1250,96436217788
5418300;1;4;1;90;2; ;1;7;2; ;2; ;1;5;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1250,96436217788
5418301;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1318,24257817964
5418302;1;1;1;90;2; ;1;18;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1318,24257817964
5418303;1;1;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1322,40205095681
5418303;1;2;1;90;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1322,40205095681
5418303;1;3;1;90;2; ;1;5;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1322,40205095681
5418303;1;4;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1322,40205095681
5418303;1;5;1;90;2; ;1;24;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1322,40205095681
5418304;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1353,09137447504
5418304;1;2;1;90;2; ;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1353,09137447504
5418305;1;1;1;90;2; ;1;3;2; ;1;8;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1350,77097352765
5418305;1;2;1;90;2; ;1;30;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1350,77097352765
5418305;1;3;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1350,77097352765
5418306;1;1;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1291,21650929495
5418306;1;2;1;90;2; ;1;22;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1291,21650929495
5418306;1;3;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1291,21650929495
5418306;1;4;1;90;2; ;1;28;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1291,21650929495
5418307;1;1;1;90;2; ;1;5;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1512,37214255234
5418307;1;2;1;90;2; ;1;30;2; ;1;40;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1512,37214255234
5418307;1;3;1;90;2; ;1;20;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1512,37214255234
5418308;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;624,894486322483
5418308;1;2;1;90;2; ;1;16;2; ;2; ;2; ;1;5;2; ;2; ;2; ;2; ;05;1;04;05;624,894486322483
5418309;1;1;1;90;2; ;1;3;2; ;2; ;1;20;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1291,21650929495
5418309;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1291,21650929495
5418309;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1291,21650929495
5418309;1;4;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1291,21650929495
5418310;1;1;1;90;2; ;1;30;2; ;2; ;1;50;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1160,0760189929
5418310;1;2;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1160,0760189929
5418310;1;3;1;90;2; ;1;20;2; ;2; ;1;30;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1160,0760189929
5418311;1;1;1;90;2; ;1;20;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;554,511088523765
5418311;1;2;1;90;2; ;1;4;2; ;2; ;2; ;2; ;1;4;2; ;2; ;2; ;05;1;04;05;554,511088523765
5418311;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;554,511088523765
5418312;1;1;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;590,901359756302
5418312;1;2;1;90;2; ;1;21;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;590,901359756302
5418312;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;590,901359756302
5418312;1;4;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;590,901359756302
5418312;1;5;1;90;2; ;1;1;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;590,901359756302
5418314;1;1;1;90;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1226,62707100123
5418314;1;2;1;90;2; ;1;14;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1226,62707100123
5418315;1;1;1;90;2; ;1;10;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1372,91994297666
5418315;1;2;1;90;2; ;1;3;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1372,91994297666
5418316;1;1;1;90;2; ;1;20;2; ;1;7;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1378,1558296451
5418316;1;2;1;90;2; ;1;7;2; ;1;7;1;7;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1378,1558296451
5418317;1;1;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1350,77097352765
5418317;1;2;1;90;2; ;1;4;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1350,77097352765
5418317;1;3;1;90;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;2; ;05;1;04;05;1350,77097352765
