DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;AREA;fex_c_2011
2403147;1;1;1;1;1;1;1;2;4;3; ; ; ; ;120000;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;1;2;2;2; ;3;1;2;1;2;1;2;1;1;1;1;2;1;01;1;06;05;1;05;1174,1758072668
2403148;1;4;3;1;1;1;1;1;4;3; ; ; ; ;400000;1;1;1;2;1;2;2;2;2;1;1;1;2;2;2;1;1;1;1;2;2;2; ;2;2; ;4;1;2;1;4;1;2;1;1;1;2;2;1;01;1;06;05;1;05;1453,88416516683
2403149;1;6;4;1;1;1;1;1;4;3; ; ; ; ;475000;1;1;1;1;1;1;2;2;1;1;2;2;1;2;1;1;1;1;1;1;1;1;2;2;2; ;6;1;2;1;4;1;2;1;1;1;2;2;1;01;1;06;05;1;05;950,098977762054
2403150;1;5;2;1;1;1;1;1;3;1; ; ;45000000;350000; ;1;1;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;2;2;1;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;2;2;1;01;1;06;05;1;05;1041,16663048297
2403151;1;4;1;1;1;1;1;1;3;4; ; ; ;450000; ;1;1;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;1;1;1;1;2;2; ;2;1;2;1;4;1;1;1;1;1;3;2;1;01;1;06;05;1;05;960,336970457831
2403152;1;4;3;1;1;1;1;1;3;3; ; ; ; ;370000;1;2;1;2;1;1;2;2;2;1;2;2;2;2;1;2;1;1;2;2;1;1;3;2;2; ;5;1;2;1;4;1;1;1;1;1;2;2;1;01;1;06;05;1;05;934,052565603276
2403153;1;4;3;1;1;1;1;1;4;3; ; ; ; ;140000;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;1;2;2;2; ;4;1;1;1;2;1;2;1;1;1;2;2;1;01;1;06;05;1;05;867,955065127999
2403154;1;2;2;1;1;1;1;1;4;3; ; ; ; ;270000;1;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;2;1;2;1;3;1;2;1;1;1;3;2;1;01;1;06;05;1;05;974,254954174404
2403155;1;5;3;1;1;1;1;1;3;1; ; ;70000000;350000; ;1;2;1;1;2;2;2;2;2;1;1;1;2;2;2;1;1;1;1;2;2;1;1;2;2; ;3;1;2;1;4;1;1;1;1;1;3;2;1;01;1;06;05;1;05;1078,95160308754
2403157;1;3;2;1;1;1;1;1;1;4; ; ; ;180000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;2;1;2;2;1;1;2;2; ;5;1;2;1;4;1;2;1;1;1;1;2;1;01;1;06;05;1;05;752,665317531776
2403158;1;4;3;1;1;1;1;1;1;1; ; ;30000000;200000; ;1;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;1;2;2;1;1;2;2; ;4;1;1;1;2;1;2;1;1;1;1;2;1;01;1;06;05;1;05;706,29574507773
2403159;1;1;1;1;1;1;1;3;1;1; ; ;20000000;80000; ;1;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2; ;2;2; ;1;1;2;1;2;1;2;1;1;1;1;2;1;01;1;06;05;1;05;1029,12338783062
2403160;1;3;1;1;1;1;1;1;3;2; ;218000;65000000;350000; ;1;2;1;1;1;1;2;2;2;1;1;2;2;2;1;1;1;1;1;1;2;1;2;2;2; ;2;1;2;1;4;1;1;1;1;1;3;2;1;01;1;06;05;1;05;1216,45647156711
2403161;1;3;2;1;1;1;1;1;3;2; ;250000;60000000;350000; ;1;2;1;1;1;2;2;2;2;2;2;1;2;2;1;1;1;1;1;1;1;1;4;2;2; ;8;1;2;1;4;1;1;1;1;1;3;2;1;01;1;06;05;1;05;604,650955425467
2403162;1;2;1;1;1;1;1;1;4;3; ; ; ; ;300000;1;2;1;2;1;2;2;2;2;2;2;1;2;2;2;2;1;1;1;2;1;1;1;2;2; ;2;1;2;1;2;1;2;1;1;1;3;2;1;01;1;06;05;1;05;805,817212612424
2403163;1;4;1;1;1;1;1;1;1;1; ; ;70000000;300000; ;1;1;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;1;1;1;2;2; ;2;1;2;1;4;1;2;1;1;1;3;2;1;01;1;06;05;1;05;974,533086271654
2403164;1;3;2;1;1;1;1;1;3;4; ; ; ;150000; ;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;1;1;1;1;2;2;1;1;2;2; ;4;1;2;1;2;1;1;1;1;1;2;2;1;01;1;06;05;1;05;1043,24490621214
2403166;1;4;3;1;1;1;1;1;3;1; ; ;50000000;200000; ;1;2;1;1;2;1;2;2;2;1;2;1;2;2;1;1;1;1;1;2;1;1;3;2;2; ;4;1;2;1;4;1;1;1;1;1;2;2;1;01;1;06;05;1;05;916,386905736427
2403167;1;3;2;1;1;1;1;1;4;3; ; ; ; ;220000;1;2;1;1;1;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;3;2;2; ;5;1;2;1;4;1;2;1;1;1;3;2;1;01;1;06;05;1;05;758,762724519131
2403168;1;3;2;1;1;1;1;1;4;2; ;103000;25000000;130000; ;1;2;1;2;2;2;2;2;2;1;1;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;8;1;1;1;2;1;2;1;1;1;1;2;1;01;1;06;05;1;05;884,625707931816
2403169;1;4;2;1;1;1;1;1;1;1; ; ;60000000;250000; ;1;1;1;1;1;1;2;2;1;1;1;1;2;2;1;1;1;1;1;1;1;1;3;2;2; ;4;1;2;1;2;1;2;1;1;1;1;2;1;01;1;06;05;1;05;962,41524618701
2403170;1;5;3;1;1;1;1;1;3;1; ; ;40000000;250000; ;1;2;1;1;2;2;2;2;2;1;1;2;2;2;2;1;1;1;1;2;2;1;3;2;2; ;6;1;1;1;2;1;1;1;1;1;2;2;1;01;1;06;05;1;05;889,399531724802
2403171;1;2;2;1;1;1;1;2;4;1; ; ;20000000;150000; ;2;2;1;2;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;1;2;2;2; ;4;1;2;1;2;1;2;1;1;1;1;2;1;01;1;06;05;1;05;1051,06548294136
