DIRECTORIO;SECUENCIA_P;P5000;P5010;P5020;P5030;P5040;P5050;P5070;P5080;P5090;P5090S1;P5100;P5110;P5130;P5140;P5210S1;P5210S10;P5210S11;P5210S14;P5210S15;P5210S16;P5210S17;P5210S18;P5210S19;P5210S2;P5210S20;P5210S21;P5210S22;P5210S24;P5210S3;P5210S4;P5210S5;P5210S6;P5210S7;P5210S8;P5210S9;P5220;P5220S1;P6006;P6007;P6007S1;P6008;HOGAR;P4000;P4010;P4020;P4030S1;P4030S2;P4030S3;P4030S4;P4030S5;P4030S1A1;P4030S4A1;P4040;REGIS;clase;MES;DPTO;ORDEN;fex_c_2011
2414714;1;3;2;2;1;4;1;5;5;1; ; ;7000000;50000; ;2;2;1;2;2;2;2;2;1;2;1;1;2;2;2;2;1;1;1;2;2;1;1;2;2; ;5;1;1;4;1;1;2;2;2;1;1; ;2;01;2;06;13;1;1311,31073544414
2414715;1;4;1;2;1;2;1;5;5;4; ; ; ;30000; ;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;1;1;2;2; ;1;1;1;4;1;1;2;2;2;1;1; ;2;01;2;06;13;1;1915,2937002445
2414716;1;3;2;2;1;2;1;5;5;1; ; ;8000000;50000; ;2;2;1;1;2;2;2;2;1;2;2;1;2;2;2;2;2;1;2;2;2;1;1;2;2; ;6;1;1;4;1;1;2;2;2;1;1; ;2;01;2;06;13;1;1699,48104433633
2414717;1;2;1;6; ;2;1;5;5;1; ; ;4000000;40000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;4;1;1;4;1;1;2;2;2;1;1; ;2;01;2;06;13;1;2991,15483794885
2414718;1;2;1;6; ;4;4;5;5;1; ; ;3000000;80000; ;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;2;1;1;4;1;2;2;2;2;2; ; ; ;01;2;06;13;1;1311,31073544414
2414723;1;3;2;6; ;4;2;5;5;4; ; ; ;50000; ;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2; ;2;2; ;3;1;1;4;1;1;2;2;2;2;1; ; ;01;2;06;13;1;1311,31073544414
2414724;1;4;2;2;1;4;3;5;5;1; ; ;8000000;50000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;2;2;2;2; ;2;2; ;4;1;1;5;2;1;2;2;2;2;1; ; ;01;2;06;13;1;1311,31073544414
2414725;1;2;2;2;1;4;4;5;5;1; ; ;9000000;40000; ;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;7;1;1;4;1;1;2;2;2;2;1; ; ;01;2;06;13;1;3488,69155986028
2414726;1;2;1;2;1;4;2;5;5;4; ; ; ;60000; ;2;2;1;2;2;2;2;2;1;2;2;1;2;2;2;2;2;2;2;2;2;2; ;2;2; ;3;1;1;1;2;1;2;2;2;2;1; ; ;01;2;06;13;1;3056,12530178283
2414727;1;2;1;6; ;1;1;1;4;1; ; ;10000000;100000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;1;1;1;1;1;2;2; ;2;2; ;2;1;1;5;2;1;2;2;1;1;1;3;1;01;2;06;13;1;886,921659651958
2414729;1;3;2;2;1;4;1;1;3;1; ; ;12000000;100000; ;1;1;1;1;1;1;1;2;1;1;2;2;2;2;2;1;1;1;1;2;1;1;1;2;2; ;3;1;1;1;2;1;1;2;2;1;1; ;1;01;2;06;13;1;1378,47418112333
2414730;1;3;2;6; ;1;1;4;3;1; ; ;8000000;70000; ;2;2;1;1;2;2;2;2;1;2;2;2;2;2;2;2;1;2;1;2;2;2; ;2;2; ;3;1;2;1;1;1;1;2;1;1;1;3;1;01;2;06;13;1;886,921659651958
2414731;1;3;2;2;1;1;1;3;4;4; ; ; ;70000; ;2;2;1;2;2;2;2;2;1;2;1;2;2;2;2;2;2;2;1;2;2;1;1;2;2; ;4;1;1;1;2;1;2;2;1;1;1;3;1;01;2;06;13;1;1662,55699767175
2414732;1;3;2;6; ;1;1;5;6;4; ; ; ;70000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;1;2;2;2;2;2; ;2;2; ;7;1;1;5;2;1;2;2;1;1;1;3;1;01;2;06;13;1;1707,98939801537
2414734;1;3;2;2;1;2;2;5;5;1; ; ;4000000;30000; ;2;2;1;2;2;2;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;2; ;2;2; ;5;1;1;1;2;1;2;2;2;2;1; ; ;01;2;06;13;1;2119,21679456254
2414735;1;5;2;2;1;4;2;1;4;1; ; ;8000000;50000; ;2;2;1;1;1;1;2;2;1;2;2;1;2;2;2;2;1;1;1;2;2;1;3;2;2; ;5;1;1;1;4;1;2;2;2;2;1; ; ;01;2;06;13;1;3757,92982100654
