"DIRECTORIO","SECUENCIA_P","P5000","P5010","P5020","P5030","P5040","P5050","P5070","P5080","P5090","P5090S1","P5100","P5110","P5130","P5140","P5210S1","P5210S2","P5210S3","P5210S4","P5210S5","P5210S6","P5210S7","P5210S8","P5210S9","P5210S10","P5210S11","P5210S14","P5210S15","P5210S16","P5210S17","P5210S18","P5210S19","P5210S20","P5210S21","P5210S22","P5210S24","P5220","P5220S1","P6008","P6007","P6007S1","HOGAR","P4000","P4010","P4020","P4030S1","P4030S1A1","P4030S2","P4030S3","P4030S4","P4030S4A1","P4030S5","P4040","REGIS","clase","MES","DPTO","fex_c_2011","AREA"
4489752,1,4,3,1,1,1,1,1,3,1,"",1.79769313486232e+308,98,250000,1.79769313486232e+308,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,2,1,2,2,2,1,1,2,8,2,1.79769313486232e+308,1,1,1,4,1,1,1,1,1,3,1,2,"01","1","12","76",2207.18624654789,""
4489753,1,3,2,1,1,1,5,1,3,1,"",1.79769313486232e+308,98,98,1.79769313486232e+308,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1.79769313486232e+308,1,1,1,2,1,1,1,1,1,3,1,2,"01","1","12","76",1896.65683622437,""
4489755,1,4,4,1,1,1,5,1,3,2,"",98,98,98,1.79769313486232e+308,2,2,1,2,1,1,1,2,2,2,1,2,1,1,2,2,2,1,2,1,2,1,3,6,2,1.79769313486232e+308,1,1,1,4,1,2,1,1,1,3,2,1.79769313486232e+308,"01","1","12","76",2012.01079926186,""
4489756,1,4,3,1,1,1,1,1,3,1,"",1.79769313486232e+308,98,250000,1.79769313486232e+308,2,1,1,1,1,1,1,2,2,2,1,1,2,1,2,2,1,2,2,2,2,1,4,6,2,1.79769313486232e+308,1,2,1,4,1,1,1,1,1,3,1,2,"01","1","12","76",3758.7037575317,""
4489757,1,3,2,1,1,1,1,1,3,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,550000,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,3,1,2,"01","1","12","76",1870.40711516956,""
4489758,1,4,3,1,1,1,5,1,3,4,"",1.79769313486232e+308,1.79769313486232e+308,200000,1.79769313486232e+308,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,3,2,1.79769313486232e+308,1,1,1,2,1,1,1,1,1,3,2,1.79769313486232e+308,"01","1","12","76",2680.03911494651,""
4489759,1,4,3,1,1,1,1,1,3,1,"",1.79769313486232e+308,100000000,1000000,1.79769313486232e+308,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,1,1,2,2,2,1,1,5,2,1.79769313486232e+308,1,1,1,4,1,2,1,1,1,3,1,2,"01","1","12","76",1675.48093002625,""
4489760,1,2,1,1,1,1,1,6,1.79769313486232e+308,4,"",1.79769313486232e+308,1.79769313486232e+308,150000,1.79769313486232e+308,2,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,1.79769313486232e+308,1,2,1,4,1,1,2,1,1,3,1,2,"01","1","12","76",2759.25576138953,""
4489767,1,2,1,1,1,1,1,1,3,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,220000,2,1,2,2,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1.79769313486232e+308,1,2,1,3,1,2,1,1,1,3,1,2,"01","1","12","76",2532.12139562848,""
4489769,1,3,2,1,1,1,1,1,3,1,"",1.79769313486232e+308,80000000,700000,1.79769313486232e+308,1,1,1,1,1,1,1,1,1,2,1,2,2,1,2,2,1,2,2,2,2,1,2,3,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,3,1,2,"01","1","12","76",1308.3813275248,""
4489776,1,2,1,1,1,1,1,3,3,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,350000,2,1,1,2,1,1,1,2,2,2,1,2,2,1,2,2,1,2,2,2,2,1,1,1,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,3,1,2,"01","1","12","76",2823.61990782256,""
4489781,1,2,1,1,2,1,1,6,1.79769313486232e+308,1,"",1.79769313486232e+308,98,98,1.79769313486232e+308,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1.79769313486232e+308,1,2,1.79769313486232e+308,1,2,1,4,1,1,1,1,1,3,1,2,"01","1","12","76",1949.62376161258,""
4489782,1,2,1,3,1,1,1,2,4,4,"",1.79769313486232e+308,1.79769313486232e+308,60000,1.79769313486232e+308,2,2,2,2,2,1,1,2,2,2,1,1,1,2,2,2,1,2,2,2,2,1,1,3,2,1.79769313486232e+308,1,1,5,2,1,1,2,2,1,3,1,2,"01","1","12","76",2706.22015873786,""
4489783,1,5,3,1,1,1,1,1,4,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,350000,2,1,2,2,1,1,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,1,2,4,2,1.79769313486232e+308,1,1,1,4,1,1,2,1,1,3,1,2,"01","1","12","76",2944.75174554373,""
4489794,1,3,2,1,1,1,1,1,1,1,"",1.79769313486232e+308,100000000,500000,1.79769313486232e+308,1,1,1,2,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,1,2,3,2,1.79769313486232e+308,1,2,1,4,1,3,2,1,1,2,1,1,"01","1","12","05",1188.73904268864,"05"
4489795,1,5,2,1,1,1,1,1,3,1,"",1.79769313486232e+308,100000000,500000,1.79769313486232e+308,1,1,2,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1.79769313486232e+308,1,1,1,4,1,3,1,1,1,2,1,1,"01","1","12","05",1023.97648327201,"05"
4489796,1,3,2,1,1,1,1,1,3,4,"",1.79769313486232e+308,1.79769313486232e+308,450000,1.79769313486232e+308,1,1,1,1,1,1,1,2,2,2,1,2,1,1,2,2,2,2,2,2,2,1,3,3,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,2,1,1,"01","1","12","05",1128.0844248052,"05"
4489797,1,8,6,1,1,1,1,1,3,1,"",1.79769313486232e+308,300000000,1500000,1.79769313486232e+308,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,5,7,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,2,1,1,"01","1","12","05",1395.38254134676,"05"
4489798,1,2,1,1,1,1,1,1,3,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,475000,2,2,2,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,2,1,1,"01","1","12","05",1221.24841615268,"05"
4489799,1,2,2,1,1,1,1,1,1,1,"",1.79769313486232e+308,130000000,400000,1.79769313486232e+308,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1.79769313486232e+308,1,1,3,4,1,3,2,1,1,2,1,1,"01","1","12","05",1210.46313028641,"05"
4489800,1,3,2,1,1,1,1,1,1,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,372000,1,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1.79769313486232e+308,2,2,1.79769313486232e+308,1,2,1,4,1,3,2,1,1,2,1,1,"01","1","12","05",1013.19119740573,"05"
4489801,1,3,2,1,1,1,1,1,3,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,350000,1,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,3,3,2,1.79769313486232e+308,1,2,1,4,1,2,1,1,1,2,1,1,"01","1","12","05",1396.79626143559,"05"
4489802,1,3,1,1,1,1,1,1,3,1,"",1.79769313486232e+308,98,98,1.79769313486232e+308,1,1,2,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,2,1,1,"01","1","12","05",1155.63912442931,"05"
4489803,1,3,2,1,1,1,1,3,3,1,"",1.79769313486232e+308,60000000,500000,1.79769313486232e+308,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,5,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,2,1,1,"01","1","12","05",1131.07276875469,"05"
4489804,1,1,1,1,2,1,1,1,3,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,350000,1,2,1,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,2,1,1,"01","1","12","05",1210.46313028641,"05"
4489804,2,1,1,1,2,1,1,1,3,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,530000,2,2,1,1,1,1,1,2,2,2,2,2,1,1,2,2,2,1,2,2,2,1,1,1,2,1.79769313486232e+308,2,2,1,4,1,3,1,1,1,2,1,1,"01","1","12","05",1210.46313028641,"05"
4489805,1,3,2,1,1,1,1,1,3,1,"",1.79769313486232e+308,100000000,600000,1.79769313486232e+308,1,1,1,1,1,1,1,2,1,1,1,1,2,1,2,2,2,2,2,2,2,1,3,3,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,2,1,1,"01","1","12","05",1085.7903340663,"05"
4489806,1,4,2,1,1,1,1,1,3,3,"",1.79769313486232e+308,1.79769313486232e+308,1.79769313486232e+308,300000,2,1,2,1,1,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1.79769313486232e+308,1,2,1,4,1,3,1,1,1,2,1,1,"01","1","12","05",1273.92167004096,"05"
