Directorio;Secuencia_p;Orden;Hogar;Regis;Clase;P7250;P7260;P7280;P7280s1;P7310;P7320;P7350;P7350s1;P7360;P7390;P7390s1;P7420;P7420s1;P7420s2;P7420s3;P7420s4;P7420s5;P7420s6;P7420s7;P7420s8;P7420s7a1;P7422;P7422s1;P9460;Oficio1;Oficio2;Rama2d_d;Dsi;Dscy;Rama4d_d;Mes;Dpto;Fex_c_2011;Area
3639543;1;3;1;70;1;1;48;3; ;2;32;3; ;1;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;54;54;95;1;1;9500;01;18;47,440883790059;18
3639545;1;1;1;70;1;12;48;1; ;2;2;4; ;1;2; ; ; ; ; ; ; ; ; ;1; ;1;300000;2;55;45;52;1;1;5233;01;18;45,8864407969998;18
3639545;1;2;1;70;1;8;48;1; ;2;48;3; ;1;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;01;18;45,8864407969998;18
3639545;1;3;1;70;1;1;40;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;350000;2;59;59;93;1;1;9309;01;18;45,8864407969998;18
3639547;1;3;1;70;1;5;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;01;18;38,2125301210607;18
3639549;1;2;1;70;1;24;48;1; ;2;24;1; ;4;8; ; ; ; ; ; ; ; ; ;1; ;1;180000;2;53;53;55;1;2;5521;01;15;119,709499983479;15
3639551;1;2;1;70;1;6;48;1; ;2;8;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;87;87;28;1;1;2811;01;15;86,1684686421799;15
3639554;1;2;1;70;1;40;48;1; ;2;40;1; ;2;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;45;52;1;2;5233;01;15;110,652448960237;15
3639555;1;3;1;70;1;12;48;1; ;2;12;1; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;19;45;52;1;1;5234;01;15;84,0203651671724;15
3639559;1;1;1;70;1;8;40;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;19; ; ;1;1; ;01;15;76,8399667637769;15
3639567;1;4;1;70;1;4;48;1; ;2;4;1; ;9;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;38;38;64;1;1;6421;01;17;221,999433071129;17
3639573;1;1;1;70;1;4;48;1; ;2;4;2; ;9;7; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8043;01;17;170,439010586674;17
3639573;1;2;1;70;1;4;48;1; ;2;12;1; ;9;6; ; ; ; ; ; ; ; ; ;1; ;2; ;2;79;79;18;1;1;1810;01;17;170,439010586674;17
3639597;1;1;1;70;1;48;48;1; ;2;48;4; ;1;1; ; ; ;1; ; ; ; ; ; ; ;2; ;2;53;54;85;1;2;8532;01;17;132,191008491264;17
3639601;2;1;2;70;1;3;48;1; ;2;4;1; ;7;1; ; ; ; ; ; ; ; ; ;1; ;1;344000;2;95;95;45;1;1;4521;01;17;166,290714213235;17
3639608;1;1;1;70;1;162;40;5; ;2;1;1; ;3;3; ; ; ; ; ; ; ; ; ;1; ;1;620000;2;51;45;52;1;2;5249;01;76;1060,33598280609;76
3639622;1;3;1;70;1;3;48;1; ;2;4;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;97;95;45;1;1;4522;01;76;1499,02650570873;76
3639625;1;1;1;70;1;2;50;1; ;2;2;1; ;2;7; ; ; ; ; ; ; ; ; ;1; ;1;550000;2;95;95;45;1;1;4521;01;76;761,638450114967;76
3639633;1;1;1;70;1;16;48;4; ;2;28;2; ;9;2; ; ; ; ;1; ; ; ; ; ; ;2; ;2;02;02;75;1;2;7512;01;66;329,14012412476;66
3639635;1;3;1;70;1;14;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;53; ; ;1;2; ;01;66;296,650805423051;66
3639645;1;2;1;70;1;2;50;1; ;2;2;1; ;8;1; ; ; ; ; ; ; ; ; ;1; ;1;350000;2;95;95;45;1;1;4521;01;66;223,644737211574;66
3639654;1;1;1;70;1;3;48;4; ;2;3;4; ;9;1; ; ;1; ; ; ; ; ; ; ; ;1;2400000;2;18;18;75;1;1;7513;01;66;346,416702911361;66
3639671;1;1;1;70;1;4;60;4; ;2;3;4; ;1;1; ; ; ; ; ; ; ; ; ;1; ;1;170000;2;85;85;45;1;1;4542;01;50;178,716284102935;50
3639672;1;1;1;70;1;24;48;4; ;2;12;4; ;1;8; ; ; ; ; ; ; ; ; ;1; ;2; ;2;98;98;60;1;2;6021;01;50;157,151598616719;50
3639673;1;2;1;70;1;16;48;1; ;2;16;2; ;9;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2;06;39;75;1;2;7514;01;41;161,39343097362;41
3639673;1;3;1;70;1;4;48;1; ;1; ; ; ; ; ; ;.; ; ; ; ; ; ; ; ;.; ; ; ;45; ; ;1;1; ;01;41;161,39343097362;41
3639678;2;1;2;70;1;2;54;1; ;2;2;1; ;2;1; ; ; ; ; ; ; ; ; ;1; ;1;350000;2;95;95;45;1;1;4521;01;18;40,3075663888862;18
3639687;1;1;1;70;1;4;48;1; ;2;8;3; ;4;1; ; ; ; ; ; ; ; ; ;1; ;2; ;2;45;54;95;1;1;9500;01;18;32,0100382397182;18
3639693;1;3;1;70;1;5;40;1; ;2;5;4; ;9;4; ; ; ; ; ; ; ; ; ;1; ;2; ;2;13;13;80;1;1;8043;01;15;93,4741064107366;15
3639696;1;1;1;70;1;52;48;1; ;2;52;2; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;37;55;75;1;2;7512;01;15;90,792601544855;15
3639700;1;1;1;70;1;12;50;1; ;2;2;1; ;5;1; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;95;95;70;1;1;7020;01;15;120,06259269862;15
3639701;1;2;1;70;1;24;40;1; ;2;24;1; ;9;2; ; ; ; ; ; ; ; ; ;1; ;2; ;2;03;03;74;1;2;7421;01;15;109,550862567447;15
3639702;1;1;1;70;1;4;40;2; ;2;4;2; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;3092000;2;13;13;80;1;1;8050;01;15;131,789676782352;15
3639704;1;2;1;70;1;4;40;1; ;2;4;1; ;9;4; ; ; ; ; ; ; ; ; ;1; ;1;800000;2;09;12;74;1;1;7411;01;15;77,9415531565667;15
3639706;1;1;1;70;1;50;48;2; ;2;4;1; ;6;2; ; ; ; ; ; ; ; ; ;1; ;1;400000;2;13;13;80;1;2;8042;01;15;102,244040135785;15
3639706;1;3;1;70;1;4;48;2; ;2;4;1; ;9;3; ; ; ; ;1; ; ; ; ; ; ;1;1800000;2;12;13;80;1;1;8050;01;15;102,244040135785;15
