DIRECTORIO,SECUENCIA_P,P5000,P5010,P5020,P5030,P5040,P5050,P5070,P5080,P5090,P5090S1,P5100,P5110,P5130,P5140,P5210S1,P5210S10,P5210S11,P5210S14,P5210S15,P5210S16,P5210S17,P5210S18,P5210S19,P5210S2,P5210S20,P5210S21,P5210S22,P5210S24,P5210S3,P5210S4,P5210S5,P5210S6,P5210S7,P5210S8,P5210S9,P5220,P5220S1,P6006,P6007,P6007S1,P6008,HOGAR,P4000,P4010,P4020,P4030S1,P4030S2,P4030S3,P4030S4,P4030S5,P4030S1A1,P4030S4A1,P4040,REGIS,clase,MES,DPTO,ORDEN,fex_c_2011
2600300,1,3,3,3,1,4,1,1,5,4,,,,50000,,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,7,1,1,4,3,1,2,2,2,1,1,,1,1,2,1,17,1,168.590.497.226.849
2600301,1,3,2,3,1,4,1,1,4,1,,,5000000,50000,,2,2,1,1,1,2,2,2,2,2,1,2,2,2,2,2,1,1,1,2,2,1,2,2,2,,7,1,1,4,2,1,2,2,2,1,2,,1,1,2,1,17,1,126.528.661.785.124
2600302,1,2,2,2,1,4,1,1,5,1,,,3000000,60000,,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,2,2,,3,1,1,4,2,1,2,2,2,1,1,,1,1,2,1,17,1,142.599.092.502.547
2600303,1,2,2,2,1,4,1,1,4,1,,,2000000,45000,,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,,8,1,1,7,2,1,2,2,2,1,2,,1,1,2,1,17,1,165.070.960.526.918
2600304,1,3,2,2,1,4,1,1,5,4,,,,50000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,1,3,2,2,,5,1,1,4,3,1,2,2,2,1,1,,1,1,2,1,17,1,12.635.278.991.831
2600305,1,3,1,3,1,4,1,1,4,1,,,4000000,40000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,1,1,2,2,,2,1,1,1,2,1,2,2,2,1,1,,1,1,2,1,17,1,11.221.361.350.213
2600306,1,2,2,3,1,4,1,1,4,1,,,3000000,50000,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,,6,1,1,1,2,1,2,2,2,1,2,,1,1,2,1,17,1,138.023.561.607.012
2600307,1,2,1,3,1,4,1,1,4,1,,,1500000,45000,,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,,2,2,,3,1,1,7,2,1,2,2,2,1,1,,1,1,2,1,17,1,105.719.664.668.606
2600308,1,3,1,3,1,4,1,1,5,1,,,3000000,60000,,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,2,2,,2,1,1,7,3,1,2,2,2,1,2,,1,1,2,1,17,1,11.221.361.350.213
2600841,1,4,2,2,1,1,1,1,4,1,,,20000000,100000,,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,2,1,1,2,2,,2,1,1,1,4,1,2,2,1,1,2,2,1,1,2,1,63,1,112.894.847.910.549
