DIRECTORIO,SECUENCIA_P,ORDEN,HOGAR,REGIS,P7480,P7480S1,P7480S3,P7480S4,P7480S5,P7480S6,P7480S7,P7480S8,P7480S9,P7480S10,P7480S11,P7480S1A1,P7480S3A1,P7480S4A1,P7480S5A1,P7480S6A1,P7480S7A1,P7480S8A1,P7480S9A1,P7480S10A1,P7480S11A1,clase,MES,DPTO,fex_c_2011
2600300,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,17,168.590.497.226.849
2600300,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,35,,35,,,,,,,2,1,17,168.590.497.226.849
2600300,1,5,1,90,,1,1,2,2,2,2,2,2,2,2,2,25,,,,,,,,,2,1,17,168.590.497.226.849
2600300,1,6,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,17,168.590.497.226.849
2600300,1,7,1,90,,1,1,2,2,2,2,2,2,2,2,5,25,,,,,,,,,2,1,17,168.590.497.226.849
2600301,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,17,126.528.661.785.124
2600301,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,55,,,,,,,,,2,1,17,126.528.661.785.124
2600301,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,5,,,,,,,,,2,1,17,126.528.661.785.124
2600301,1,4,1,90,,2,1,2,2,2,2,2,2,2,2,,5,,,,,,,,,2,1,17,126.528.661.785.124
2600301,1,5,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,17,126.528.661.785.124
2600301,1,6,1,90,,2,1,2,2,2,2,2,2,2,2,,3,,,,,,,,,2,1,17,126.528.661.785.124
2600302,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,17,142.599.092.502.547
2600302,1,2,1,90,,1,1,2,2,1,2,2,2,2,2,1,7,,,10,,,,,,2,1,17,142.599.092.502.547
2600302,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,17,142.599.092.502.547
2600303,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,17,165.070.960.526.918
2600303,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,50,,,,,,,,,2,1,17,165.070.960.526.918
2600303,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,8,,,,,,,,,2,1,17,165.070.960.526.918
2600303,1,4,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,17,165.070.960.526.918
2600303,1,5,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,17,165.070.960.526.918
2600303,1,6,1,90,,2,1,2,2,2,2,2,2,2,2,,5,,,,,,,,,2,1,17,165.070.960.526.918
2600304,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,17,12.635.278.991.831
2600304,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,35,,,,,,,,,2,1,17,12.635.278.991.831
2600304,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,17,12.635.278.991.831
2600304,1,5,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,17,12.635.278.991.831
2600305,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,17,11.221.361.350.213
2600305,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,40,,,,,,,,,2,1,17,11.221.361.350.213
2600306,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,17,138.023.561.607.012
2600306,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,48,,,,,,,,,2,1,17,138.023.561.607.012
2600306,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,2,,,,,,,,,2,1,17,138.023.561.607.012
2600306,1,4,1,90,,2,1,2,2,2,2,2,2,2,2,,5,,,,,,,,,2,1,17,138.023.561.607.012
2600307,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,45,,,,,,,,,2,1,17,105.719.664.668.606
2600308,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,17,11.221.361.350.213
2600308,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,40,,,,,,,,,2,1,17,11.221.361.350.213
2600841,1,1,1,90,,2,1,2,2,1,2,2,2,2,2,,14,,,48,,,,,,2,1,63,112.894.847.910.549
2600841,1,2,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,112.894.847.910.549
2600842,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,102.556.107.651.548
2600842,1,2,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,102.556.107.651.548
2600842,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,102.556.107.651.548
2600843,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,105.878.545.203.326
2600843,1,2,1,90,,1,2,2,2,2,2,2,2,2,2,7,,,,,,,,,,2,1,63,105.878.545.203.326
2600844,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,114.864.011.679.773
2600844,1,2,1,90,,1,2,2,2,2,2,2,2,2,2,7,,,,,,,,,,2,1,63,114.864.011.679.773
2600844,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,114.864.011.679.773
2600844,1,4,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,2,1,63,114.864.011.679.773
2600844,1,5,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,2,1,63,114.864.011.679.773
2600845,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,899.710.361.940.741
2600845,1,2,1,90,,2,1,2,1,2,2,2,2,2,2,,9,,20,,,,,,,2,1,63,899.710.361.940.741
2600846,1,1,1,90,,2,1,2,2,2,2,2,2,2,2,,7,,,,,,,,,2,1,63,83.447.555.534.486
2600857,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,9.696.470.226.874
2600857,1,2,1,90,,1,1,1,2,2,2,2,2,2,2,2,35,2,,,,,,,,2,1,63,9.696.470.226.874
2600858,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,893.979.540.371.008
2600858,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,25,,,,,,,,,2,1,63,893.979.540.371.008
2600858,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,893.979.540.371.008
2600859,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,102.556.107.651.548
2600859,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,20,,,,,,,,,2,1,63,102.556.107.651.548
2600859,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,102.556.107.651.548
2600860,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,790.712.728.523.622
2600860,1,2,1,90,,1,1,2,2,2,2,2,2,2,2,5,50,,,,,,,,,2,1,63,790.712.728.523.622
2600860,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,2,,,,,,,,,2,1,63,790.712.728.523.622
2600861,1,1,1,90,,1,1,2,2,2,2,2,2,2,2,15,10,,,,,,,,,2,1,63,109.856.266.012.233
2600861,1,2,1,90,,1,1,2,2,2,2,2,2,2,2,5,15,,,,,,,,,2,1,63,109.856.266.012.233
2600861,1,3,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,109.856.266.012.233
2600861,1,4,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,109.856.266.012.233
2600862,1,1,1,90,,2,2,2,2,2,2,2,2,2,2,,,,,,,,,,,2,1,63,848.580.777.662.999
2600862,1,2,1,90,,2,1,2,2,2,2,2,2,2,2,,60,,,,,,,,,2,1,63,848.580.777.662.999
2600862,1,3,1,90,,2,1,2,2,2,2,2,2,2,2,,20,,,,,,,,,2,1,63,848.580.777.662.999
2600862,1,4,1,90,,2,1,2,2,2,2,2,2,2,2,,10,,,,,,,,,2,1,63,848.580.777.662.999
2600862,1,6,1,90,,2,1,2,2,2,2,2,2,2,2,,30,,,,,,,,,2,1,63,848.580.777.662.999
