DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;AREA;CLASE;P6290;P6290S1;P6230;P6240;P6240S1;P6250;P6260;P6270;P6280;P6300;P6310;P6310S1;P6320;P6330;P6340;P6350;P6351;MES;FT;DPTO;fex_c_2011
5367027;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;1;68;4302,40586802619
5367027;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;1;68;4302,40586802619
5367028;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;1;10; ; ; ; ; ; ;02;1;68;5158,2424522822
5367028;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;1;68;5158,2424522822
5367028;1;3;1;50; ;1; ; ;3;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;1;68;5158,2424522822
5367028;1;5;1;50; ;1; ; ;5;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;1;68;5158,2424522822
5367029;1;1;1;50; ;1;1; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;02;1;68;4106,09889401116
5367030;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;1;68;5610,07644127853
5367030;1;2;1;50; ;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;1;68;5610,07644127853
5367031;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;1;68;5309,34060601204
5367031;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;1;68;5309,34060601204
5367031;1;3;1;50; ;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;1;68;5309,34060601204
5367032;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;1;68;3711,08363187792
5367033;1;1;1;50; ;1;1; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;02;1;68;4487,73005149305
5367033;1;2;1;50; ;1; ; ;2;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;1;68;4487,73005149305
5367034;1;1;1;50; ;1;2; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;02;1;68;3516,25601016972
5367034;1;2;1;50; ;1; ; ;2;6;DESCANSANDO POR VEJEZ;2;2;2;2;2; ; ; ; ; ; ; ;02;1;68;3516,25601016972
5367034;1;4;1;50; ;1; ; ;4;4; ;2;2;2;2;1;10; ; ; ; ; ; ;02;1;68;3516,25601016972
5367035;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;1;68;4739,65852888154
5367035;1;2;1;50; ;1; ; ;2;4; ;2;2;2;2;1;5; ;2; ;1;6;1;02;1;68;4739,65852888154
5367035;1;3;1;50; ;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;1;68;4739,65852888154
5367036;1;1;1;50; ;1; ; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;1;68;2702,79497401683
5367036;1;2;1;50; ;1; ; ;2;6;AYUDAR EN EL NEGOCIO FAMILIAR;2;2;1; ; ; ; ; ; ; ; ; ;02;1;68;2702,79497401683
5367036;1;3;1;50; ;1; ; ;3;2; ;2;2;1; ; ; ; ; ; ; ; ; ;02;1;68;2702,79497401683
5367037;1;1;1;50; ;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;1;68;4697,42113015942
5367037;1;2;1;50; ;1; ; ;2;5; ; ; ; ; ; ; ; ; ; ; ; ; ;02;1;68;4697,42113015942
5367041;1;1;1;50; ;1;1; ;1;2; ;2;2;2;1; ; ; ; ; ; ; ;1;02;1;68;4074,04605190512
5367041;1;2;1;50; ;1;1; ;2;2; ;2;2;2;1; ; ; ; ; ; ; ;1;02;1;68;4074,04605190512
5367062;1;1;1;50;05;1; ; ;1;6;AUTOCONSTRUCCION DE VIVIENDA;2;2;2;2;1;13;ESTA ESPERANDO TERMINAR DE CONSTRUIR SU VIVIENDA; ; ; ; ; ;02;1;05;1062,9350653869
5367063;1;1;1;50;05;1; ; ;1;4; ;2;2;2;2;2; ; ; ; ; ; ; ;02;1;05;1157,18898238719
5367063;1;2;1;50;05;1;1; ;2;6;VER TV;2;2;2;1; ; ; ; ; ; ; ;1;02;1;05;1157,18898238719
5367063;1;3;1;50;05;1; ; ;3;4; ;2;2;2;2;1;5; ;2; ;1;2;1;02;1;05;1157,18898238719
5367064;1;1;1;50;05;1; ; ;1;4; ;1; ; ; ; ; ; ; ; ; ; ; ;02;1;05;1307,23389454088
5367064;1;2;1;50;05;1; ; ;2;3; ;2;2;2;2;2; ; ; ; ; ; ; ;02;1;05;1307,23389454088
5367064;1;3;1;50;05;1;2; ;3;3; ;2;2;2;1; ; ; ; ; ; ; ;1;02;1;05;1307,23389454088
5367064;1;6;1;50;05;1; ; ;6;1; ; ; ; ; ; ; ; ; ; ; ; ; ;02;1;05;1307,23389454088
5367064;1;7;1;50;05;1; ; ;7;4; ;2;2;2;2;1;8; ;2; ;2; ; ;02;1;05;1307,23389454088
