DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;P6016;P6020;P6030S1;P6030S3;P6040;P6050;P6080;P6080S1;P6070;P6081;P6081S1;P6083;P6083S1;P6071;P6071S1;P3147S1;P3147S2;P3147S3;P3147S4;P3147S5;P3147S6;P3147S7;P3147S8;P3147S9;P3147S10;P3147S11;P3147S10A1;P3246;P6090;P6140;P6150;P6100;P6110;P6120;P6125;P6160;P6170;P6175;P6210;P6210S1;P6220;P6269;CLASE;ESC;MES;DPTO;fex_c_2011
5372924;1;1;1;10;1;1;6;1961;59;1;6; ;2;3; ;3; ;1;2; ; ;1;1; ; ; ; ; ; ; ; ;2;1; ; ;1;3;219000;2;1;2; ;6;2;2;2;2;13;02;68;1039,54289931912
5372924;1;2;1;10;2;2;10;1972;48;2;6; ;2;3; ;2; ;1;1; ;1; ;1; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;02;68;1039,54289931912
5372924;1;3;1;10;3;1;12;1962;58;5;6; ;6;3; ;3; ; ; ; ; ; ;1; ; ; ; ; ; ; ; ; ;1; ; ;1;3;109000;2;1;2; ;6;7;5; ;2;18;02;68;1039,54289931912
5372924;1;4;1;10;4;1;8;1991;29;6;6; ;2;3; ;2; ;2; ; ; ;1; ; ; ;1; ; ; ; ; ; ;2;1;11; ; ; ;2;1;2; ;6;1;2;2;2;12;02;68;1039,54289931912
5372925;1;1;1;10;1;1;6;1939;81;1;6; ;3;3; ;3; ;1;2; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;02;68;777,643347655523
5372925;1;2;1;10;2;2;9;1941;79;2;6; ;3;2; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;5; ;2;1;2; ;3;5; ; ;2;5;02;68;777,643347655523
5372926;1;1;1;10;1;1;7;1975;45;1;6; ;3;2; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1; ;2;1; ; ;1;1;80000;2;1;2; ;6;7;5; ;2;18;02;68;1447,41619724044
5372926;1;2;1;10;2;2;8;1981;39;2;6; ;3;2; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;1;224000;2;1;2; ;6;7;5; ;2;18;02;68;1447,41619724044
5372926;1;3;1;10;1;2;7;2011;9;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;1;2; ;3;3; ; ;2;3;02;68;1447,41619724044
5372927;1;1;1;10;1;1;6;1964;56;1;6; ;2;2; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ;1;1;36000;2;1;2; ;4;9; ; ;2;9;02;68;1140,48667569823
5372927;1;2;1;10;2;2;8;1982;38;2;6; ;2;2; ;2; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;4; ; ;2;4;02;68;1140,48667569823
5372927;1;3;1;10;2;2;9;2008;12;3;6; ;6;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;1;1;4;7; ; ;2;7;02;68;1140,48667569823
5372927;1;4;1;10;2;2;3;2014;6;3;6; ; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;2;1;1;3;0; ; ;2;0;02;68;1140,48667569823
5372928;1;1;1;10;1;1;1;1980;41;1;6; ;2;2; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1; ;2;1; ; ;1;1;36341;2;1;2; ;5;11;2; ;2;11;02;68;1114,83636604582
5372928;1;2;1;10;2;2;2;1995;25;2;6; ;2;2; ;1;4;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;5; ;2;1;2; ;5;11;2; ;2;11;02;68;1114,83636604582
5372928;1;3;1;10;2;2;3;2015;5;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1;5; ;2;2;1;1;2;0; ; ;2;0;02;68;1114,83636604582
5372928;1;4;1;10;4;2;11;1963;57;5;6; ;4;3; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;2;1;2; ;3;2; ; ;2;2;02;68;1114,83636604582
5372928;1;5;1;10;5;1;2;2008;13;5;6; ;6;2; ;1;4; ; ; ; ; ; ; ; ; ;1; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;4;0; ; ;2;5;02;68;1114,83636604582
5372929;1;1;1;10;1;1;7;1970;50;1;6; ;6;3; ;3; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;02;68;1298,05590771692
5372930;1;1;1;10;1;1;8;1962;58;1;6; ;3;2; ;3; ;1;2; ; ; ;1; ; ;1; ; ; ; ; ;2;1; ; ;3; ; ;2;1;2; ;4;6; ; ;2;6;02;68;1291,92421255908
5372930;1;2;1;10;2;2;10;1977;43;2;6; ;3;2; ;2; ;1;1; ; ; ; ; ; ;1; ; ; ; ; ; ;1; ; ;3; ; ;2;1;2; ;3;5; ; ;2;5;02;68;1291,92421255908
5372930;1;3;1;10;2;1;8;2012;8;3;6; ; ;1;1;1;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;3; ; ;2;1;1;1;3;2; ; ;2;2;02;68;1291,92421255908
5372931;1;1;1;10;1;2;2;1969;52;1;6; ;6;3; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;1; ; ;3; ; ;2;1;2; ;6;5;4; ;2;16;02;68;732,687757388452
5372932;1;1;1;10;1;2;8;1960;60;1;6; ;4;2; ;1;3; ; ; ; ;1;1;1; ;1; ;1; ; ; ;2;1; ; ;3; ; ;1;1;2; ;3;3; ; ;2;3;02;68;574,754125270222
5372932;1;2;1;10;2;1;4;1978;42;3;6; ;4;2; ;1;1; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;2;80000;2;1;2; ;5;11;2; ;2;11;02;68;574,754125270222
5372932;1;3;1;10;3;2;2;1936;85;5;6; ;5;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;3; ; ;1;2;2; ;1;0; ; ;2;0;02;68;574,754125270222
5372933;1;1;1;10;1;1;5;1958;62;1;6; ;3;3; ;2; ;1;2; ; ; ; ; ; ; ; ; ; ;1; ;2;1; ; ;1;2;72000;2;1;2; ;5;11;2; ;2;11;02;68;777,643347655523
5372933;1;2;1;10;2;2;12;1959;61;2;6; ;3;3; ;3; ;1;1; ; ; ; ; ; ; ; ; ; ;1; ; ;1; ; ;1;2;100000;2;1;2; ;4;9; ; ;2;9;02;68;777,643347655523
5372934;1;1;1;10;1;2;5;1970;50;1;6; ;5;2; ;2; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2;2;1;12; ; ; ;2;1;2; ;3;5; ; ;2;5;02;68;644,512440169138
