DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011
5011671;1;4;1;70;2;8;48;1; ;2;8;1; ;7;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;55;55;85;1;1;09;8511;68;910,254933332768
5015821;1;1;1;70;2;52;48;1; ;2;78;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;95;95;45;1;2;09;4521;23;1785,15448284402
5015827;1;2;1;70;2;40;40;1; ;2;60;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;33;32;80;1;2;09;8041;23;1693,35957973812
5015834;1;5;1;70;2;8;48;1; ;2;8;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;84;84;15;1;1;09;1530;23;799,696145361029
5015836;1;2;1;70;2;16;48;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;45;45;52;1;2;09;5211;23;1130,04569802842
5015838;1;2;1;70;2;16;48;1; ;2;24;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;550000;2; ;53;61;01;1;2;09;0123;23;1106,49780701645
5015838;1;3;1;70;2;3;36;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;500000; ; ;45; ; ;1;1;09; ;23;1106,49780701645
5015846;1;3;1;70;2;4;48;1; ;2;4;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;1;925000;828116;2; ;58;58;45;1;1;09;4530;23;2696,78270606851
5015847;1;1;1;70;2;12;40;1; ;2;104;1; ;5;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;53;53;55;1;1;09;5522;23;1470,58790472619
5015875;1;2;1;70;2;24;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;33; ; ;1;2;09; ;23;1853,6357330228
5015875;1;4;1;70;2;6;48;1; ;2;6;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;45;61;01;1;1;09;0140;23;1853,6357330228
5015878;1;4;1;70;2;30;48;1; ;2;30;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;39;85;1;2;09;8511;23;2604,75356487775
5015912;1;1;1;70;2;8;48;8; ;2;8;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;62;62;01;1;1;09;0115;73;1371,2068055766
5015925;1;1;1;70;2;2;54;1; ;2;2;8; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;1;800000;900000;2; ;62;62;01;1;1;09;0115;73;1371,2068055766
5015929;1;2;1;70;2;26;60;1; ;2;140;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;58;53;55;1;2;09;5521;73;2691,45649054655
5015933;1;2;1;70;2;48;48;1; ;2;28;3; ;1;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;828000;2; ;33;54;95;1;2;09;9500;73;1867,96970918629
5015933;1;3;1;70;2;24;42;1; ;2;30;1; ;3;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;57;57;93;1;2;09;9302;73;1867,96970918629
5015933;1;4;1;70;2;28;46;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;800000; ; ;53; ; ;1;2;09; ;73;1867,96970918629
5015943;1;2;1;70;2;3;40;8; ;2;9;8; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;62;62;01;1;1;09;0130;73;3560,20213838076
5015949;1;2;1;70;2;8;40;1; ;2;8;1; ;2;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;800000;2; ;55;53;55;1;1;09;5521;73;2792,85165506843
