DIRECTORIO;SECUENCIA_P;ORDEN;HOGAR;REGIS;CLASE;P7250;P7260;P7280;P7280S1;P7310;P7320;P7350;P7350S1;P7360;P9460;P7390;P7390S1;P7420;P7420S1;P7420S2;P7420S3;P7420S4;P7420S5;P7420S6;P7420S7;P7420S7A1;P7420S8;P7422;P7422S1;P1806;P1519;P1883;OFICIO1;OFICIO2;RAMA2D_D;DSI;DSCY;MES;RAMA4D_D;DPTO;fex_c_2011;AREA
5005545;1;2;1;70;1;1;48;1; ;2;32;1; ;9;2;2; ; ; ; ;1; ; ;1; ; ; ;2; ;1000000;2; ;13;39;65;1;1;09;6512;68;2866,33937344766; 
5005545;1;6;1;70;1;2;48;1; ;2;16;1; ;8;2;7; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;85;95;85;1;1;09;8512;68;2866,33937344766; 
5005547;1;8;1;70;1;8;40;1; ;2;8;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;53;55;1;1;09;5521;68;2031,68591706205; 
5005574;1;2;1;70;1;8;48;1; ;2;8;1; ;4;2;2; ; ;1; ; ; ; ; ; ; ; ;2; ;828116;1;1;39;39;74;1;1;09;7499;68;2048,35699702829; 
5005582;1;2;1;70;1;3;48;1; ;2;21;1; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;700000;2; ;85;95;11;1;1;09;1110;68;3310,77281080145; 
5005584;1;2;1;70;1;60;48;1; ;2;260;4; ;9;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;300000;2; ;39;39;91;1;2;09;9199;68;1719,87114606447; 
5005591;1;2;1;70;1;2;48;1; ;2;2;1; ;9;2;4; ; ; ; ; ; ; ; ; ; ;1;1;400000;828116;2; ;03;55;91;1;1;09;9191;68;2976,4433200695; 
5005594;1;2;1;70;1;32;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;03; ; ;1;2;09; ;68;2035,28365368042; 
5005595;1;6;1;70;1;8;48;1; ;2;8;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;45;51;1;1;09;5125;68;1237,75359959194; 
5005685;1;1;1;70;1;48;48;1; ;2;24;1; ;3;2;1; ; ; ; ; ; ; ; ; ; ;1;1;150000;850000;2; ;95;95;45;1;2;09;4521;05;1204,439825766;05
5005686;1;2;1;70;1;52;24;3; ;2;52;1; ;7;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;55;55;70;1;2;09;7020;05;1420,57907615698;05
5005689;1;1;1;70;1;20;48;1; ;2;20;4; ;9;2;1; ; ; ;1; ; ; ; ; ; ; ;2; ;900000;1;1;57;59;75;1;2;09;7512;05;998,847918642267;05
5005689;1;2;1;70;1;40;48;2; ;2;40;1; ;9;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1500000;2; ;59;38;74;1;2;09;7499;05;998,847918642267;05
5005690;1;2;1;70;1;52;48;1; ;2;156;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;13;38;74;1;2;09;7499;05;1136,22817328624;05
5005693;1;3;1;70;1;2;48;1; ;2;6;1; ;4;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;53;55;1;1;09;5521;05;1011,01691360038;05
5005698;1;2;1;70;1;16;48;1; ;2;16;1; ;6;1;1; ; ;1; ; ; ; ; ; ; ; ;2; ;2500000;1;2;11;11;51;1;2;09;5139;05;1136,22817328624;05
5005709;1;3;1;70;1;6;40;1; ;2;6;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;828116;2; ;97;53;55;1;1;09;5521;05;1329,46973860217;05
5005718;1;1;1;70;1;52;48;1; ;2;52;1; ;2;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;57;93;1;2;09;9302;05;1329,7364156826;05
5005729;1;5;1;70;1;90;48;1; ;2;90;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1300000;2; ;45;45;51;1;2;09;5169;05;887,443776308187;05
5005760;1;1;1;70;1;24;24;1; ;2;208;1; ;5;2;4; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;60;01;1;2;09;0111;05;955,676637512089;05
5005761;1;3;1;70;1;2;48;1; ;2;2;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;1;410000;828116;2; ;03;03;50;1;1;09;5020;05;1047,8556976033;05
5005766;1;4;1;70;1;2;48;1; ;2;2;1; ;9;2;3; ; ; ; ; ; ; ; ; ; ;1;2; ;900000;2; ;98;98;50;1;1;09;5030;05;1327,62064232431;05
5005767;1;2;1;70;1;24;24;4; ;2;108;1; ;6;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;350000;2; ;54;53;01;1;2;09;0111;05;1159,49697037103;05
5005776;1;2;1;70;1;48;48;1; ;2;48;1; ;7;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;45;45;52;1;2;09;5235;05;1162,33826717223;05
5005779;1;1;1;70;1;12;48;4; ;2;15;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;54;45;52;1;1;09;5224;05;1087,2203943252;05
5005783;1;4;1;70;1;8;48;1; ;2;8;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;19;19;16;1;1;09;1600;05;1228,10099924112;05
5005785;1;1;1;70;1;24;48;1; ;2;104;1; ;4;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;33;52;1;2;09;5211;05;998,847918642267;05
5005786;1;1;1;70;1;3;48;1; ;2;4;1; ;8;2;1; ; ; ; ; ; ; ; ; ; ;1;1;560000;1200000;2; ;95;95;45;1;1;09;4522;05;1185,23595224727;05
5005788;1;3;1;70;1;2;48;1; ;1; ; ; ; ; ; ; ;.; ; ; ; ; ; ; ;.; ; ; ;828116; ; ;38; ; ;1;1;09; ;05;825,202603235382;05
5005790;1;1;1;70;1;52;48;1; ;2;8;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;200000;828116;2; ;55;55;74;1;2;09;7493;05;1394,84009428074;05
5005795;1;2;1;70;1;8;48;4; ;2;8;4; ;1;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;1400000;2; ;95;95;45;1;1;09;4521;05;1059,76635340363;05
5005806;1;2;1;70;1;120;48;1; ;2;130;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;13;13;80;1;2;09;8011;05;1047,8556976033;05
5005814;1;1;1;70;1;20;48;1; ;2;20;1; ;5;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;39;52;1;2;09;5241;05;2174,4407886504;05
5005815;1;1;1;70;1;7;48;1; ;2;7;1; ;6;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;39;02;45;1;1;09;4521;05;2369,32445801454;05
5005818;1;1;1;70;1;20;48;1; ;2;20;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;55;55;92;1;2;09;9241;05;959,483221920369;05
5005823;1;2;1;70;1;12;48;1; ;2;12;1; ;9;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;45;45;52;1;1;09;5211;05;1892,9739164845;05
5005824;1;1;1;70;1;20;48;3; ;2;20;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;54;54;95;1;2;09;9500;05;788,937542472466;05
5005824;1;2;1;70;1;48;48;4; ;2;4;4; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;1;1000000;1000000;2; ;95;95;45;1;2;09;4521;05;788,937542472466;05
5005839;1;2;1;70;1;52;24;1; ;2;104;1; ;4;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;424000;2; ;55;55;45;1;2;09;4530;05;1918,96644384074;05
5005847;1;1;1;70;1;4;24;1; ;2;4;1; ;2;2;2; ; ; ; ; ; ; ; ; ; ;1;2; ;828116;2; ;86;95;45;1;1;09;4521;05;867,304161829155;05
5005852;1;2;1;70;1;24;48;1; ;2;24;1; ;2;2;8; ; ; ; ; ; ; ; ; ; ;1;2; ;1000000;2; ;98;98;60;1;2;09;6041;05;1073,9657914893;05
5005874;1;2;1;70;1;24;48;1; ;2;104;3; ;1;2;1; ; ; ; ; ; ; ; ; ; ;1;2; ;600000;2; ;39;54;95;1;2;09;9500;05;1289,03531934387;05
