directorio;secuencia_p;orden;P7250;P7310;P7320;OFICIO2;RAMA2D_D_r4;RAMA4D_D_r4;P7350;P7360;dsi;mes;area;dpto;fex_c_2011
12364;1;3;3;2;18;13;85;8544;4;8;1;05;19;19;158,285513716685
12369;1;1;5;2;5;33;47;4772;1;6;1;05;05;05;1728,49132987038
12380;1;2;60;2;144;19;70;7010;1;8;1;05;19;19;134,120417139581
12388;1;2;7;2;7;95;41;4111;1;4;1;05;19;19;41,2938654978782
12388;1;5;52;1; ; ; ; ; ; ;1;05;19;19;41,2938654978782
12389;1;2;2;2;4;07;26;2670;1;4;1;05;23;23;210,730359767545
12392;1;2;50;2;48;39;69;6910;1;2;1;05;76;76;756,805465787034
12396;1;1;10;2;7;45;47;4781;4;1;1;05;54;54;377,079497548365
12396;1;3;8;2;104;45;47;4771;1;3;1;05;54;54;377,079497548365
12397;1;2;998;1; ; ; ; ; ; ;1;05;76;76;1147,53024974604
12399;1;2;12;2;12;13;85;8542;4;9;1;05;19;19;75,3469937030845
12404;1;4;998;2;16;33;69;6920;1;7;1;05;68;68;220,865967034078
12405;1;2;20;2;20;45;47;4771;1;3;1;05;47;47;383,987282627308
12413;1;1;8;2;8;83;29;2920;1;6;1;05;68;68;384,998696537635
12414;1;2;16;2;17;21;42;4210;1;6;1;05;23;23;111,150851913531
12415;1;1;8;2;6;58;52;5221;1;2;1;05;76;76;897,843093179955
12417;1;3;12;2;12;32;84;8412;4;9;1;05;23;23;168,793556424018
12420;1;3;2;2;12;18;85;8552;1;6;1;05;76;76;1270,89067055886
12424;1;1;1;2;7;54;97;9700;3;1;1;05;23;23;201,286396866074
12424;1;3;2;2;7;45;47;4799;4;1;1;05;23;23;201,286396866074
12424;1;6;8;2;12;58;84;8422;2;9;1;05;23;23;201,286396866074
12428;1;2;16;2;16;95;41;4111;4;1;1;05;08;08;776,662914072209
12435;1;2;6;2;6;41;47;4772;4;1;1;05;68;68;476,308905847867
12435;1;3;5;2;6;41;47;4772;4;1;1;05;68;68;476,308905847867
12443;1;3;1;2;3;39;94;9499;1;3;1;05;68;68;401,106321443422
12443;1;4;8;2;8;80;15;1522;1;4;1;05;68;68;401,106321443422
12445;1;1;12;2;8;84;45;4520;4;1;1;05;50;50;135,186100353377
12452;1;1;12;2;9;87;25;2511;1;3;1;05;76;76;675,500919864407
12455;1;2;8;2;8;95;41;4111;1;4;1;05;66;66;401,906019865963
12458;1;1;12;2;24;08;95;9511;4;1;1;05;23;23;269,928610014541
12466;2;2;4;2;10;54;81;8121;4;1;1;05;68;68;473,645986175965
12475;1;4;2;2;12;80;15;1522;1;3;1;05;08;08;860,850961491287
12477;1;3;8;2;8;17;90;9008;1;7;1;05;05;05;1480,24649575424
12481;1;1;12;2;48;55;68;6820;1;2;1;05;19;19;115,782648832029
12484;1;1;20;2;48;61;01;0161;4;1;1;05;68;68;477,75457591681
12484;1;2;24;2;28;61;01;0161;4;1;1;05;68;68;477,75457591681
