directorio;secuencia_p;orden;P7430;P7440;P7450;ini;mes;area;dpto;fex_c_2011
12365;1;1;1;1,3;8;1;05;05;05;1827,35111537494
12372;1;1;2; ; ;1;05;76;76;1007,15927830587
12372;1;2;1;3;4;1;05;76;76;1007,15927830587
12372;1;4;1;1,2;9;1;05;76;76;1007,15927830587
12373;1;1;2; ; ;1;05;23;23;165,052849475267
12373;1;2;1;1,3;8;1;05;23;23;165,052849475267
12373;1;3;2; ; ;1;05;23;23;165,052849475267
12379;1;3;2; ; ;1;05;23;23;165,694270099987
12379;1;4;2; ; ;1;05;23;23;165,694270099987
12382;1;3;1;4;3;1;05;23;23;139,448371151028
12392;1;1;1;1,2;7;1;05;76;76;756,805465787034
12393;1;1;1;4;9;1;05;68;68;471,128040210472
12394;1;1;1;4;4;1;05;05;05;1294,44134406863
12394;1;2;2; ; ;1;05;05;05;1294,44134406863
12394;1;3;2; ; ;1;05;05;05;1294,44134406863
12394;1;4;1;2;4;1;05;05;05;1294,44134406863
12395;1;2;2; ; ;1;05;23;23;225,983529021033
12395;2;1;1;4;3;1;05;23;23;225,983529021033
12401;1;2;2; ; ;1;05;68;68;314,947564378486
12401;1;3;2; ; ;1;05;68;68;314,947564378486
12404;1;1;1;4;5;1;05;68;68;220,865967034078
12404;1;2;1;4;3;1;05;68;68;220,865967034078
12404;1;5;1;1,4;8;1;05;68;68;220,865967034078
12406;1;1;1;1,2;9;1;05;23;23;248,7662069894
12408;1;1;1;2;7;1;05;23;23;122,056404903858
12412;1;3;2; ; ;1;05;76;76;1126,60033742327
12413;1;2;1;1,3;3;1;05;68;68;384,998696537635
12414;1;4;1;4;4;1;05;23;23;111,150851913531
12415;1;2;1;1,2;3;1;05;76;76;897,843093179955
12417;1;1;1;1,2;9;1;05;23;23;168,793556424018
12417;1;4;2; ; ;1;05;23;23;168,793556424018
12418;1;2;1;4;5;1;05;68;68;247,647102534805
12419;1;2;1;4;9;1;05;68;68;533,12663206472
12420;1;4;1;1,2;7;1;05;76;76;1270,89067055886
12421;1;1;1;3;5;1;05;66;66;321,078811371452
12421;1;2;1;4;3;1;05;66;66;321,078811371452
12429;1;2;1;3;6;1;05;13;13;408,822487733871
12429;1;4;1;1,2;7;1;05;13;13;408,822487733871
12429;1;5;2; ; ;1;05;13;13;408,822487733871
12432;1;1;1;1,2;8;1;05;73;73;221,996128673574
12432;1;3;2; ; ;1;05;73;73;221,996128673574
12432;1;4;1;1,3;6;1;05;73;73;221,996128673574
12433;1;1;1;4;5;1;05;23;23;114,786587683878
12433;1;2;2; ; ;1;05;23;23;114,786587683878
