directorio;secuencia_p;orden;Oficio;Rama2d_r4;Rama4d_r4;P6430;P6800;P6850;P6830;P3148;P6500;P6750;P6760;P6870;P6880;P6920;P6930;Oci;mes;area;dpto;fex_c_2011
12363;1;1;57;96;9602;4;30;1;6;1; ;0;1;2;7;2; ;1;05;19;19;78,635363988716
12365;1;4;45;47;4781;4;40;40; ; ; ;400000;1;1;6;2; ;1;05;05;05;1827,35111537494
12366;1;1;21;71;7110;1;24;15;6;1;3000000; ; ;5;7;1;2;1;05;19;19;87,3909570807817
12366;1;2;13;85;8530;2;40;20;6;1;1500000; ; ;9;7;1;2;1;05;19;19;87,3909570807817
12368;1;2;41;47;4711;4;20;20; ; ; ;300000;1;1;1;2; ;1;05;19;19;57,494363337106
12370;1;1;79;14;1410;4;30;10;6;1; ;150000;1;1;1;2; ;1;05;19;19;74,4092347915126
12370;1;2;05;94;9411;1;40;40; ; ;2300000; ; ;9;8;1;1;1;05;19;19;74,4092347915126
12371;1;1;95;41;4111;1;50;50; ; ;600000; ; ;2;9;2; ;1;05;23;23;178,240152251317
12371;1;2;57;96;9602;4;30;14;6;1; ;60000;1;1;2;2; ;1;05;23;23;178,240152251317
12372;1;3;45;47;4789;4;49;0;5;1; ; ;1;1;6;2; ;1;05;76;76;1007,15927830587
12375;1;1;45;47;4754;1;48;0;6;1;980657; ; ;3;7;1;1;1;05;19;19;122,119129938377
12379;1;1;79;14;1410;4;30;0;6;1; ;30000;1;1;1;2; ;1;05;23;23;165,694270099987
12379;1;2;33;47;4771;1;65;0;5;1;900000; ; ;9;7;1;1;1;05;23;23;165,694270099987
12380;1;1;58;84;8423;2;60;60; ; ;2000000; ; ;9;7;1;3;1;05;19;19;134,120417139581
12381;1;2;87;25;2511;1;40;40; ; ; ; ; ;2;7;2; ;1;05;19;19;65,8154364434369
12382;1;1;80;15;1513;4;60;35;6;1; ;400000;1;1;1;2; ;1;05;23;23;139,448371151028
12382;1;2;41;47;4771;4;30;0;6;1; ;250000;1;1;2;2; ;1;05;23;23;139,448371151028
12383;1;1;60;02;0210;1;40;40; ; ;3900000; ; ;9;1;1;2;1;05;19;19;88,1224351833652
12383;1;2;32;84;8413;1;40;30;6;1;1500000; ; ;9;1;1;2;1;05;19;19;88,1224351833652
12383;1;3;08;62;6201;4;40;12;6;1; ;650000;1;1;1;2; ;1;05;19;19;88,1224351833652
